,ad_account_id_x,game_id,channel_id,source_id,create_time,smart_bid_type,hide_if_exists,budget,delivery_range,adjust_cpa,inventory_type,hide_if_converted,flow_control_mode,schedule_time,cpa_bid,auto_extend_enabled,gender,city,platform,launch_price,retargeting_tags_exclude,interest_categories,ac,android_osv,location_type,retargeting_tags_include,ios_osv,interest_action_mode,age,action_categories,action_days,action_scene,deep_bid_type,roi_goal,image_id,label_ids,ad_account_id_y,tdate,amount,new_role_money,roi,pay_rate,ad_keywords,title_list,third_industry_id
0,9875,1001703,21206,1275207,2022-01-13 11:17:15,SMART_BID_CUSTOM,0,4500.0,DEFAULT,0.0,"['INVENTORY_AWEME_FEED', 'INVENTORY_FEED']",AD,FLOW_CONTROL_MODE_FAST,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111100000000000111111111111111111111111111111111111100000000000111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,748.0,0,NONE,[],1,[],"[341029460, 341029326]",[],[],NONE,CURRENT,[],NONE,RECOMMEND,"['AGE_BETWEEN_24_30', 'AGE_BETWEEN_31_40', 'AGE_BETWEEN_41_49', 'AGE_ABOVE_50']",,,,BID_PER_ACTION,,42015,"20,235",9875,2022-01-21 00:00:00,2957.38,170.0,0.057483,0.0667,"['末日', '幸存者挑战', '丧尸', '卡牌游戏', '回合制对战', '美女', '长腿', '手游', '游戏', '生化', '玄幻', '修仙', '魔幻手游', '豪车', '别墅', '放置挂机', '升级', '打本', '氪金', '无限关卡']","[{'title': '误入陷阱，丧尸怪物步步紧逼，逃生全靠智商！', 'creative_word_ids': []}, {'title': '3分钟上手，5分钟上头，来试试你能过多少关？', 'creative_word_ids': []}, {'title': '智商149卡在了39关，这款游戏太烧脑，你能过几关？', 'creative_word_ids': []}, {'title': '上厕所千万别玩这游戏，小心蹲到你腿麻！', 'creative_word_ids': []}]",19131501
2,9855,1001703,21328,1280632,2022-01-18 09:57:15,SMART_BID_CUSTOM,0,3500.0,DEFAULT,0.0,"['INVENTORY_UNION_SLOT', 'INVENTORY_AWEME_FEED', 'INVENTORY_FEED', 'INVENTORY_UNION_SPLASH_SLOT', 'INVENTORY_VIDEO_FEED', 'INVENTORY_HOTSOON_FEED', 'INVENTORY_TOMATO_NOVEL']",APP,FLOW_CONTROL_MODE_FAST,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111110000000000011111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,669.01,0,GENDER_MALE,[],1,[],"[341029460, 341029326]",[],[],NONE,CURRENT,[],NONE,UNLIMITED,"['AGE_BETWEEN_24_30', 'AGE_BETWEEN_31_40', 'AGE_BETWEEN_41_49']",,,,BID_PER_ACTION,,42015,"20,235",9855,2022-01-19 00:00:00,5703.73,562.0,0.098532,0.0317,"['末日', '幸存者挑战', '丧尸', '卡牌游戏', '回合制对战', '美女', '长腿', '手游', '游戏', '生化', '玄幻', '修仙', '魔幻手游', '豪车', '别墅', '放置挂机', '升级', '打本', '氪金', '无限关卡']","[{'title': '3分钟上手，5分钟上头，来试试你能过多少关？', 'creative_word_ids': []}, {'title': '智商139卡在39关，试试你能闯几关，没有wifi也能玩一天！', 'creative_word_ids': []}, {'title': '上厕所千万别玩这游戏，小心蹲到你腿麻！', 'creative_word_ids': []}]",19131501
3,10169,1001756,21316,1281716,2022-01-18 16:20:36,SMART_BID_CUSTOM,0,3088.0,DEFAULT,0.0,"['INVENTORY_AWEME_FEED', 'INVENTORY_FEED', 'INVENTORY_VIDEO_FEED', 'INVENTORY_HOTSOON_FEED']",APP,FLOW_CONTROL_MODE_FAST,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,818.0,0,GENDER_MALE,[],1,[],"[341029460, 341029326]",[],"['WIFI', '4G']",10.0,CURRENT,[],NONE,RECOMMEND,"['AGE_BETWEEN_24_30', 'AGE_BETWEEN_31_40', 'AGE_BETWEEN_41_49', 'AGE_ABOVE_50']",,,,BID_PER_ACTION,,42501,"20,235",10169,2022-01-19 00:00:00,1263.93,60.0,0.047471,0.1,"['末日', '丧尸', '僵尸', '开局', '回合', '放置', '恐怖', '刺激', '策略', '登录', '首充', '改造', '惊悚', '冒险', '生化危机', '釜山行', '我是传奇', '守望黎明', '末日血战', '行尸走肉']","[{'title': '智商149卡在了39关，这款游戏太烧脑，你能过几关？', 'creative_word_ids': []}, {'title': '不花钱只烧脑，智商135挂在49关，你能过几关？', 'creative_word_ids': []}, {'title': '这游戏谁设计的，蹲厕所玩了两小时，腿都麻了！', 'creative_word_ids': []}]",19131501
4,8297,1001772,21394,1281724,2022-01-18 16:43:36,SMART_BID_CUSTOM,0,4000.0,DEFAULT,0.0,"['INVENTORY_UNION_SLOT', 'INVENTORY_AWEME_FEED', 'INVENTORY_FEED', 'INVENTORY_UNION_SPLASH_SLOT', 'INVENTORY_VIDEO_FEED', 'INVENTORY_HOTSOON_FEED', 'INVENTORY_TOMATO_NOVEL']",CUSTOMER,FLOW_CONTROL_MODE_FAST,111111111111111111111111111111111111111111111111000000000000000000000000000000000000000000000000000000000000000000000011111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,696.01,0,GENDER_MALE,[],1,[],"[341029460, 341029326]",[],[],NONE,CURRENT,[],NONE,RECOMMEND,"['AGE_BETWEEN_18_23', 'AGE_BETWEEN_24_30', 'AGE_BETWEEN_31_40', 'AGE_BETWEEN_41_49', 'AGE_ABOVE_50']",,,,BID_PER_ACTION,,42484,"20,235",8297,2022-01-19 00:00:00,6985.3,492.0,0.070434,0.0221,"['丧尸', '美女', '僵尸', '卡牌', '策略', '放置', '回合', '手游', 'LOL', '塔防', '三国', '生存', '射击', '网游', '游戏', '手游大全', '阴阳师', '吃鸡', '小姐姐', '红警']","[{'title': '闯关逃生，为什么第八关我就卡住了，能过66关智商超200！', 'creative_word_ids': []}, {'title': '6种职业可选，48种角色转职，开局送免费首充，太好玩了！', 'creative_word_ids': []}, {'title': '智商149卡在了39关，这款游戏太烧脑，你能过几关？', 'creative_word_ids': []}, {'title': '3分钟上手，5分钟上头，来试试你能过多少关？', 'creative_word_ids': []}]",19131101
5,10292,1001772,21336,1281778,2022-01-18 17:38:16,SMART_BID_CUSTOM,0,3000.0,DEFAULT,0.0,"['INVENTORY_UNION_SLOT', 'INVENTORY_AWEME_FEED', 'INVENTORY_FEED', 'INVENTORY_UNION_SPLASH_SLOT', 'INVENTORY_VIDEO_FEED', 'INVENTORY_HOTSOON_FEED', 'INVENTORY_TOMATO_NOVEL']",AD,FLOW_CONTROL_MODE_FAST,111111110000001111111111111111111111111111111111111111110000001111111111111111111111111111111111111111110000001111111111111111111111111111111111111111110000001111111111111111111111111111111111111111110000001111111111111111111111111111111111111111110000001111111111111111111111111111111111111111110000001111111111111111111111111111111111,660.9,0,GENDER_MALE,[],1,"[0, 11000]","[341029460, 341029326]",[],[],NONE,CURRENT,[],NONE,RECOMMEND,"['AGE_BETWEEN_18_23', 'AGE_BETWEEN_24_30', 'AGE_BETWEEN_31_40', 'AGE_BETWEEN_41_49']",,,,BID_PER_ACTION,,41875,"20,235",10292,2022-01-19 00:00:00,1500.69,294.0,0.19591,0.1429,"['末日', '末日手游', '卡牌游戏', '策略游戏', '手游', '美女']","[{'title': '智商149卡在了39关，这款游戏太烧脑，你能过几关？', 'creative_word_ids': []}]",19131501
6,10292,1001772,21336,1281787,2022-01-18 17:38:17,SMART_BID_CUSTOM,0,3000.0,DEFAULT,0.0,"['INVENTORY_UNION_SLOT', 'INVENTORY_AWEME_FEED', 'INVENTORY_FEED', 'INVENTORY_UNION_SPLASH_SLOT', 'INVENTORY_VIDEO_FEED', 'INVENTORY_HOTSOON_FEED', 'INVENTORY_TOMATO_NOVEL']",AD,FLOW_CONTROL_MODE_FAST,111111110000001111111111111111111111111111111111111111110000001111111111111111111111111111111111111111110000001111111111111111111111111111111111111111110000001111111111111111111111111111111111111111110000001111111111111111111111111111111111111111110000001111111111111111111111111111111111111111110000001111111111111111111111111111111111,610.04,0,GENDER_MALE,[],1,"[0, 11000]","[341029460, 341029326]",[],[],NONE,CURRENT,[],NONE,RECOMMEND,"['AGE_BETWEEN_18_23', 'AGE_BETWEEN_24_30', 'AGE_BETWEEN_31_40', 'AGE_BETWEEN_41_49']",,,,BID_PER_ACTION,,41445,"20,235",10292,2022-01-19 00:00:00,1368.4,60.0,0.043847,0.0833,"['末日', '末日手游', '卡牌游戏', '策略游戏', '手游', '美女']","[{'title': '智商149卡在了39关，这款游戏太烧脑，你能过几关？', 'creative_word_ids': []}]",19131501
7,10292,1001772,21336,1282241,2022-01-19 11:05:37,SMART_BID_CUSTOM,0,3000.0,DEFAULT,0.0,"['INVENTORY_UNION_SLOT', 'INVENTORY_AWEME_FEED', 'INVENTORY_FEED', 'INVENTORY_UNION_SPLASH_SLOT', 'INVENTORY_VIDEO_FEED', 'INVENTORY_HOTSOON_FEED', 'INVENTORY_TOMATO_NOVEL']",AD,FLOW_CONTROL_MODE_FAST,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111110000001111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,693.33,0,GENDER_MALE,[],1,"[0, 11000]","[341029460, 341029326]",[],[],NONE,CURRENT,[],NONE,RECOMMEND,"['AGE_BETWEEN_18_23', 'AGE_BETWEEN_24_30', 'AGE_BETWEEN_31_40', 'AGE_BETWEEN_41_49']",,,,BID_PER_ACTION,,42487,"20,235",10292,2022-01-25 00:00:00,1013.55,924.0,0.911647,0.25,"['末日', '末日手游', '卡牌游戏', '策略游戏', '手游', '美女']","[{'title': '智商149卡在了39关，这款游戏太烧脑，你能过几关？', 'creative_word_ids': []}, {'title': '末日生存游戏，休闲不伤脑没wifi也能玩！', 'creative_word_ids': []}]",19131501
8,10166,1001756,21316,1283299,2022-01-19 15:14:21,SMART_BID_CUSTOM,0,3088.0,DEFAULT,0.0,"['INVENTORY_AWEME_FEED', 'INVENTORY_FEED', 'INVENTORY_VIDEO_FEED', 'INVENTORY_HOTSOON_FEED']",APP,FLOW_CONTROL_MODE_FAST,111111111111100000111111111111111111111111111111111111111111100000111111111111111111111111111111111111111111100000111111111111111111111111111111111111111111100000111111111111111111111111111111111111111111100000111111111111111111111111111111111111111111100000111111111111111111111111111111111111111111100000111111111111111111111111111111,818.0,0,GENDER_MALE,[],1,[],"[341029460, 341029326]","[16020302, 16020304, 16020501, 16020502, 160214, 160407, 160413]","['WIFI', '4G']",10.0,CURRENT,[],NONE,CUSTOM,"['AGE_BETWEEN_24_30', 'AGE_BETWEEN_31_40', 'AGE_BETWEEN_41_49', 'AGE_ABOVE_50']","[16020302, 16020304, 16020501, 16020502, 160214, 160407, 160413]",30.0,"['E-COMMERCE', 'NEWS', 'APP']",BID_PER_ACTION,,42240,"20,235",10166,2022-01-20 00:00:00,2907.44,98.0,0.033707,0.0339,"['末日', '丧尸', '僵尸', '开局', '回合', '放置', '恐怖', '刺激', '策略', '登录', '首充', '改造', '惊悚', '冒险', '生化危机', '釜山行', '我是传奇', '守望黎明', '末日血战', '行尸走肉']","[{'title': '智商149卡在了39关，这款游戏太烧脑，你能过几关？', 'creative_word_ids': []}, {'title': '不花钱只烧脑，智商135挂在49关，你能过几关？', 'creative_word_ids': []}, {'title': '这游戏谁设计的，蹲厕所玩了两小时，腿都麻了！', 'creative_word_ids': []}]",19131501
9,8296,1001703,21394,1283587,2022-01-19 15:42:43,SMART_BID_CUSTOM,0,4000.0,DEFAULT,0.0,"['INVENTORY_UNION_SLOT', 'INVENTORY_AWEME_FEED', 'INVENTORY_FEED', 'INVENTORY_UNION_SPLASH_SLOT', 'INVENTORY_VIDEO_FEED', 'INVENTORY_HOTSOON_FEED', 'INVENTORY_TOMATO_NOVEL']",CUSTOMER,FLOW_CONTROL_MODE_FAST,111111111111111111111111111111111111111111111111000000000000000000000000000000000000000000000000000000000000000000000011111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,675.23,0,GENDER_MALE,[],1,[],"[341029460, 341029326]",[],[],NONE,CURRENT,[],NONE,RECOMMEND,"['AGE_BETWEEN_18_23', 'AGE_BETWEEN_24_30', 'AGE_BETWEEN_31_40', 'AGE_BETWEEN_41_49']",,,,BID_PER_ACTION,,41698,"20,235",8296,2022-01-23 00:00:00,2777.09,90.0,0.032408,0.0364,"['丧尸', '美女', '僵尸', '卡牌', '策略', '放置', '回合', '手游', 'LOL', '塔防', '三国', '生存', '射击', '网游', '游戏', '手游大全', '阴阳师', '吃鸡', '小姐姐', '红警']","[{'title': '后悔知道的晚了，上线就送福利礼包！不肝不氪!!', 'creative_word_ids': []}, {'title': '策略+生存，能过20关的都是人才！试试你能过几关？', 'creative_word_ids': []}, {'title': '3分钟入坑！10分钟通100关，你敢来挑战吗？', 'creative_word_ids': []}, {'title': '{地点}兄弟上号，曾经浴血奋战的队友就缺你了！！', 'creative_word_ids': [4]}]",19131101
10,9851,1001703,21339,1284562,2022-01-19 17:02:42,SMART_BID_CUSTOM,0,3600.0,DEFAULT,0.0,"['INVENTORY_UNION_SLOT', 'INVENTORY_AWEME_FEED', 'INVENTORY_FEED', 'INVENTORY_UNION_SPLASH_SLOT', 'INVENTORY_VIDEO_FEED', 'INVENTORY_HOTSOON_FEED', 'INVENTORY_TOMATO_NOVEL']",APP,FLOW_CONTROL_MODE_FAST,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,925.98,0,NONE,[],1,[],"[341029460, 341029326]",[],[],NONE,CURRENT,[],NONE,UNLIMITED,"['AGE_BETWEEN_18_23', 'AGE_BETWEEN_24_30', 'AGE_BETWEEN_31_40', 'AGE_BETWEEN_41_49']",,,,BID_PER_ACTION,,42613,"20,235",9851,2022-01-20 00:00:00,7078.73,358.0,0.050574,0.0396,"['丧尸', '美女', '僵尸', '卡牌', '策略', '放置', '回合', '手游', 'LOL', '塔防', '三国', '生存', '射击', '网游', '游戏', '手游大全', '阴阳师', '吃鸡', '小姐姐', '红警']","[{'title': '3分钟上手，5分钟上头，来试试你能过多少关？', 'creative_word_ids': []}, {'title': '无限关卡游戏，休闲不伤脑，能过50关是人才！', 'creative_word_ids': []}, {'title': '末日烧脑小游戏，没wifi也能玩一天！', 'creative_word_ids': []}]",19131501
