ad_account_id,image_id,game_id,platform,android_osv,ios_osv,budget,ad_keywords,title_list,third_industry_id,retargeting_tags_include,retargeting_tags_exclude,interest_action_mode,action_scene,action_days,action_categories,interest_categories,deep_bid_type,roi_goal,smart_bid_type,adjust_cpa,cpa_bid,delivery_range,city,location_type,gender,age,ac,launch_price,auto_extend_enabled,hide_if_exists,hide_if_converted,schedule_time,flow_control_mode,inventory_type,convertIndex,web_url,plan_auto_task_id,op_id,district,flag
9872,42655,1001703,[ANDROID],NONE,NONE,3300.0,"['末日', '末世', '丧尸', '幸存', '美女', '长腿', '小姨子', '女忧', '豪车', '科技', '5G', '科普', '历史', '玄幻', '翻修', '游戏', '手游', '生化', '美胸', 'SM']","[{'title': '智商149卡在了39关，这款游戏太烧脑，你能过几关？', 'creative_word_ids': []}]",19131201,[],"[341029460, 341029326]",CUSTOM,"['APP', 'E-COMMERCE', 'NEWS']",30.0,"[16, 17, 5, 11, 14, 20, 2]","[16, 17, 11, 9, 14, 20, 19]",BID_PER_ACTION,,SMART_BID_CUSTOM,0.0,700,DEFAULT,[],CURRENT,NONE,"['AGE_BETWEEN_18_23', 'AGE_BETWEEN_24_30', 'AGE_BETWEEN_31_40', 'AGE_BETWEEN_41_49']",[],[],0,0,CUSTOMER,111111110000000000000011111111111111111111111111111111110000000000000011111111111111111111111111111111111100000000000111111111111111111111111111111111111100000000000111111111111111111111111111111111110000000000000011111111111111111111111111111111110000000000001111111111111111111111111111111111110000000000001111111111111111111111111111,FLOW_CONTROL_MODE_FAST,[],13,https://www.chengzijianzhan.com/tetris/page/7044279938891825160/,"11002,10998,12098",13268,CITY,SSR
9872,42501,1001703,[ANDROID],10.0,NONE,3300.0,"['末日', '丧尸', '僵尸', '开局', '回合', '放置', '恐怖', '刺激', '策略', '登录', '首充', '改造', '惊悚', '冒险', '生化危机', '釜山行', '我是传奇', '守望黎明', '末日血战', '行尸走肉']","[{'title': '智商149卡在了39关，这款游戏太烧脑，你能过几关？', 'creative_word_ids': []}, {'title': '不花钱只烧脑，智商135挂在49关，你能过几关？', 'creative_word_ids': []}, {'title': '这游戏谁设计的，蹲厕所玩了两小时，腿都麻了！', 'creative_word_ids': []}]",19131501,[],"[341029460, 341029326]",RECOMMEND,,,,[],BID_PER_ACTION,,SMART_BID_CUSTOM,0.0,725,DEFAULT,[],CURRENT,NONE,[],[],[],0,0,APP,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111100000000000111111111111111111111111111111111111100000000000111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,FLOW_CONTROL_MODE_FAST,"['INVENTORY_AWEME_FEED', 'INVENTORY_FEED', 'INVENTORY_TOMATO_NOVEL']",13,https://www.chengzijianzhan.com/tetris/page/7044279938891825160/,"11002,10998,12098",13268,CITY,SSR
9873,42607,1001703,[ANDROID],10.0,NONE,3300.0,"['末日', '末日手游', '卡牌游戏', '策略游戏', '手游', '美女']","[{'title': '智商149卡在了39关，这款游戏太烧脑，你能过几关？', 'creative_word_ids': []}, {'title': '末日生存游戏，休闲不伤脑没wifi也能玩！', 'creative_word_ids': []}]",19131501,[],[],CUSTOM,"['E-COMMERCE', 'NEWS', 'APP']",30.0,"[16, 2]",[16],BID_PER_ACTION,,SMART_BID_CUSTOM,0.0,701,DEFAULT,[],CURRENT,NONE,"['AGE_BETWEEN_24_30', 'AGE_BETWEEN_31_40', 'AGE_BETWEEN_41_49', 'AGE_ABOVE_50']",[],[],0,0,APP,000000000000000001111111111111111111111111111111000000000000000001111111111111111111111111111111111111111100000000000111111111111111111111111111111111111100000000000111111111111111111111111111000000000000000001111111111111111111111111111111000000000000000001111111111111111111111111111111000000000000000001111111111111111111111111111111,FLOW_CONTROL_MODE_FAST,[],13,https://www.chengzijianzhan.com/tetris/page/7044279938891825160/,"11002,10998,12098",13268,CITY,SSR
9873,42613,1001703,[ANDROID],NONE,NONE,3300.0,"['游戏', '末日', '卡牌策略', '卡牌对战', '春节', '美女', '挂机']","[{'title': '智商149卡在39关，这款游戏太烧脑了，你能过几关？', 'creative_word_ids': []}, {'title': '3分钟入坑！10分钟通100关，你敢来挑战吗？', 'creative_word_ids': []}]",19131501,[],"[341029460, 341029326]",RECOMMEND,,,,[],BID_PER_ACTION,,SMART_BID_CUSTOM,0.0,712,DEFAULT,[],CURRENT,NONE,"['AGE_BETWEEN_24_30', 'AGE_BETWEEN_31_40', 'AGE_BETWEEN_41_49']",[],[],0,0,CUSTOMER,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111100000000000111111111111111111111111111111111111100000000000111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,FLOW_CONTROL_MODE_FAST,[],13,https://www.chengzijianzhan.com/tetris/page/7044279938891825160/,"11002,10998,12098",13268,CITY,SSR
9874,42454,1001703,[ANDROID],NONE,NONE,3300.0,,,,[],"[341029460, 341029326]",RECOMMEND,,,,[],BID_PER_ACTION,,SMART_BID_CUSTOM,0.0,702,DEFAULT,[],CURRENT,NONE,"['AGE_BETWEEN_24_30', 'AGE_BETWEEN_31_40', 'AGE_BETWEEN_41_49', 'AGE_ABOVE_50']",[],"[0, 11000]",0,0,APP,111111110000000000000011111111111111111111111111111111110000000000000011111111111111111111111111111111111100000000000111111111111111111111111111111111111100000000000111111111111111111111111111111111110000000000000011111111111111111111111111111111110000000000001111111111111111111111111111111111110000000000001111111111111111111111111111,FLOW_CONTROL_MODE_FAST,[],13,https://www.chengzijianzhan.com/tetris/page/7044279938891825160/,"11002,10998,12098",13268,CITY,SSR
9874,42719,1001703,[ANDROID],NONE,NONE,3300.0,"['末日', '末日手游', '卡牌游戏', '策略游戏', '手游', '美女']","[{'title': '智商149卡在了39关，这款游戏太烧脑，你能过几关？', 'creative_word_ids': []}, {'title': '末日生存游戏，休闲不伤脑没wifi也能玩！', 'creative_word_ids': []}]",19131501,[],"[341029460, 341029326]",RECOMMEND,,,,[],BID_PER_ACTION,,SMART_BID_CUSTOM,0.0,744,DEFAULT,[],CURRENT,NONE,"['AGE_BETWEEN_24_30', 'AGE_BETWEEN_31_40', 'AGE_BETWEEN_41_49', 'AGE_ABOVE_50']",[],[],0,0,APP,111111100000000111111111111111111111111111111111111111100000000111111111111111111111111111111111111111111100000000000111111111111111111111111111111111111100000000000111111111111111111111111111111111100000000111111111111111111111111111111111111111100000000111111111111111111111111111111111111111100000000111111111111111111111111111111111,FLOW_CONTROL_MODE_FAST,[],13,https://www.chengzijianzhan.com/tetris/page/7044279938891825160/,"11002,10998,12098",13268,CITY,SSR
9875,41698,1001703,[ANDROID],NONE,NONE,3300.0,"['丧尸', '美女', '僵尸', '卡牌', '策略', '放置', '回合', '手游', 'LOL', '塔防', '三国', '生存', '射击', '网游', '游戏', '手游大全', '阴阳师', '吃鸡', '小姐姐', '红警']","[{'title': '后悔知道的晚了，上线就送福利礼包！不肝不氪!!', 'creative_word_ids': []}, {'title': '策略+生存，能过20关的都是人才！试试你能过几关？', 'creative_word_ids': []}, {'title': '3分钟入坑！10分钟通100关，你敢来挑战吗？', 'creative_word_ids': []}, {'title': '{地点}兄弟上号，曾经浴血奋战的队友就缺你了！！', 'creative_word_ids': [4]}]",19131101,[],[],RECOMMEND,,,,[],BID_PER_ACTION,,SMART_BID_CUSTOM,0.0,700,DEFAULT,[],CURRENT,NONE,"['AGE_BETWEEN_24_30', 'AGE_BETWEEN_31_40', 'AGE_BETWEEN_41_49', 'AGE_ABOVE_50']",[],"[0, 11000]",0,0,APP,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111100000000000111111111111111111111111111111111111100000000000111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,FLOW_CONTROL_MODE_FAST,[],13,https://www.chengzijianzhan.com/tetris/page/7044279938891825160/,"11002,10998,12098",13268,CITY,SSR
9875,42240,1001703,[ANDROID],NONE,NONE,3300.0,"['卡牌', '末日', '生存', '美女', '丧尸', '求生', '生化危机']","[{'title': '不花钱只烧脑，智商120挂在第49关，试试你能过几关？', 'creative_word_ids': []}, {'title': '无限关卡，好玩不伤脑，能过49关是人才！', 'creative_word_ids': []}]",19131501,[],"[341029460, 341029326]",RECOMMEND,,,,[],BID_PER_ACTION,,SMART_BID_CUSTOM,0.0,717,DEFAULT,[],CURRENT,NONE,"['AGE_BETWEEN_24_30', 'AGE_BETWEEN_31_40', 'AGE_BETWEEN_41_49', 'AGE_ABOVE_50']",[],[],0,0,CUSTOMER,111111111111111111111111111111111111111111111111000000000000000000000000000000000000000000000000111111111100000000000111111111111111111111111111111111111100000000000111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,FLOW_CONTROL_MODE_FAST,[],13,https://www.chengzijianzhan.com/tetris/page/7044279938891825160/,"11002,10998,12098",13268,CITY,SSR
9876,42525,1001703,[ANDROID],NONE,NONE,3300.0,"['游戏', '末日', '卡牌策略', '卡牌对战', '春节', '美女', '挂机']","[{'title': '智商149卡在39关，这款游戏太烧脑了，你能过几关？', 'creative_word_ids': []}, {'title': '3分钟入坑！10分钟通100关，你敢来挑战吗？', 'creative_word_ids': []}]",19131501,[],"[341029460, 341029326]",RECOMMEND,,,,[],BID_PER_ACTION,,SMART_BID_CUSTOM,0.0,744,DEFAULT,[],CURRENT,NONE,"['AGE_BETWEEN_24_30', 'AGE_BETWEEN_31_40', 'AGE_BETWEEN_41_49', 'AGE_ABOVE_50']",[],[],0,0,APP,111111110000000000000011111111111111111111111111111111110000000000000011111111111111111111111111111111111100000000000111111111111111111111111111111111111100000000000111111111111111111111111111111111110000000000000011111111111111111111111111111111110000000000001111111111111111111111111111111111110000000000001111111111111111111111111111,FLOW_CONTROL_MODE_FAST,"['INVENTORY_AWEME_FEED', 'INVENTORY_FEED', 'INVENTORY_VIDEO_FEED', 'INVENTORY_HOTSOON_FEED']",13,https://www.chengzijianzhan.com/tetris/page/7044279938891825160/,"11002,10998,12098",13268,CITY,SSR
9876,42240,1001703,[ANDROID],NONE,NONE,3300.0,"['末日', '末世', '丧尸', '幸存', '美女', '长腿', '小姨子', '女忧', '豪车', '科技', '5G', '科普', '历史', '玄幻', '翻修', '游戏', '手游', '生化', '美胸', 'SM']","[{'title': '智商149卡在了39关，这款游戏太烧脑，你能过几关？', 'creative_word_ids': []}]",19131201,[],"[341029460, 341029326]",RECOMMEND,,,,[],BID_PER_ACTION,,SMART_BID_CUSTOM,0.0,714,DEFAULT,[],CURRENT,NONE,"['AGE_BETWEEN_18_23', 'AGE_BETWEEN_24_30', 'AGE_BETWEEN_31_40', 'AGE_BETWEEN_41_49']",[],[],1,0,CUSTOMER,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111100000000000111111111111111111111111111111111111100000000000111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,FLOW_CONTROL_MODE_FAST,[],13,https://www.chengzijianzhan.com/tetris/page/7044279938891825160/,"11002,10998,12098",13268,CITY,SSR
