,channel_id,source_id,7_pay_sum,pay_num,amount,roi,pay_cost
64,6867,1345766,196.0,1.0,789.65,0.24821123282466917,789.65
82,6867,1345796,48.0,1.0,377.89,0.1270210907936172,377.89
86,6867,1345806,42.0,1.0,458.58,0.09158707313881984,458.58
111,6867,1346381,196.0,1.0,998.98,0.19620012412660914,998.98
129,6867,1346402,42.0,1.0,343.14,0.12239902080783355,343.14
130,6867,1346406,30.0,1.0,442.57,0.06778588697833111,442.57
137,6867,1348467,2536.301617009151,3.0,18579.77,0.13650877362901429,6193.256666666667
151,6867,1350607,123.4486567375382,1.0,467.79,0.2638975966513568,467.79
254,20773,1346509,6017.837149234092,2.0,1013.45,5.937971433454134,506.725
265,20773,1346521,498.0,1.0,3847.54,0.12943335221985997,3847.54
273,20773,1346704,252.62373819958182,1.0,428.46,0.5896086873910793,428.46
276,20773,1346707,208.0,1.0,2138.56,0.09726170881340715,2138.56
278,20773,1346709,78.0,1.0,950.43,0.08206811653672548,950.43
286,20773,1346720,60.0,1.0,943.01,0.06362604850425764,943.01
293,20773,1347708,428.5342532107112,1.0,935.0,0.45832540450343445,935.0
305,20773,1347728,239.25752122431976,1.0,751.03,0.31857252203549763,751.03
336,20773,1350225,285.481927156929,3.0,2446.41,0.11669422834149999,815.4699999999999
339,20773,1350229,476.28154182653384,2.0,1077.94,0.4418442045257935,538.97
344,20773,1350234,154.18212484066706,1.0,2227.83,0.06920731152766013,2227.83
345,20773,1350236,340.69674153051017,2.0,3651.99,0.09329071041555705,1825.995
348,20773,1350239,113.71787206959252,1.0,1621.62,0.07012609123567329,1621.62
356,20773,1350484,335.97243275019565,3.0,3522.21,0.09538682609787481,1174.07
360,20773,1350488,14186.78464246124,9.0,14647.55,0.9685431790614294,1627.5055555555555
378,20773,1350507,230.9653485994549,2.0,1132.47,0.2039483152749785,566.235
387,20773,1350516,230.9354941553082,1.0,1005.26,0.22972712945437818,1005.26
449,20773,1355551,91.28743527985019,2.0,1589.93,0.05741600905690828,794.965
463,20773,1355566,130.70450499696886,1.0,1709.27,0.07646802728472908,1709.27
513,21206,1320611,2275.59364311042,1.0,4333.04,0.5251725447054308,4333.04
539,21206,1345070,1359.5689967099079,4.0,12349.64,0.11008976753248742,3087.41
544,21206,1345076,98.0,1.0,1422.78,0.06887923642446478,1422.78
565,21206,1347091,2120.3321124769964,6.0,18718.379999999997,0.11327540697843493,3119.7299999999996
566,21206,1347092,320.53996356980895,3.0,5447.86,0.05883777548795471,1815.9533333333331
579,21206,1348033,140.8553267805198,3.0,1881.0,0.07488321466268995,627.0
589,21206,1348051,520.5547994916253,6.0,9093.380000000001,0.057245468625706314,1515.5633333333335
597,21206,1348834,196.35029926054045,1.0,3462.0099999999998,0.05671569384852743,3462.0099999999998
598,21206,1348836,34675.08,1.0,4852.4,7.14596488335669,4852.4
603,21206,1348844,128.28541789850587,1.0,2313.04,0.055461824222022046,2313.04
606,21206,1348848,495.5560794937692,1.0,4933.73,0.10044248053577501,4933.73
651,21206,1351872,55.0577329008419,1.0,689.14,0.07989339307084467,689.14
653,21206,1351878,470.42479437243543,3.0,5229.889999999999,0.08994927127959393,1743.2966666666664
667,21206,1352208,52.551381775280895,1.0,674.52,0.07790930109601034,674.52
678,21206,1354562,90.81134776513608,1.0,718.23,0.12643769790336812,718.23
679,21206,1354563,93.15697348949061,1.0,404.22,0.23046106944112266,404.22
784,21212,1343520,4149.9698843255455,8.0,20065.690000000002,0.20681919656515899,2508.2112500000003
785,21212,1343521,17023.104821891226,8.0,21751.34,0.7826232692740412,2718.9175
793,21212,1345727,2633.5571073019596,8.0,24068.29,0.10942020007661366,3008.53625
807,21212,1346297,622.0007210696878,4.0,4031.4100000000003,0.1542886288096938,1007.8525000000001
814,21212,1346943,194.0,1.0,801.88,0.24193146106649374,801.88
825,21212,1348215,2929.505354571474,2.0,13221.699999999999,0.22156797950123466,6610.849999999999
832,21212,1348979,223.59547810257737,3.0,4005.24,0.05582573780911441,1335.08
845,21212,1351260,1225.3029309320345,5.0,16597.69,0.07382370263163336,3319.5379999999996
849,21212,1351265,3060.8739881786437,9.0,16458.050000000003,0.185980355399251,1828.6722222222224
856,21212,1351277,12028.403585605134,4.0,13616.029999999999,0.8834001970915998,3404.0074999999997
857,21212,1351278,2798.5843910708422,8.0,16127.769999999999,0.1735258123764688,2015.9712499999998
871,21212,1352364,418.7265747092809,3.0,6925.02,0.06046575673561677,2308.34
985,21328,1318184,1158.1557464400998,2.0,11596.92,0.09986752917499644,5798.46
1003,21328,1345814,2260.2809066974073,10.0,24013.54,0.09412526877325905,2401.3540000000003
1004,21328,1345815,4893.648624097998,8.0,25876.71,0.18911401890340768,3234.58875
1016,21328,1346949,60.0,1.0,574.32,0.10447137484329293,574.32
1023,21328,1346959,7503.861154871868,7.0,17514.41,0.42843927685099686,2502.058571428571
1029,21328,1348611,2240.4039038237943,16.0,19599.22,0.11431087072974302,1224.95125
1035,21328,1348617,622.8961045973679,2.0,4469.14,0.13937717426560095,2234.57
1039,21328,1348622,3566.5250081328345,2.0,10771.199999999999,0.3311167751163134,5385.599999999999
1040,21328,1348623,1640.7174194936854,3.0,10524.75,0.1558913436892739,3508.25
1044,21328,1348627,1767.1279113390674,12.0,20662.38,0.08552392857643056,1721.865
