,channel_id,source_id,7_pay_sum,pay_num,amount,roi,pay_cost
69,6867,1358467,3366.6445014183146,2.0,3388.88,0.9934386881265534,1694.44
77,6867,1359456,8038.767126559561,4.0,12714.859999999999,0.6322340259003687,3178.7149999999997
84,6867,1359463,315.8790557059828,2.0,4329.06,0.07296712351087367,2164.53
91,6867,1359473,244.43791974100708,1.0,3239.8399999999997,0.07544752819306111,3239.8399999999997
106,6867,1364021,179.99688621349827,1.0,1518.88,0.11850632453748701,1518.88
111,6867,1364027,157.97523475777018,1.0,1665.46,0.09485381501673422,1665.46
113,6867,1364031,798.7028598420374,1.0,1529.12,0.5223284371678072,1529.12
115,6867,1364035,388.7178855882645,1.0,2851.16,0.13633674910852583,2851.16
116,6867,1364036,228.65945742984223,2.0,1684.5200000000002,0.13574161032807103,842.2600000000001
119,6867,1364039,141.31650722117334,1.0,1623.93,0.08702130462592189,1623.93
124,6867,1364047,327.25746273819357,2.0,2726.06,0.1200477842520684,1363.03
125,6867,1364049,416.5446287104495,1.0,4682.63,0.08895527272290348,4682.63
201,20773,1350236,238.0,1.0,1906.7,0.12482299260502439,1906.7
204,20773,1350488,746.0,4.0,10607.59,0.0703270017034972,2651.8975
242,20773,1352985,139.1095533584273,1.0,680.11,0.2045397852677174,680.11
266,20773,1355521,276.9344932942196,3.0,3899.6,0.07101612813986552,1299.8666666666666
285,20773,1355560,258.19554575144986,1.0,765.05,0.3374884592529245,765.05
287,20773,1355562,5027.058621319547,1.0,4798.18,1.0477011327877541,4798.18
288,20773,1355563,988.9390576502799,2.0,6341.25,0.15595333059732386,3170.625
289,20773,1355564,4035.9052578788487,2.0,5557.91,0.7261552018436515,2778.955
291,20773,1355566,230.45759252376504,1.0,2857.9300000000003,0.08063794163039859,2857.9300000000003
297,20773,1355574,426.4792100992892,4.0,5384.05,0.0792115990934871,1346.0125
298,20773,1355576,319.7807345609177,1.0,2418.77,0.13220799603142,2418.77
304,20773,1356325,747.7187499219887,3.0,6051.05,0.12356843025953985,2017.0166666666667
316,20773,1359543,202.49626921037495,1.0,2450.51,0.08263433701979381,2450.51
331,20773,1360405,269.47466815286316,1.0,1405.24,0.19176415996759497,1405.24
341,20773,1363041,1670.358524736685,11.0,15512.96,0.10767503588848841,1410.269090909091
349,20773,1363054,164.86572866984662,1.0,2262.6099999999997,0.07286528772958957,2262.6099999999997
366,20773,1363073,54.50469236748003,1.0,423.49,0.12870361134260558,423.49
368,20773,1363338,155.58474904744534,2.0,1925.5900000000001,0.08079848204833082,962.7950000000001
372,20773,1363342,1908.369096069045,5.0,9427.94,0.2024163386772768,1885.5880000000002
375,20773,1363345,1329.5987003185724,5.0,12600.46,0.10551985406235743,2520.0919999999996
387,20773,1363806,561.8880426350263,2.0,2335.83,0.24055177073461095,1167.915
393,20773,1364765,274.58330140513465,2.0,3579.8,0.07670353131603291,1789.9
406,20773,1365645,305.37085336504686,2.0,2577.9,0.11845721454092356,1288.95
467,21206,1345067,105.70463049065091,2.0,1072.9,0.09852235109576932,536.45
471,21206,1346216,548.5683959301958,6.0,1705.8600000000001,0.32157879071564827,284.31
474,21206,1346254,407.30393839038146,2.0,3505.92,0.11617605033497098,1752.96
480,21206,1347092,308.0,2.0,1880.6399999999999,0.16377403437127788,940.3199999999999
495,21206,1348827,111.07912355740126,1.0,816.8900000000001,0.13597806749672692,816.8900000000001
505,21206,1351197,360.25606703882295,2.0,3469.6899999999996,0.10382946806164903,1734.8449999999998
512,21206,1351214,301.71469231195334,1.0,2514.5299999999997,0.11998850374103844,2514.5299999999997
515,21206,1351218,109.46399643961412,1.0,1456.2600000000002,0.07516789339789193,1456.2600000000002
530,21206,1351863,271.34019159176773,2.0,3348.5,0.08103335570905412,1674.25
562,21206,1354562,29813.354582613458,4.0,8042.71,3.706879221383521,2010.6775
563,21206,1354563,121.47571031171282,3.0,404.22,0.30051880241381623,134.74
604,21206,1356293,53.501688557160165,1.0,315.4,0.1696312256092586,315.4
631,21206,1363196,465.8876908287096,3.0,5916.09,0.07874925682819389,1972.03
632,21206,1363197,642.962833729608,2.0,4810.61,0.13365515677421533,2405.305
650,21206,1364796,480.91774824484776,1.0,1703.77,0.28226682489118116,1703.77
666,21206,1365822,175.94708416039876,1.0,2394.25,0.07348734850596168,2394.25
668,21206,1365824,256.2574929938535,2.0,3032.18,0.08451262556769502,1516.09
814,21212,1356568,485.08333554384785,1.0,4033.33,0.12026869498499945,4033.33
821,21212,1356620,2293.9916214486657,3.0,5872.3099999999995,0.39064552475068004,1957.4366666666665
826,21212,1359021,388.4769475118411,1.0,3407.7699999999995,0.1139974081325445,3407.7699999999995
836,21212,1359040,91.44100771368524,1.0,559.08,0.16355621326766337,559.08
843,21212,1363722,108.02746313779095,1.0,1215.31,0.08888881284428743,1215.31
846,21212,1363999,574.9067147643035,3.0,5600.79,0.10264743273079396,1866.93
848,21212,1364002,885.8178224545572,2.0,8019.63,0.11045619591609054,4009.815
852,21212,1364443,768.3013925039968,2.0,3401.93,0.22584279879480085,1700.965
854,21212,1364445,547.8923222446284,3.0,7183.68,0.0762690323406149,2394.56
928,21328,1314216,513.5293610045741,4.0,1783.26,0.2879722311971188,445.815
985,21328,1354119,14483.0775564891,5.0,8768.03,1.651805200996016,1753.6060000000002
988,21328,1354122,1093.9356109100381,6.0,9448.1,0.11578366136154762,1574.6833333333334
990,21328,1354124,7169.890845808583,7.0,17463.59,0.41056225242396227,2494.7985714285714
997,21328,1354138,812.0,1.0,4537.18,0.17896578932288337,4537.18
999,21328,1355684,4202.194583751841,2.0,7680.28,0.5471408052508295,3840.14
1003,21328,1355688,1484.4074685114892,7.0,19106.14,0.07769269295166314,2729.4485714285715
1013,21328,1364452,508.0429167256488,3.0,6248.780000000001,0.08130273697036042,2082.9266666666667
1016,21328,1364458,7032.939309484418,4.0,4325.08,1.626083057304008,1081.27
1024,21328,1364473,524.1183652132345,3.0,5756.96,0.09104082106063521,1918.9866666666667
1030,21328,1364513,1544.2226567572527,1.0,4887.379999999999,0.3159612423746983,4887.379999999999
1159,21339,1347740,1022.5652876418606,3.0,7781.99,0.13140151653264276,2593.9966666666664
1178,21339,1358612,4431.325435279506,1.0,6181.96,0.7168156111135474,6181.96
1183,21339,1358618,278.98686094426654,3.0,3850.91,0.07244699589039125,1283.6366666666665
1229,21380,1340354,635.6973969260457,3.0,4245.54,0.14973298966116105,1415.18
1231,21380,1340356,771.5061288396071,2.0,3112.3799999999997,0.24788301198427157,1556.1899999999998
1232,21380,1353870,3378.104131846383,3.0,4840.74,0.6978487032656956,1613.58
1259,21387,1178128,1393.743173981176,6.0,16939.87,0.08227590731104642,2823.3116666666665
1293,21387,1336900,650.0,1.0,6073.75,0.10701790491870755,6073.75
1309,21387,1346176,2667.355693396069,10.0,9526.16,0.2800032430062133,952.616
1315,21387,1346189,208.93701583701173,1.0,1326.12,0.15755513515896882,1326.12
1323,21387,1348909,433.05687045815887,2.0,5505.219999999999,0.07866295451556139,2752.6099999999997
1340,21387,1352662,820.9319110667195,3.0,7030.98,0.11675924424002337,2343.66
1349,21387,1352693,2013.0712871085677,2.0,3151.19,0.6388289145080327,1575.595
1354,21387,1353083,1603.9609489179009,6.0,17971.84,0.08924856602985008,2995.306666666667
1364,21387,1357216,22899.886772857993,4.0,14939.470000000001,1.5328446573310828,3734.8675000000003
1379,21387,1359369,750.5223129270368,6.0,8302.63,0.09039573158469506,1383.7716666666665
1507,21394,1349450,24469.67582246492,3.0,4132.53,5.921233680690745,1377.51
1512,21394,1350310,2402.0,4.0,9660.57,0.24863957302726444,2415.1425
1529,21394,1352832,1320.610558233781,3.0,9332.73,0.14150313554916738,3110.91
1530,21394,1352833,780.8627381505269,3.0,10398.0,0.07509739739858885,3466.0
1539,21394,1352854,188.0,1.0,811.53,0.23166118319717077,811.53
1540,21394,1352855,107.16214246505092,1.0,817.4,0.13110122640696223,817.4
1555,21394,1353121,226.0,1.0,1661.75,0.1360012035504739,1661.75
1570,21394,1357765,75.55444100786823,1.0,828.09,0.09123940756182085,828.09
1571,21394,1357766,239.44205102183733,2.0,1240.82,0.19297081850859701,620.41
1591,21394,1358152,1385.199919270622,5.0,12570.46,0.11019484722680174,2514.0919999999996
1611,21394,1360378,511.6309850564137,3.0,6750.72,0.07578909880078179,2250.2400000000002
1613,21394,1360380,644.6577990363195,2.0,1028.36,0.6268794965151498,514.18
1652,21394,1362980,1046.3973894017502,2.0,9863.18,0.1060912798308203,4931.59
1666,21394,1365115,174.60793512033172,1.0,826.8,0.21118521422391356,826.8
1718,21513,1348988,218.0,1.0,1449.99,0.15034586445423762,1449.99
1726,21513,1351699,11144.909201389513,3.0,9351.14,1.1918235852943613,3117.0466666666666
1728,21513,1351701,438.6634549779146,1.0,3819.5299999999997,0.1148474956284974,3819.5299999999997
1732,21513,1352982,4963.15352784611,6.0,13441.42,0.3692432442291149,2240.2366666666667
1743,21513,1355968,806.2634579744536,3.0,7410.97,0.10879324271646675,2470.3233333333333
1749,21513,1356316,166.1349454954323,1.0,1442.11,0.11520268599165966,1442.11
1758,21513,1358744,535.867367709575,1.0,2116.63,0.2531700711553625,2116.63
1759,21513,1358745,1092.3167494207626,5.0,9800.57,0.11145441024560435,1960.114
1762,21513,1358756,152.80432647726906,1.0,1415.6,0.1079431523574944,1415.6
1787,21513,1364942,3598.574742489925,2.0,7585.57,0.47439740751056614,3792.785
1789,21513,1365094,393.12511447943314,1.0,1406.5,0.2795059470170161,1406.5
