ad_account_id,ad_amount,ad_create_role_num,ad_new_role_money,ad_pay_role_user_num,ad_source_num,ad_valid_source_num,model_run_datetime,data_win
4688,1246.37,39.0,0.0,0.0,1,0,2020-01-01,1
4691,8771.13,36.0,120.0,4.0,6,2,2020-01-01,1
4726,5579.94,162.0,280.0,6.0,2,1,2020-01-01,1
4800,33599.65,1974.0,9320.0,26.0,16,3,2020-01-01,1
5101,21551.97,1234.0,946.0,11.0,13,2,2020-01-01,1
5102,1066.8,9.0,0.0,0.0,3,0,2020-01-01,1
5105,11056.81,285.0,236.0,4.0,4,2,2020-01-01,1
5110,1233.52,12.0,0.0,0.0,4,0,2020-01-01,1
5138,5004.14,82.0,0.0,0.0,6,0,2020-01-01,1
5235,1596.75,40.0,0.0,0.0,5,0,2020-01-01,1
5344,13218.82,322.0,564.0,2.0,9,1,2020-01-01,1
5347,9639.16,102.0,296.0,2.0,7,1,2020-01-01,1
5350,13245.43,481.0,224.0,7.0,8,3,2020-01-01,1
5351,2223.03,24.0,0.0,0.0,6,0,2020-01-01,1
4688,2081.18,102.0,0.0,0.0,2,0,2020-01-02,1
4691,5087.35,26.0,90.0,3.0,6,1,2020-01-02,1
4726,1768.33,85.0,0.0,0.0,1,0,2020-01-02,1
4800,30642.75,1662.0,1364.0,14.0,11,4,2020-01-02,1
5101,30562.01,1545.0,1712.0,23.0,12,4,2020-01-02,1
5105,3928.87,175.0,0.0,0.0,3,0,2020-01-02,1
5110,591.07,6.0,0.0,0.0,1,0,2020-01-02,1
5136,1472.19,8.0,0.0,0.0,2,0,2020-01-02,1
5138,2472.2,64.0,0.0,0.0,4,0,2020-01-02,1
5235,15202.91,496.0,900.0,10.0,5,3,2020-01-02,1
5344,11652.41,226.0,96.0,2.0,6,0,2020-01-02,1
5347,3746.45,53.0,1124.0,1.0,4,1,2020-01-02,1
5350,11007.95,411.0,274.0,5.0,4,2,2020-01-02,1
5351,7471.22,117.0,216.0,4.0,6,1,2020-01-02,1
4688,2265.33,111.0,0.0,0.0,2,0,2020-01-03,1
4691,887.2,10.0,0.0,0.0,2,0,2020-01-03,1
4800,30084.68,1260.0,2144.0,24.0,10,3,2020-01-03,1
4884,1709.78,50.0,0.0,0.0,4,0,2020-01-03,1
5101,35635.17,1988.0,3620.0,42.0,8,5,2020-01-03,1
5105,3120.5,184.0,0.0,0.0,1,0,2020-01-03,1
5120,1397.59,3.0,0.0,0.0,4,0,2020-01-03,1
5136,3398.91,21.0,0.0,0.0,3,0,2020-01-03,1
5138,1170.28,35.0,0.0,0.0,2,0,2020-01-03,1
5235,21119.29,695.0,1640.0,12.0,9,3,2020-01-03,1
5344,11291.55,529.0,42.0,2.0,8,1,2020-01-03,1
5347,145.44,2.0,0.0,0.0,1,0,2020-01-03,1
5350,9153.65,347.0,158.0,1.0,6,0,2020-01-03,1
5351,7764.55,139.0,240.0,2.0,6,1,2020-01-03,1
4688,1012.47,40.0,0.0,0.0,1,0,2020-01-04,1
4691,551.62,7.0,0.0,0.0,1,0,2020-01-04,1
4800,24001.47,929.0,1152.0,14.0,8,4,2020-01-04,1
4884,3796.21,146.0,0.0,0.0,4,0,2020-01-04,1
5101,20942.42,1380.0,9714.0,30.0,4,4,2020-01-04,1
5105,955.05,65.0,0.0,0.0,1,0,2020-01-04,1
5120,3399.18,22.0,0.0,0.0,8,0,2020-01-04,1
5136,1926.72,13.0,0.0,0.0,3,0,2020-01-04,1
5235,11471.66,361.0,132.0,8.0,7,3,2020-01-04,1
5344,14401.37,751.0,102.0,2.0,9,2,2020-01-04,1
5347,5129.48,36.0,0.0,0.0,6,0,2020-01-04,1
5350,7395.43,248.0,0.0,0.0,6,0,2020-01-04,1
5351,4401.33,67.0,0.0,0.0,8,0,2020-01-04,1
4688,2270.1,93.0,416.0,2.0,1,1,2020-01-05,1
4691,1147.48,17.0,156.0,2.0,1,0,2020-01-05,1
4726,3977.85,15.0,0.0,0.0,5,0,2020-01-05,1
4800,33777.7,1531.0,1610.0,21.0,15,5,2020-01-05,1
4884,9528.4,269.0,370.0,5.0,9,3,2020-01-05,1
5101,23331.45,1422.0,2136.0,21.0,9,5,2020-01-05,1
