ad_account_id_1,ad_amount_1,ad_create_role_num_1,ad_new_role_money_1,ad_pay_role_user_num_1,ad_source_num_1,ad_valid_source_num_1,model_run_datetime_1,data_win_1
4688,1246.37,39,0,0,1,0,2020/1/1,1
4691,8771.13,36,120,4,6,2,2020/1/1,1
4726,5579.94,162,280,6,2,1,2020/1/1,1
4800,33599.65,1974,9320,26,16,3,2020/1/1,1
5101,21551.97,1234,946,11,13,2,2020/1/1,1
5102,1066.8,9,0,0,3,0,2020/1/1,1
5105,11056.81,285,236,4,4,2,2020/1/1,1
5110,1233.52,12,0,0,4,0,2020/1/1,1
5138,5004.14,82,0,0,6,0,2020/1/1,1
5235,1596.75,40,0,0,5,0,2020/1/1,1
5344,13218.82,322,564,2,9,1,2020/1/1,1
5347,9639.16,102,296,2,7,1,2020/1/1,1
5350,13245.43,481,224,7,8,3,2020/1/1,1
5351,2223.03,24,0,0,6,0,2020/1/1,1
4688,2081.18,102,0,0,2,0,2020/1/2,1
4691,5087.35,26,90,3,6,1,2020/1/2,1
4726,1768.33,85,0,0,1,0,2020/1/2,1
4800,30642.75,1662,1364,14,11,4,2020/1/2,1
5101,30562.01,1545,1712,23,12,4,2020/1/2,1
5105,3928.87,175,0,0,3,0,2020/1/2,1
5110,591.07,6,0,0,1,0,2020/1/2,1
5136,1472.19,8,0,0,2,0,2020/1/2,1
5138,2472.2,64,0,0,4,0,2020/1/2,1
5235,15202.91,496,900,10,5,3,2020/1/2,1
5344,11652.41,226,96,2,6,0,2020/1/2,1
5347,3746.45,53,1124,1,4,1,2020/1/2,1
5350,11007.95,411,274,5,4,2,2020/1/2,1
5351,7471.22,117,216,4,6,1,2020/1/2,1
4688,2265.33,111,0,0,2,0,2020/1/3,1
4691,887.2,10,0,0,2,0,2020/1/3,1
4800,30084.68,1260,2144,24,10,3,2020/1/3,1
4884,1709.78,50,0,0,4,0,2020/1/3,1
5101,35635.17,1988,3620,42,8,5,2020/1/3,1
5105,3120.5,184,0,0,1,0,2020/1/3,1
5120,1397.59,3,0,0,4,0,2020/1/3,1
5136,3398.91,21,0,0,3,0,2020/1/3,1
5138,1170.28,35,0,0,2,0,2020/1/3,1
5235,21119.29,695,1640,12,9,3,2020/1/3,1
5344,11291.55,529,42,2,8,1,2020/1/3,1
5347,145.44,2,0,0,1,0,2020/1/3,1
5350,9153.65,347,158,1,6,0,2020/1/3,1
5351,7764.55,139,240,2,6,1,2020/1/3,1
4688,1012.47,40,0,0,1,0,2020/1/4,1
4691,551.62,7,0,0,1,0,2020/1/4,1
4800,24001.47,929,1152,14,8,4,2020/1/4,1
4884,3796.21,146,0,0,4,0,2020/1/4,1
5101,20942.42,1380,9714,30,4,4,2020/1/4,1
5105,955.05,65,0,0,1,0,2020/1/4,1
5120,3399.18,22,0,0,8,0,2020/1/4,1
5136,1926.72,13,0,0,3,0,2020/1/4,1
5235,11471.66,361,132,8,7,3,2020/1/4,1
5344,14401.37,751,102,2,9,2,2020/1/4,1
5347,5129.48,36,0,0,6,0,2020/1/4,1
5350,7395.43,248,0,0,6,0,2020/1/4,1
5351,4401.33,67,0,0,8,0,2020/1/4,1
4688,2270.1,93,416,2,1,1,2020/1/5,1
4691,1147.48,17,156,2,1,0,2020/1/5,1
4726,3977.85,15,0,0,5,0,2020/1/5,1
4800,33777.7,1531,1610,21,15,5,2020/1/5,1
4884,9528.4,269,370,5,9,3,2020/1/5,1
5101,23331.45,1422,2136,21,9,5,2020/1/5,1
5110,2044.07,11,42,1,4,1,2020/1/5,1
5120,4593.88,56,0,0,5,0,2020/1/5,1
5235,18025.38,610,1050,17,9,4,2020/1/5,1
5344,13827.25,496,662,4,13,4,2020/1/5,1
5347,9115.73,74,96,3,10,1,2020/1/5,1
5350,10294.28,280,60,2,7,1,2020/1/5,1
5351,9424.17,129,228,4,8,1,2020/1/5,1
4688,2855.92,141,576,4,2,1,2020/1/6,1
4691,962.57,16,0,0,1,0,2020/1/6,1
4726,9062.14,51,0,0,5,0,2020/1/6,1
4800,45443.98,2174,3326,31,13,8,2020/1/6,1
4884,23111.63,612,6420,26,7,3,2020/1/6,1
5101,49791.31,2423,5312,60,9,8,2020/1/6,1
5110,4644.49,32,440,6,4,1,2020/1/6,1
5120,3662.08,78,0,0,2,0,2020/1/6,1
