ad_account_id_7,ad_amount_7,ad_create_role_num_7,ad_new_role_money_7,ad_pay_role_user_num_7,ad_source_num_7,ad_valid_source_num_7,model_run_datetime_7,data_win_7
4688,17400.8,372,4480,56,2,1,2020/1/1,7
4691,28110.35,169,35316,21,12,3,2020/1/1,7
4693,26044.68,239,2268,20,18,2,2020/1/1,7
4726,49196.01,2482,11338,83,9,5,2020/1/1,7
4800,77150.92,4569,18852,110,26,7,2020/1/1,7
4884,17332.1,412,144,4,11,1,2020/1/1,7
5101,40675.11,2210,10046,51,17,6,2020/1/1,7
5102,6984.61,46,816,5,13,0,2020/1/1,7
5105,104800.25,2783,56862,223,21,11,2020/1/1,7
5110,3771.82,43,552,3,7,0,2020/1/1,7
5136,11183.33,128,216,8,6,1,2020/1/1,7
5138,10143.82,138,412,8,11,0,2020/1/1,7
5235,46881.6,1903,4792,41,25,2,2020/1/1,7
5344,53781.23,1735,24344,80,27,6,2020/1/1,7
5346,2526.21,13,0,0,6,0,2020/1/1,7
5347,21020.35,220,824,10,16,2,2020/1/1,7
5348,14810.69,282,2336,16,6,3,2020/1/1,7
5350,51422.28,1746,12052,87,23,8,2020/1/1,7
5351,2223.03,24,0,0,6,0,2020/1/1,7
4688,17829.8,435,4480,56,2,1,2020/1/2,7
4691,28803.92,177,36832,23,12,3,2020/1/2,7
4693,22407.05,221,2332,19,14,2,2020/1/2,7
4726,49196.01,2482,12394,83,9,5,2020/1/2,7
4800,85860.53,5027,35874,165,22,9,2020/1/2,7
4884,17332.1,412,144,4,11,1,2020/1/2,7
5101,60013,3167,11778,81,17,9,2020/1/2,7
5102,6984.61,46,816,5,13,0,2020/1/2,7
5105,100096.83,2742,59824,214,20,11,2020/1/2,7
5110,3771.82,43,552,3,7,0,2020/1/2,7
5136,11006.38,120,162,6,8,1,2020/1/2,7
5138,6174.42,117,140,1,6,0,2020/1/2,7
5235,59947.42,2320,5800,48,24,5,2020/1/2,7
5344,51409.16,1709,22144,78,25,6,2020/1/2,7
5346,231.05,1,0,0,1,0,2020/1/2,7
5347,20617.08,215,2764,9,16,2,2020/1/2,7
5348,14810.69,282,2336,16,6,3,2020/1/2,7
5350,52753.16,1911,13648,96,20,8,2020/1/2,7
5351,7748.69,119,324,6,6,1,2020/1/2,7
4688,16603.43,420,3264,32,2,1,2020/1/3,7
4691,28363.75,176,37178,23,12,3,2020/1/3,7
4693,17466.41,171,1560,12,12,1,2020/1/3,7
4726,34910.31,1646,9078,55,7,4,2020/1/3,7
4800,99405.68,5511,45566,210,26,9,2020/1/3,7
4884,19041.88,462,144,4,15,1,2020/1/3,7
5101,71639.17,3985,17424,141,16,11,2020/1/3,7
5102,5120.08,36,180,3,9,0,2020/1/3,7
5105,86475.3,2486,57236,164,18,10,2020/1/3,7
5110,3771.82,43,552,3,7,0,2020/1/3,7
5120,1397.59,3,0,0,4,0,2020/1/3,7
5136,8992.13,86,126,3,8,1,2020/1/3,7
5138,6174.42,117,60,2,6,0,2020/1/3,7
5235,54719.6,2146,6788,42,24,5,2020/1/3,7
5344,50884.44,1891,3872,43,25,5,2020/1/3,7
5347,17778.94,202,5532,8,13,2,2020/1/3,7
5348,10651.66,206,1644,10,6,2,2020/1/3,7
5350,47923.39,1785,13606,88,21,6,2020/1/3,7
5351,9987.58,163,600,8,9,1,2020/1/3,7
