,image_id,image_name,media_id,label_ids,image_launch_time,image_source_total_num,image_run_date_amount,image_create_role_pay_num,image_create_role_num,image_create_role_pay_sum,image_source_num,image_create_role_pay_rate,image_create_role_cost,image_create_role_pay_cost,image_valid_source_num,image_valid_source_rate,image_pay_sum_ability,image_pay_num_ability,image_create_role_roi,image_create_role_retain_1d,model_run_datetime,data_win
0,15018,Mxz023,16,,2019-09-28,190,534.46,0.0,7.0,0.0,1,0.0,76.351429,0.0,0.0,0.0,0.0,0.0,0.0,0.1429,2020-03-01,3
1,15321,SSR036-横版扒,10,,2019-07-22,97,1824.94,0.0,14.0,0.0,2,0.0,130.352857,0.0,0.0,0.0,0.0,0.0,0.0,0.1622,2020-03-01,3
2,16276,SSR114-竖版-088.089合体版本,10,,2019-08-14,290,339.93,0.0,2.0,0.0,1,0.0,169.965,0.0,0.0,0.0,0.0,0.0,0.0,0.3529,2020-03-01,3
3,17434,SSR284-横板,10,,2019-09-24,119,1479.37,1.0,38.0,42.0,1,0.0263,38.930789,1479.37,1.0,1.0,42.0,1.0,0.02839,0.0833,2020-03-01,3
4,17436,SSR285-竖版（扒）,10,,2019-09-24,142,10572.14,1.0,263.0,42.0,5,0.0038,40.198251,10572.14,0.0,0.0,0.0,0.0,0.003973,0.1301,2020-03-01,3
5,17605,SSR306-横板,10,,2019-09-30,32,1300.65,1.0,40.0,30.0,2,0.025,32.51625,1300.65,2.0,1.0,15.0,0.5,0.023065,0.1628,2020-03-01,3
6,18783,SSR519-横版（有提示3D）,10,,2019-11-07,43,2074.71,0.0,46.0,0.0,1,0.0,45.102391,0.0,0.0,0.0,0.0,0.0,0.0,0.0395,2020-03-01,3
7,19208,SSR607-竖版（混剪）,10,,2019-12-17,278,16659.49,4.0,333.0,390.0,3,0.012,50.028498,4164.8725,0.0,0.0,0.0,0.0,0.02341,0.1508,2020-03-01,3
8,19329,SSR624-横版（混剪）,10,,2019-12-21,16,5765.39,2.0,98.0,24.0,2,0.0204,58.83051,2882.695,1.0,0.5,24.0,2.0,0.004163,0.1531,2020-03-01,3
9,19340,SSR626-竖版（混剪）,10,,2019-12-21,29,494.17,0.0,6.0,0.0,1,0.0,82.361667,0.0,0.0,0.0,0.0,0.0,0.0,0.2857,2020-03-01,3
10,19442,SSR668-横版（3D混剪）,10,,2020-01-06,92,6041.34,1.0,149.0,12.0,1,0.0067,40.545906,6041.34,0.0,0.0,0.0,0.0,0.001986,0.1018,2020-03-01,3
11,19499,SSR688-横版（混剪）,10,,2020-01-14,14,2388.0,0.0,132.0,0.0,1,0.0,18.090909,0.0,0.0,0.0,0.0,0.0,0.0,0.0884,2020-03-01,3
12,19618,SSR704-横版（混剪),10,,2020-01-09,28,155.61,0.0,7.0,0.0,1,0.0,22.23,0.0,0.0,0.0,0.0,0.0,0.0,0.1667,2020-03-01,3
13,19636,SSR710-横版（混剪)-640x360—30S 100M内,10,19,2019-11-15,854,99942.69,30.0,2304.0,3460.0,30,0.013,43.377904,3331.423,30.0,1.0,115.333333,1.0,0.03462,0.1235,2020-03-01,3
14,19636,SSR710-横版（混剪)-640x360—30S 100M内,16,19,2019-11-15,854,1714.5,0.0,13.0,0.0,3,0.0,131.884615,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,2020-03-01,3
15,19651,SSR714-横版（混剪),10,,2020-01-11,36,26281.27,13.0,2319.0,996.0,5,0.0056,11.333019,2021.636154,2.0,0.4,498.0,6.5,0.037898,0.0722,2020-03-01,3
16,19667,SSR720-竖版（混剪),10,,2020-01-13,47,329.77,0.0,2.0,0.0,1,0.0,164.885,0.0,0.0,0.0,0.0,0.0,0.0,0.1786,2020-03-01,3
17,19668,SSR721-竖版（混剪）,10,,2019-11-15,117,7665.69,2.0,141.0,24.0,2,0.0142,54.366596,3832.845,2.0,1.0,12.0,1.0,0.003131,0.1528,2020-03-01,3
18,19668,SSR721-竖版（混剪）,16,,2019-11-15,117,358.8,0.0,2.0,0.0,1,0.0,179.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-03-01,3
19,19670,SSR722-竖版（混剪）,10,,2020-01-14,58,4849.49,1.0,133.0,42.0,4,0.0075,36.462331,4849.49,0.0,0.0,0.0,0.0,0.008661,0.0839,2020-03-01,3
20,19670,SSR722-竖版（混剪）,16,,2020-01-14,58,1773.37,0.0,12.0,0.0,1,0.0,147.780833,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,2020-03-01,3
