image_id_3,label_ids_3,im_amount_3,im_create_role_num_3,im_new_role_money_3,im_pay_role_user_num_3,im_source_num_3,im_valid_source_num_3,model_run_datetime_3,data_win_3
15018,,2083.44,141.0,0.0,0.0,3,0,2020-01-01,3
16276,,2025.04,33.0,324.0,4.0,1,0,2020-01-01,3
16316,,4345.45,100.0,0.0,0.0,4,0,2020-01-01,3
17089,-1,9049.21,363.0,886.0,22.0,4,2,2020-01-01,3
17417,,3335.44,50.0,0.0,0.0,2,0,2020-01-01,3
17434,,8761.78,218.0,48.0,4.0,2,0,2020-01-01,3
17436,,741.76,16.0,0.0,0.0,1,0,2020-01-01,3
17473,,548.97,13.0,0.0,0.0,1,0,2020-01-01,3
17605,,10220.55,402.0,3392.0,26.0,3,1,2020-01-01,3
17673,,9952.33,343.0,2178.0,5.0,4,2,2020-01-01,3
17817,,4243.36,68.0,0.0,0.0,5,0,2020-01-01,3
18072,,19431.23,1230.0,2636.0,27.0,5,2,2020-01-01,3
18166,,1498.6,23.0,12.0,1.0,2,0,2020-01-01,3
18435,,2782.48,218.0,156.0,4.0,1,0,2020-01-01,3
18835,,4845.85,118.0,48.0,4.0,2,1,2020-01-01,3
18900,,3548.61,53.0,180.0,3.0,6,0,2020-01-01,3
18936,,25486.89,740.0,5292.0,33.0,6,2,2020-01-01,3
19072,,3094.68,42.0,36.0,3.0,2,1,2020-01-01,3
19099,,8164.76,332.0,48.0,4.0,2,0,2020-01-01,3
19139,,1455.8,8.0,0.0,0.0,1,0,2020-01-01,3
19208,,30679.55,988.0,6372.0,30.0,22,3,2020-01-01,3
19218,,4448.85,276.0,0.0,0.0,3,0,2020-01-01,3
19248,,3484.29,63.0,0.0,0.0,5,0,2020-01-01,3
19261,,1253.25,14.0,0.0,0.0,3,0,2020-01-01,3
19329,,1057.24,3.0,0.0,0.0,1,0,2020-01-01,3
19339,,2448.86,2.0,0.0,0.0,1,0,2020-01-01,3
19340,,17846.65,2634.0,9960.0,48.0,1,1,2020-01-01,3
19343,,310.76,4.0,0.0,0.0,1,0,2020-01-01,3
19359,,213.49,3.0,324.0,1.0,1,1,2020-01-01,3
19360,,4666.54,261.0,60.0,2.0,3,1,2020-01-01,3
19363,,284.99,0.0,0.0,0.0,1,0,2020-01-01,3
19370,,4301.92,208.0,512.0,2.0,1,0,2020-01-01,3
19392,,2007.74,28.0,360.0,3.0,1,1,2020-01-01,3
19393,,4959.0,46.0,48.0,4.0,1,1,2020-01-01,3
19395,,11124.67,329.0,714.0,8.0,5,1,2020-01-01,3
19399,,306.33,1.0,0.0,0.0,1,0,2020-01-01,3
19409,,6105.92,235.0,144.0,6.0,2,1,2020-01-01,3
19414,,1864.48,50.0,294.0,3.0,1,1,2020-01-01,3
19418,,11106.56,65.0,27104.0,12.0,2,1,2020-01-01,3
19420,,1439.17,12.0,0.0,0.0,1,0,2020-01-01,3
19422,,2129.28,19.0,0.0,0.0,2,0,2020-01-01,3
19426,,1475.6,2.0,0.0,0.0,2,0,2020-01-01,3
19428,,1074.67,2.0,0.0,0.0,1,0,2020-01-01,3
19430,,11247.09,198.0,860.0,4.0,5,2,2020-01-01,3
19431,,1650.24,5.0,60.0,2.0,1,1,2020-01-01,3
19438,,4242.59,88.0,12.0,1.0,3,0,2020-01-01,3
17089,-1,5653.74,242.0,192.0,11.0,4,1,2020-01-02,3
17417,,6287.2,95.0,324.0,6.0,2,1,2020-01-02,3
17605,,7480.14,338.0,492.0,12.0,3,1,2020-01-02,3
18072,,17758.88,1119.0,1470.0,15.0,4,3,2020-01-02,3
18835,,3697.56,111.0,48.0,4.0,2,1,2020-01-02,3
18936,,13522.76,462.0,1572.0,11.0,3,2,2020-01-02,3
19072,,1881.24,25.0,96.0,2.0,2,1,2020-01-02,3
