image_id,image_name,image_run_date_amount,image_create_role_pay_num,image_create_role_num,image_create_role_pay_sum,image_source_num,image_create_role_pay_rate,image_create_role_cost,image_create_role_pay_cost,image_valid_source_num,image_valid_source_rate,image_pay_sum_ability,image_pay_num_ability,image_create_role_roi,image_create_role_retain_1d,model_run_datetime,data_win,score,image_launch_time,image_source_total_num,media_id,label_ids
15321,SSR036-横版扒,1824.94,0.0,14.0,0.0,2,0.0,130.352857,inf,0.0,0.0,0.0,0.0,0.0,0.1622,2020-03-01,3,510.0,2019-07-22,97,10,
17434,SSR284-横板,1479.37,1.0,38.0,42.0,1,0.0263,38.930789,1479.37,1.0,1.0,42.0,1.0,0.02839,0.0833,2020-03-01,3,546.0,2019-09-24,119,10,
17436,SSR285-竖版（扒）,10572.14,1.0,263.0,42.0,5,0.0038,40.198251,10572.14,0.0,0.0,0.0,0.0,0.003973,0.1301,2020-03-01,3,511.0,2019-09-24,142,10,
17605,SSR306-横板,1300.65,1.0,40.0,30.0,2,0.025,32.51625,1300.65,2.0,1.0,15.0,0.5,0.023065,0.1628,2020-03-01,3,541.0,2019-09-30,32,10,
18783,SSR519-横版（有提示3D）,2074.71,0.0,46.0,0.0,1,0.0,45.102391,inf,0.0,0.0,0.0,0.0,0.0,0.0395,2020-03-01,3,458.0,2019-11-07,43,10,
19208,SSR607-竖版（混剪）,16659.49,4.0,333.0,390.0,3,0.012,50.028498,4164.8725,0.0,0.0,0.0,0.0,0.02341,0.1508,2020-03-01,3,585.0,2019-12-17,278,10,
19329,SSR624-横版（混剪）,5765.39,2.0,98.0,24.0,2,0.0204,58.83051,2882.695,1.0,0.5,24.0,2.0,0.004163,0.1531,2020-03-01,3,534.0,2019-12-21,16,10,
19442,SSR668-横版（3D混剪）,6041.34,1.0,149.0,12.0,1,0.0067,40.545906,6041.34,0.0,0.0,0.0,0.0,0.001986,0.1018,2020-03-01,3,510.0,2020-01-06,92,10,
19499,SSR688-横版（混剪）,2388.0,0.0,132.0,0.0,1,0.0,18.090909,inf,0.0,0.0,0.0,0.0,0.0,0.0884,2020-03-01,3,523.0,2020-01-14,14,10,
19636,SSR710-横版（混剪)-640x360—30S 100M内,99942.69,30.0,2304.0,3460.0,30,0.013,43.377904,3331.423,30.0,1.0,115.333333,1.0,0.03462,0.1235,2020-03-01,3,723.0,2019-11-15,854,10,19
19651,SSR714-横版（混剪),26281.27,13.0,2319.0,996.0,5,0.0056,11.333019,2021.636154,2.0,0.4,498.0,6.5,0.037898,0.0722,2020-03-01,3,643.0,2020-01-11,36,10,
19668,SSR721-竖版（混剪）,7665.69,2.0,141.0,24.0,2,0.0142,54.366596,3832.845,2.0,1.0,12.0,1.0,0.003131,0.1528,2020-03-01,3,546.0,2019-11-15,117,10,
19670,SSR722-竖版（混剪）,4849.49,1.0,133.0,42.0,4,0.0075,36.462331,4849.49,0.0,0.0,0.0,0.0,0.008661,0.0839,2020-03-01,3,522.0,2020-01-14,58,10,
19789,SSR745-横版 (3D混剪-厕所合集),1435.0,0.0,6.0,0.0,1,0.0,239.166667,inf,0.0,0.0,0.0,0.0,0.0,0.0833,2020-03-01,3,460.0,2020-01-20,4,10,
19833,SSR754-横版有提示（3D）,15528.78,2.0,401.0,188.0,6,0.005,38.725137,7764.39,0.0,0.0,0.0,0.0,0.012107,0.0956,2020-03-01,3,562.0,2020-01-21,27,10,
19836,SSR756-横版（3D-656复刻）,17263.19,5.0,386.0,542.0,9,0.013,44.72329,3452.638,9.0,1.0,60.222222,0.5556,0.031396,0.108,2020-03-01,3,652.0,2020-01-19,197,10,
19837,SSR757-横版（混剪）,1273.24,1.0,53.0,12.0,2,0.0189,24.023396,1273.24,2.0,1.0,6.0,0.5,0.009425,0.0678,2020-03-01,3,509.0,2020-02-03,19,10,
19854,SSR761-竖版（3D混剪）,29124.89,3.0,647.0,838.0,8,0.0046,45.015286,9708.296667,0.0,0.0,0.0,0.0,0.028773,0.1457,2020-03-01,3,664.0,2020-01-14,184,10,
19855,SSR760-横版（3D-364复刻),11081.82,1.0,209.0,30.0,4,0.0048,53.023062,11081.82,0.0,0.0,0.0,0.0,0.002707,0.1216,2020-03-01,3,520.0,2020-01-14,89,10,
19859,SSR762-横版（混剪）,8545.12,5.0,293.0,354.0,5,0.0171,29.164232,1709.024,4.0,0.8,88.5,1.25,0.041427,0.1429,2020-03-01,3,656.0,2020-01-24,40,10,
19860,SSR763-横版（混剪）,14708.78,7.0,250.0,210.0,6,0.028,58.83512,2101.254286,4.0,0.6667,52.5,1.75,0.014277,0.1308,2020-03-01,3,568.0,2020-02-04,17,10,
19892,SSR767-横版（3D混剪-646复刻）,4078.79,0.0,36.0,0.0,1,0.0,113.299722,inf,0.0,0.0,0.0,0.0,0.0,0.15,2020-03-01,3,503.0,2020-02-04,12,10,
19893,SSR768-竖版（混剪）,8064.0,6.0,233.0,352.0,1,0.0258,34.609442,1344.0,1.0,1.0,352.0,6.0,0.043651,0.0891,2020-03-01,3,638.0,2020-02-04,51,10,
19908,SSR774-横版（混剪）,726.87,1.0,8.0,60.0,2,0.125,90.85875,726.87,2.0,1.0,30.0,0.5,0.082546,0.25,2020-03-01,3,616.0,2020-02-05,36,10,
19910,SSR776-竖版（混剪）,15454.2,4.0,668.0,346.0,2,0.006,23.13503,3863.55,0.0,0.0,0.0,0.0,0.022389,0.1437,2020-03-01,3,617.0,2020-02-05,23,10,
19988,SSR797-横版（混剪）,1120.97,0.0,8.0,0.0,2,0.0,140.12125,inf,0.0,0.0,0.0,0.0,0.0,0.0,2020-03-01,3,425.0,2020-02-12,5,10,
19999,SSR802-竖版（混剪）,20086.15,10.0,496.0,664.0,3,0.0202,40.49627,2008.615,1.0,0.3333,664.0,10.0,0.033058,0.163,2020-03-01,3,695.0,2020-02-08,54,10,
20023,SSR811-竖版（混剪）,2451.61,0.0,20.0,0.0,1,0.0,122.5805,inf,0.0,0.0,0.0,0.0,0.0,0.1,2020-03-01,3,492.0,2020-02-13,16,10,
20025,SSR813-竖版（混剪）,4030.16,2.0,98.0,122.0,1,0.0204,41.124082,2015.08,1.0,1.0,122.0,2.0,0.030272,0.1727,2020-03-01,3,578.0,2020-02-12,20,10,
20048,SSR820-竖板(混剪),3771.18,3.0,117.0,110.0,4,0.0256,32.232308,1257.06,4.0,1.0,27.5,0.75,0.029169,0.1278,2020-03-01,3,623.0,2020-02-13,16,10,
20057,SSR823-竖版（混剪）,1025.04,0.0,6.0,0.0,1,0.0,170.84,inf,0.0,0.0,0.0,0.0,0.0,0.1667,2020-03-01,3,459.0,2020-02-13,2,10,
20100,SSR837-横版（3D混剪）,767.34,0.0,14.0,0.0,1,0.0,54.81,inf,0.0,0.0,0.0,0.0,0.0,0.0,2020-03-01,3,459.0,2020-02-19,2,10,
20117,SSR842-横版（2D+3D混剪）,1334.58,0.0,20.0,0.0,2,0.0,66.729,inf,0.0,0.0,0.0,0.0,0.0,0.1538,2020-03-01,3,507.0,2020-02-13,6,10,
20118,SSR843-横版（2D+3D混剪）,25846.11,5.0,402.0,176.0,3,0.0124,64.293806,5169.222,1.0,0.3333,176.0,5.0,0.00681,0.1441,2020-03-01,3,551.0,2020-02-10,59,10,
20119,SSR844-横版（2D+3D混剪）,23823.91,3.0,478.0,238.0,9,0.0063,49.840816,7941.303333,0.0,0.0,0.0,0.0,0.00999,0.1447,2020-03-01,3,576.0,2020-02-12,78,10,
20120,SSR845-横版（2D+3D混剪）,40641.89,16.0,1684.0,738.0,7,0.0095,24.134139,2540.118125,4.0,0.5714,184.5,4.0,0.018159,0.1112,2020-03-01,3,651.0,2020-02-12,40,10,
20133,SSR846-横版（3D）,46187.99,9.0,1162.0,3262.0,11,0.0077,39.748701,5131.998889,5.0,0.4545,652.4,1.8,0.070624,0.1131,2020-03-01,3,768.0,2020-02-18,80,10,
20146,SSR848-横版（2D+3D混剪）,20579.95,5.0,402.0,438.0,7,0.0124,51.193905,4115.99,0.0,0.0,0.0,0.0,0.021283,0.1114,2020-03-01,3,595.0,2020-02-18,18,10,
20154,SSR852-横版（3D混剪）,84070.16,22.0,3222.0,4378.0,19,0.0068,26.092539,3821.370909,10.0,0.5263,437.8,2.2,0.052076,0.0796,2020-03-01,3,755.0,2020-02-18,40,10,
20173,SSR857-横版（3D）,1692.03,0.0,8.0,0.0,2,0.0,211.50375,inf,0.0,0.0,0.0,0.0,0.0,0.0,2020-03-01,3,405.0,2020-02-24,7,10,
20182,SSR859-竖版（扒末日大作战）,24297.3,10.0,947.0,388.0,1,0.0106,25.657128,2429.73,1.0,1.0,388.0,10.0,0.015969,0.0908,2020-03-01,3,654.0,2020-02-18,18,10,
20183,SSR860-竖版（扒末日大作战）,165695.62,51.0,6996.0,6756.0,19,0.0073,23.684337,3248.933725,19.0,1.0,355.578947,2.6842,0.040774,0.0739,2020-03-01,3,763.0,2020-02-24,81,10,
20184,SSR861-横版（扒末日大作战）,19643.06,6.0,634.0,486.0,3,0.0095,30.982744,3273.843333,3.0,1.0,162.0,2.0,0.024742,0.082,2020-03-01,3,629.0,2020-02-27,6,10,
20186,SSR864-竖版（混剪+114）,42397.77,8.0,1545.0,556.0,8,0.0052,27.441922,5299.72125,0.0,0.0,0.0,0.0,0.013114,0.0746,2020-03-01,3,605.0,2020-02-24,20,10,
20188,SSR863-竖版（混剪）,376728.8,175.0,27330.0,16082.0,36,0.0064,13.784442,2152.736,36.0,1.0,446.722222,4.8611,0.042689,0.067,2020-03-01,3,782.0,2020-02-24,190,10,
20192,SSR867-竖版（2D）,121190.07,45.0,5791.0,9600.0,13,0.0078,20.927313,2693.112667,13.0,1.0,738.461538,3.4615,0.079214,0.0716,2020-03-01,3,763.0,2020-02-26,69,10,
20196,SSR869-竖版（2D+3D）,163927.25,60.0,7057.0,5364.0,26,0.0085,23.229028,2732.120833,26.0,1.0,206.307692,2.3077,0.032722,0.0842,2020-03-01,3,778.0,2020-02-13,129,10,
20197,SSR870-横版（3D）,580.45,0.0,0.0,0.0,1,0.0,inf,inf,0.0,0.0,0.0,0.0,0.0,0.2308,2020-03-01,3,502.0,2020-02-26,3,10,
20202,SSR872-横版（3D混剪）,988.28,1.0,11.0,12.0,2,0.0909,89.843636,988.28,2.0,1.0,6.0,0.5,0.012142,0.0769,2020-03-01,3,545.0,2020-02-26,2,10,
20219,SSR875-横版（混剪）,1458.86,0.0,9.0,0.0,1,0.0,162.095556,inf,0.0,0.0,0.0,0.0,0.0,0.1111,2020-03-01,3,467.0,2020-02-28,1,10,
