image_id,image_name,image_run_date_amount,image_create_role_pay_num,image_create_role_num,image_create_role_pay_sum,image_source_num,image_create_role_pay_rate,image_create_role_cost,image_create_role_pay_cost,image_valid_source_num,image_valid_source_rate,image_pay_sum_ability,image_pay_num_ability,image_create_role_roi,image_create_role_retain_1d,model_run_datetime,data_win,score,image_launch_time,image_source_total_num,media_id,label_ids
16276,SSR114-竖版-088.089合体版本,1026.89,0.0,29.0,0.0,2,0.0,35.41,inf,0.0,0.0,0.0,0.0,0.0,0.3774,2020-01-01,3,542.0,2019-08-14,290,10,
16316,SSR123-竖版,799.72,0.0,20.0,0.0,1,0.0,39.986,inf,0.0,0.0,0.0,0.0,0.0,0.0495,2020-01-01,3,475.0,2019-08-16,258,10,
17089,Mxz155-1200X628,5653.74,2.0,242.0,24.0,4,0.0083,23.362562,2826.87,2.0,0.5,12.0,1.0,0.004245,0.035,2020-01-01,3,529.0,2019-12-24,80,10,-1
17417,Mxz200,6287.2,1.0,95.0,78.0,2,0.0105,66.181053,6287.2,0.0,0.0,0.0,0.0,0.012406,0.07,2020-01-01,3,516.0,2019-10-11,16,10,
17434,SSR284-横板,6074.32,0.0,202.0,0.0,2,0.0,30.070891,inf,0.0,0.0,0.0,0.0,0.0,0.0531,2020-01-01,3,467.0,2019-09-24,119,10,
17605,SSR306-横板,7480.14,4.0,338.0,122.0,3,0.0118,22.130592,1870.035,2.0,0.6667,61.0,2.0,0.01631,0.0367,2020-01-01,3,560.0,2019-09-30,32,10,
17673,SSR339-横版,7186.77,0.0,239.0,0.0,4,0.0,30.070167,inf,0.0,0.0,0.0,0.0,0.0,0.0311,2020-01-01,3,471.0,2019-09-28,16,10,
17817,SSR364-竖版(扒),1221.18,0.0,13.0,0.0,3,0.0,93.936923,inf,0.0,0.0,0.0,0.0,0.0,0.1702,2020-01-01,3,495.0,2019-10-16,245,10,
18072,SSR430-横版（扒）,17758.88,4.0,1119.0,96.0,4,0.0036,15.870313,4439.72,0.0,0.0,0.0,0.0,0.005406,0.0378,2020-01-01,3,519.0,2019-10-30,73,10,
18166,Mxz279,591.07,0.0,6.0,0.0,1,0.0,98.511667,inf,0.0,0.0,0.0,0.0,0.0,0.0,2020-01-01,3,417.0,2019-11-12,41,10,
18435,SSR490-横版（扒）,1142.63,0.0,134.0,0.0,1,0.0,8.52709,inf,0.0,0.0,0.0,0.0,0.0,0.0068,2020-01-01,3,473.0,2019-11-18,18,10,
18835,SSR526-横版（混剪27S）,3697.56,1.0,111.0,12.0,2,0.009,33.311351,3697.56,0.0,0.0,0.0,0.0,0.003245,0.0556,2020-01-01,3,494.0,2019-11-23,50,10,
18900,SSR546-横版（扒）,4088.4,0.0,78.0,0.0,6,0.0,52.415385,inf,0.0,0.0,0.0,0.0,0.0,0.0357,2020-01-01,3,467.0,2019-11-15,89,10,
18936,SSR550-竖版（扒）,13522.76,5.0,462.0,576.0,3,0.0108,29.270043,2704.552,2.0,0.6667,288.0,2.5,0.042595,0.0671,2020-01-01,3,645.0,2019-11-15,127,10,
19072,SSR576-横版（真人),1881.24,1.0,25.0,12.0,2,0.04,75.2496,1881.24,2.0,1.0,6.0,0.5,0.006379,0.08,2020-01-01,3,501.0,2019-12-10,15,10,
19099,SSR582-横版（混剪）,11836.91,0.0,528.0,0.0,2,0.0,22.41839,inf,0.0,0.0,0.0,0.0,0.0,0.0226,2020-01-01,3,487.0,2019-12-11,73,10,
19208,SSR607-竖版（混剪）,66952.24,20.0,2359.0,2868.0,22,0.0085,28.381619,3347.612,17.0,0.7727,168.705882,1.1765,0.042837,0.0562,2020-01-01,3,643.0,2019-12-17,278,10,
19218,SSR610-竖版（端游混剪）,4667.64,0.0,281.0,0.0,3,0.0,16.610819,inf,0.0,0.0,0.0,0.0,0.0,0.0203,2020-01-01,3,474.0,2019-11-15,40,10,
19248,SSR615-横版（3D）,8081.69,1.0,195.0,482.0,5,0.0051,41.444564,8081.69,0.0,0.0,0.0,0.0,0.059641,0.066,2020-01-01,3,546.0,2019-12-20,16,10,
19261,SSR619-横版（3D）,1352.28,0.0,18.0,0.0,1,0.0,75.126667,inf,0.0,0.0,0.0,0.0,0.0,0.0,2020-01-01,3,437.0,2019-12-21,5,10,
19340,SSR626-竖版（混剪）,17591.42,7.0,2741.0,918.0,1,0.0026,6.417884,2513.06,1.0,1.0,918.0,7.0,0.052185,0.0193,2020-01-01,3,668.0,2019-12-21,29,10,
19343,SSR628-竖版（混剪）,1345.34,0.0,37.0,0.0,1,0.0,36.360541,inf,0.0,0.0,0.0,0.0,0.0,0.1622,2020-01-01,3,524.0,2019-12-31,3,10,
19360,SSR634-横版（3D）,4666.54,1.0,261.0,30.0,3,0.0038,17.879464,4666.54,0.0,0.0,0.0,0.0,0.006429,0.0325,2020-01-01,3,504.0,2019-12-24,91,10,
19370,SSR637-横版(混剪),2380.95,0.0,127.0,0.0,1,0.0,18.747638,inf,0.0,0.0,0.0,0.0,0.0,0.0,2020-01-01,3,465.0,2019-12-28,2,10,
19392,SSR644-横版(真人),1697.85,0.0,23.0,0.0,1,0.0,73.819565,inf,0.0,0.0,0.0,0.0,0.0,0.0,2020-01-01,3,458.0,2019-12-26,2,10,
19393,SSR643-横版(混剪),4494.68,1.0,37.0,12.0,1,0.027,121.477838,4494.68,0.0,0.0,0.0,0.0,0.00267,0.1351,2020-01-01,3,522.0,2019-12-28,2,10,
19395,SSR646-横版（混剪）,12674.16,3.0,579.0,236.0,2,0.0052,21.889741,4224.72,0.0,0.0,0.0,0.0,0.018621,0.0377,2020-01-01,3,586.0,2019-12-28,19,10,
19409,SSR653-横版（混剪）,7218.54,1.0,258.0,30.0,2,0.0039,27.978837,7218.54,0.0,0.0,0.0,0.0,0.004156,0.0451,2020-01-01,3,498.0,2019-12-27,2,10,
19414,SSR654-竖版（混剪）,2996.26,1.0,76.0,98.0,1,0.0132,39.424474,2996.26,1.0,1.0,98.0,1.0,0.032707,0.0658,2020-01-01,3,505.0,2019-12-28,1,10,
19418,SSR656-横版（混剪）,7104.29,1.0,45.0,30.0,2,0.0222,157.873111,7104.29,0.0,0.0,0.0,0.0,0.004223,0.1778,2020-01-01,3,515.0,2019-12-21,58,10,
19420,SSR657-横版（混剪）,559.07,0.0,6.0,0.0,1,0.0,93.178333,inf,0.0,0.0,0.0,0.0,0.0,0.1667,2020-01-01,3,502.0,2019-12-21,1,10,
19422,SSR658-横版（混剪）,815.21,0.0,10.0,0.0,1,0.0,81.521,inf,0.0,0.0,0.0,0.0,0.0,0.0909,2020-01-01,3,502.0,2019-12-28,2,10,
19426,SSR661-横版（混剪）,1175.3,0.0,2.0,0.0,1,0.0,587.65,inf,0.0,0.0,0.0,0.0,0.0,0.0,2020-01-01,3,379.0,2019-12-28,2,10,
