image_id_3,label_ids_3,im_amount_3,im_create_role_num_3,im_new_role_money_3,im_pay_role_user_num_3,im_source_num_3,im_valid_source_num_3,model_run_datetime_3,data_win_3
23509,20,97653.48,4374.0,2492.0,40.0,24,7,2021-01-02,3
23552,20,7399.67,154.0,256.0,4.0,2,1,2021-01-02,3
25562,20,67959.83,2604.0,17096.0,67.0,9,5,2021-01-02,3
25825,20,184132.1,6666.0,22432.0,112.0,31,15,2021-01-02,3
25912,"-1,20",34189.32,501.0,406.0,7.0,10,1,2021-01-02,3
25919,103,8039.21,85.0,404.0,4.0,1,1,2021-01-02,3
26109,-1,13010.69,212.0,48.0,4.0,3,1,2021-01-02,3
26503,103,5863.27,34.0,30.0,1.0,3,1,2021-01-02,3
26853,103,31625.87,388.0,1436.0,13.0,15,4,2021-01-02,3
27001,"-1,103",18191.64,185.0,340.0,2.0,9,1,2021-01-02,3
27383,67,17847.44,173.0,404.0,4.0,12,2,2021-01-02,3
27434,20,112000.04,3979.0,3020.0,56.0,25,12,2021-01-02,3
27630,103,16021.37,240.0,230.0,3.0,10,1,2021-01-02,3
27672,20,212094.25,7074.0,15786.0,83.0,49,18,2021-01-02,3
27689,103,11874.58,110.0,1260.0,9.0,1,1,2021-01-02,3
27703,103,290128.52,5512.0,20716.0,130.0,65,20,2021-01-02,3
27715,20,3895.21,118.0,384.0,6.0,1,1,2021-01-02,3
27768,19,31063.91,523.0,382.0,9.0,9,2,2021-01-02,3
27778,103,5374.58,98.0,396.0,12.0,1,1,2021-01-02,3
27795,19,8489.13,107.0,42.0,1.0,3,1,2021-01-02,3
27824,103,22979.22,193.0,288.0,8.0,14,1,2021-01-02,3
27875,20,12018.34,415.0,440.0,8.0,2,1,2021-01-02,3
27881,20,14495.36,151.0,152.0,2.0,5,1,2021-01-02,3
27888,103,9028.35,137.0,152.0,2.0,3,1,2021-01-02,3
27944,103,35373.52,975.0,2986.0,17.0,11,1,2021-01-02,3
27945,19,63728.75,493.0,5872.0,37.0,19,5,2021-01-02,3
28017,20,41906.86,1055.0,1048.0,21.0,10,3,2021-01-02,3
28018,20,30200.99,724.0,548.0,15.0,14,1,2021-01-02,3
28031,25,4942.06,116.0,246.0,1.0,1,1,2021-01-02,3
28032,25,10151.65,148.0,12.0,1.0,6,1,2021-01-02,3
28033,20,128531.31,3277.0,7058.0,63.0,34,10,2021-01-02,3
28034,20,55474.69,1119.0,6632.0,22.0,19,5,2021-01-02,3
28036,20,38564.17,1245.0,7084.0,16.0,12,3,2021-01-02,3
28089,20,15624.61,451.0,436.0,6.0,4,1,2021-01-02,3
28382,126,18123.08,204.0,12.0,1.0,11,1,2021-01-02,3
28395,103,5173.08,58.0,128.0,1.0,2,1,2021-01-02,3
28459,25,6458.83,83.0,114.0,3.0,2,2,2021-01-02,3
28464,20,13018.85,171.0,158.0,2.0,5,1,2021-01-02,3
25547,20,2941.18,58.0,0.0,0.0,1,0,2021-01-02,3
25907,20,11123.66,292.0,12.0,1.0,4,0,2021-01-02,3
26445,"-1,20",906.44,5.0,0.0,0.0,2,0,2021-01-02,3
27410,103,858.75,2.0,0.0,0.0,2,0,2021-01-02,3
27508,103,290.68,1.0,0.0,0.0,1,0,2021-01-02,3
27748,103,7978.45,71.0,0.0,0.0,10,0,2021-01-02,3
27929,25,618.1,2.0,0.0,0.0,1,0,2021-01-02,3
27967,19,578.9,1.0,0.0,0.0,2,0,2021-01-02,3
27970,20,8002.03,188.0,24.0,2.0,4,0,2021-01-02,3
27985,19,3698.8,18.0,0.0,0.0,3,0,2021-01-02,3
28012,103,1467.7,12.0,0.0,0.0,3,0,2021-01-02,3
28035,20,1182.34,10.0,0.0,0.0,2,0,2021-01-02,3
28062,103,2168.9,8.0,0.0,0.0,4,0,2021-01-02,3
28092,112,4214.81,23.0,0.0,0.0,1,0,2021-01-02,3
28127,103,1120.39,11.0,0.0,0.0,2,0,2021-01-02,3
28137,125,2515.0,3.0,0.0,0.0,4,0,2021-01-02,3
28192,81,10655.42,321.0,0.0,0.0,4,0,2021-01-02,3
28194,"19,103",2144.14,9.0,0.0,0.0,4,0,2021-01-02,3
28198,,14557.5,87.0,0.0,0.0,2,0,2021-01-02,3
28203,19,525.89,2.0,0.0,0.0,1,0,2021-01-02,3
28205,126,2207.52,3.0,12.0,1.0,2,0,2021-01-02,3
28209,19,2120.56,4.0,0.0,0.0,4,0,2021-01-02,3
28212,103,1558.8,4.0,0.0,0.0,3,0,2021-01-02,3
28215,103,3201.19,29.0,0.0,0.0,4,0,2021-01-02,3
28216,103,4548.75,11.0,0.0,0.0,9,0,2021-01-02,3
28218,19,2139.4,4.0,0.0,0.0,4,0,2021-01-02,3
28219,112,3124.53,13.0,0.0,0.0,5,0,2021-01-02,3
28222,"20,83",3866.64,62.0,0.0,0.0,2,0,2021-01-02,3
28280,19,6894.72,38.0,0.0,0.0,11,0,2021-01-02,3
28397,103,2941.18,28.0,0.0,0.0,1,0,2021-01-02,3
28406,25,1706.44,4.0,0.0,0.0,5,0,2021-01-02,3
28418,19,3048.61,13.0,0.0,0.0,5,0,2021-01-02,3
28463,25,3768.75,17.0,0.0,0.0,2,0,2021-01-02,3
23509,20,95078.12,4249.0,5264.0,42.0,23,9,2021-01-03,3
23552,20,19826.96,563.0,932.0,10.0,4,2,2021-01-03,3
25547,20,11764.71,402.0,98.0,2.0,3,1,2021-01-03,3
25562,20,74135.19,3068.0,9318.0,71.0,9,5,2021-01-03,3
25825,20,182430.45,6816.0,29244.0,101.0,33,17,2021-01-03,3
25907,20,18714.71,649.0,656.0,2.0,6,0,2021-01-03,3
25912,"-1,20",96015.29,1587.0,2780.0,41.0,13,3,2021-01-03,3
25919,103,12231.44,118.0,624.0,4.0,3,1,2021-01-03,3
26109,-1,7926.71,171.0,48.0,4.0,3,1,2021-01-03,3
26445,"-1,20",906.44,5.0,0.0,0.0,2,0,2021-01-03,3
26503,103,5863.27,34.0,30.0,1.0,3,1,2021-01-03,3
26853,103,37519.24,428.0,1918.0,16.0,17,4,2021-01-03,3
27001,"-1,103",16606.12,137.0,424.0,4.0,8,1,2021-01-03,3
27383,67,15670.92,177.0,582.0,4.0,12,2,2021-01-03,3
27434,20,120395.41,4171.0,3596.0,51.0,28,10,2021-01-03,3
27575,19,3027.66,36.0,30.0,1.0,5,1,2021-01-03,3
27630,103,28298.85,557.0,2100.0,14.0,7,1,2021-01-03,3
27672,20,254626.92,8852.0,10952.0,94.0,53,22,2021-01-03,3
27689,103,11572.92,110.0,708.0,5.0,2,2,2021-01-03,3
27703,103,210706.89,3535.0,5660.0,76.0,56,18,2021-01-03,3
27715,20,6350.82,225.0,560.0,12.0,1,1,2021-01-03,3
27748,103,2155.93,20.0,42.0,1.0,5,0,2021-01-03,3
27768,19,34272.56,572.0,346.0,7.0,12,1,2021-01-03,3
27778,103,3565.93,59.0,120.0,4.0,1,1,2021-01-03,3
27795,19,8489.13,107.0,42.0,1.0,3,1,2021-01-03,3
27824,103,19339.69,173.0,102.0,3.0,16,1,2021-01-03,3
27875,20,12155.78,405.0,1424.0,8.0,2,1,2021-01-03,3
27881,20,25604.18,301.0,560.0,4.0,10,1,2021-01-03,3
27888,103,10409.05,160.0,490.0,5.0,3,1,2021-01-03,3
27944,103,29214.79,867.0,210.0,4.0,13,2,2021-01-03,3
27945,19,60095.63,534.0,3576.0,26.0,19,6,2021-01-03,3
27952,20,14505.45,569.0,170.0,1.0,5,1,2021-01-03,3
27967,19,578.9,1.0,0.0,0.0,2,0,2021-01-03,3
27970,20,3957.72,96.0,24.0,2.0,3,0,2021-01-03,3
27985,19,5239.98,28.0,0.0,0.0,6,0,2021-01-03,3
28012,103,1467.7,12.0,0.0,0.0,3,0,2021-01-03,3
28017,20,35467.53,844.0,556.0,12.0,9,2,2021-01-03,3
28018,20,24095.95,656.0,476.0,10.0,12,1,2021-01-03,3
28032,25,9229.62,155.0,0.0,0.0,7,0,2021-01-03,3
28033,20,101183.67,2600.0,2988.0,44.0,28,10,2021-01-03,3
28034,20,35906.02,730.0,3470.0,18.0,17,4,2021-01-03,3
28035,20,1182.34,10.0,0.0,0.0,2,0,2021-01-03,3
28036,20,12836.62,276.0,84.0,4.0,11,2,2021-01-03,3
28062,103,2168.9,8.0,0.0,0.0,4,0,2021-01-03,3
28089,20,36495.2,1642.0,1420.0,13.0,7,2,2021-01-03,3
28092,112,4555.55,24.0,0.0,0.0,1,0,2021-01-03,3
28137,125,2515.0,3.0,0.0,0.0,4,0,2021-01-03,3
28192,81,12922.39,379.0,0.0,0.0,5,0,2021-01-03,3
28193,103,2941.18,64.0,0.0,0.0,1,0,2021-01-03,3
28194,"19,103",1660.63,5.0,0.0,0.0,3,0,2021-01-03,3
28198,,14557.5,87.0,0.0,0.0,2,0,2021-01-03,3
28203,19,525.89,2.0,0.0,0.0,1,0,2021-01-03,3
28209,19,2120.56,4.0,0.0,0.0,4,0,2021-01-03,3
28212,103,1558.8,4.0,0.0,0.0,3,0,2021-01-03,3
28215,103,12352.51,191.0,156.0,5.0,6,1,2021-01-03,3
28216,103,4548.75,11.0,0.0,0.0,9,0,2021-01-03,3
28218,19,2139.4,4.0,0.0,0.0,4,0,2021-01-03,3
28219,112,2928.39,11.0,0.0,0.0,4,0,2021-01-03,3
28222,"20,83",3866.64,62.0,0.0,0.0,2,0,2021-01-03,3
28280,19,11708.09,66.0,0.0,0.0,17,0,2021-01-03,3
28382,126,18380.9,217.0,24.0,2.0,11,1,2021-01-03,3
28395,103,6944.36,74.0,128.0,1.0,5,1,2021-01-03,3
28397,103,2941.18,28.0,0.0,0.0,1,0,2021-01-03,3
28406,25,1706.44,4.0,0.0,0.0,5,0,2021-01-03,3
28418,19,3048.61,13.0,0.0,0.0,5,0,2021-01-03,3
28459,25,13133.39,220.0,946.0,9.0,2,2,2021-01-03,3
28463,25,5951.11,37.0,0.0,0.0,4,0,2021-01-03,3
28464,20,28322.61,548.0,472.0,5.0,11,2,2021-01-03,3
23509,20,79970.91,3572.0,5760.0,40.0,21,8,2021-01-04,3
23552,20,19826.96,563.0,932.0,10.0,4,2,2021-01-04,3
25140,"-1,82",5771.37,139.0,256.0,1.0,2,1,2021-01-04,3
25547,20,23196.46,875.0,828.0,6.0,5,1,2021-01-04,3
25562,20,52189.33,2268.0,2694.0,49.0,7,3,2021-01-04,3
25825,20,201275.67,7504.0,47012.0,119.0,33,19,2021-01-04,3
25907,20,18714.71,649.0,808.0,7.0,6,0,2021-01-04,3
25912,"-1,20",99621.65,1730.0,6000.0,59.0,13,3,2021-01-04,3
25919,103,12231.44,118.0,624.0,4.0,3,1,2021-01-04,3
26109,-1,3232.14,98.0,0.0,0.0,1,0,2021-01-04,3
26445,"-1,20",906.44,5.0,0.0,0.0,2,0,2021-01-04,3
26503,103,5863.27,34.0,30.0,1.0,3,1,2021-01-04,3
26853,103,31953.88,359.0,1862.0,16.0,12,4,2021-01-04,3
