ad_account_id,image_id,game_id,platform,budget,android_osv,ios_osv,inventory_type,delivery_range,schedule_time,flow_control_mode,plan_auto_task_id,op_id,district,flag,web_url,retargeting_tags_include,retargeting_tags_exclude,city,location_type,gender,age,ac,launch_price,auto_extend_enabled,hide_if_exists,hide_if_converted,interest_action_mode,action_scene,action_days,action_categories,interest_categories,ad_keywords,title_list,third_industry_id,cpa_bid,smart_bid_type,deep_bid_type,roi_goal,adjust_cpa,convertIndex
11596,48225,1001703,['ANDROID'],3300,None,None,[],DEFAULT,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111100000000001111111111111111111111111111111111111100000000001111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,FLOW_CONTROL_MODE_FAST,"11002,10998,12098",13268,CITY,SSR,https://www.chengzijianzhan.com/tetris/page/7127204719681159175/,[],[],[],CURRENT,GENDER_MALE,"['AGE_BETWEEN_24_30', 'AGE_BETWEEN_31_40', 'AGE_BETWEEN_41_49']",[],"[3000, 11000]",0,0,AD,UNLIMITED,,,,,"['丧尸', '美女', '僵尸', '卡牌', '策略', '回合', '手游', 'LOL', '塔防', '三国', '生存', '射击', '网游', '游戏', '手游大全', '阴阳师', '吃鸡', '小姐姐', '红警', '放置']","[{'title': '智商149卡在了39关，这款游戏太烧脑，你能过几关？', 'creative_word_ids': []}]",19131201,763,SMART_BID_NO_BID,BID_PER_ACTION,,0,23
11596,48003,1001703,['ANDROID'],3300,None,None,['INVENTORY_TOMATO_NOVEL'],DEFAULT,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111100000000001111111111111111111111111111111111111100000000001111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,FLOW_CONTROL_MODE_FAST,"11002,10998,12098",13268,CITY,SSR,https://www.chengzijianzhan.com/tetris/page/7127204719681159175/,[],[],[],CURRENT,GENDER_MALE,"['AGE_BETWEEN_24_30', 'AGE_BETWEEN_31_40', 'AGE_BETWEEN_41_49']",[],"[3000, 11000]",0,0,AD,UNLIMITED,,,,,"['末日', '末世', '丧尸', '幸存', '美女', '长腿', '小姨子', '女忧', '豪车', '科技', '5G', '科普', '历史', '玄幻', '翻修', '游戏', '手游', '生化', '美胸', 'SM']","[{'title': '智商149卡在了39关，这款游戏太烧脑，你能过几关？', 'creative_word_ids': []}]",19131201,764,SMART_BID_NO_BID,BID_PER_ACTION,,0,23
11596,47539,1001703,['ANDROID'],3300,None,None,[],DEFAULT,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111100000000001111111111111111111111111111111111111100000000001111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,FLOW_CONTROL_MODE_FAST,"11002,10998,12098",13268,CITY,SSR,https://www.chengzijianzhan.com/tetris/page/7127204719681159175/,[],[],[],CURRENT,GENDER_MALE,"['AGE_BETWEEN_24_30', 'AGE_BETWEEN_31_40', 'AGE_BETWEEN_41_49']",[],"[3000, 11000]",0,0,AD,UNLIMITED,,,,,"['丧尸', '美女', '僵尸', '卡牌', '策略', '回合', '手游', 'LOL', '塔防', '三国', '生存', '射击', '网游', '游戏', '手游大全', '阴阳师', '吃鸡', '小姐姐', '红警', '放置']","[{'title': '智商149卡在了39关，这款游戏太烧脑，你能过几关？', 'creative_word_ids': []}]",19131501,793,SMART_BID_CUSTOM,BID_PER_ACTION,,0,23
11597,48225,1001703,['ANDROID'],3300,None,None,[],DEFAULT,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111100000000001111111111111111111111111111111111111100000000001111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,FLOW_CONTROL_MODE_FAST,"11002,10998,12098",13268,CITY,SSR,https://www.chengzijianzhan.com/tetris/page/7127204719681159175/,[],[],[],CURRENT,GENDER_MALE,"['AGE_BETWEEN_24_30', 'AGE_BETWEEN_31_40', 'AGE_BETWEEN_41_49']",[],"[3000, 11000]",0,0,CUSTOMER,UNLIMITED,,,,,"['丧尸', '美女', '僵尸', '卡牌', '策略', '回合', '手游', 'LOL', '塔防', '三国', '生存', '射击', '网游', '游戏', '手游大全', '阴阳师', '吃鸡', '小姐姐', '红警', '放置']","[{'title': '智商149卡在了39关，这款游戏太烧脑，你能过几关？', 'creative_word_ids': []}]",19131201,796,SMART_BID_CUSTOM,BID_PER_ACTION,,0,23
11597,47425,1001703,['ANDROID'],3300,None,None,['INVENTORY_TOMATO_NOVEL'],DEFAULT,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111100000000001111111111111111111111111111111111111100000000001111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,FLOW_CONTROL_MODE_FAST,"11002,10998,12098",13268,CITY,SSR,https://www.chengzijianzhan.com/tetris/page/7127204719681159175/,[],[],[],CURRENT,GENDER_MALE,"['AGE_BETWEEN_24_30', 'AGE_BETWEEN_31_40', 'AGE_BETWEEN_41_49']",[],"[3000, 11000]",0,0,CUSTOMER,UNLIMITED,,,,,"['丧尸', '美女', '僵尸', '卡牌', '策略', '回合', '手游', 'LOL', '塔防', '三国', '生存', '射击', '网游', '游戏', '手游大全', '阴阳师', '吃鸡', '小姐姐', '红警', '放置']","[{'title': '智商149卡在了39关，这款游戏太烧脑，你能过几关？', 'creative_word_ids': []}]",19131201,777,SMART_BID_CUSTOM,BID_PER_ACTION,,0,23
11597,46109,1001703,['ANDROID'],3300,None,None,['INVENTORY_TOMATO_NOVEL'],DEFAULT,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111100000000001111111111111111111111111111111111111100000000001111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,FLOW_CONTROL_MODE_FAST,"11002,10998,12098",13268,CITY,SSR,https://www.chengzijianzhan.com/tetris/page/7127204719681159175/,[],[],[],CURRENT,None,"['AGE_BETWEEN_24_30', 'AGE_BETWEEN_31_40', 'AGE_BETWEEN_41_49']",[],"[3000, 11000]",0,0,CUSTOMER,UNLIMITED,,,,,"['丧尸', '美女', '僵尸', '卡牌', '策略', '回合', '手游', 'LOL', '塔防', '三国', '生存', '射击', '网游', '游戏', '手游大全', '阴阳师', '吃鸡', '小姐姐', '红警', '放置']","[{'title': '智商149卡在了39关，这款游戏太烧脑，你能过几关？', 'creative_word_ids': []}]",19131201,781,SMART_BID_CUSTOM,BID_PER_ACTION,,0,23
11598,45534,1001703,['ANDROID'],3300,None,None,['INVENTORY_TOMATO_NOVEL'],DEFAULT,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111100000000001111111111111111111111111111111111111100000000001111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,FLOW_CONTROL_MODE_FAST,"11002,10998,12098",13268,CITY,SSR,https://www.chengzijianzhan.com/tetris/page/7127204719681159175/,[],[],[],CURRENT,GENDER_MALE,"['AGE_BETWEEN_24_30', 'AGE_BETWEEN_31_40', 'AGE_BETWEEN_41_49']",[],"[3000, 11000]",0,0,CUSTOMER,UNLIMITED,,,,,"['丧尸', '美女', '僵尸', '卡牌', '策略', '回合', '手游', 'LOL', '塔防', '三国', '生存', '射击', '网游', '游戏', '手游大全', '阴阳师', '吃鸡', '小姐姐', '红警', '放置']","[{'title': '智商149卡在了39关，这款游戏太烧脑，你能过几关？', 'creative_word_ids': []}]",19131501,762,SMART_BID_CUSTOM,BID_PER_ACTION,,0,23
11598,47425,1001703,['ANDROID'],3300,None,None,['INVENTORY_TOMATO_NOVEL'],DEFAULT,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111100000000001111111111111111111111111111111111111100000000001111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,FLOW_CONTROL_MODE_FAST,"11002,10998,12098",13268,CITY,SSR,https://www.chengzijianzhan.com/tetris/page/7127204719681159175/,[],[],[],CURRENT,None,"['AGE_BETWEEN_24_30', 'AGE_BETWEEN_31_40', 'AGE_BETWEEN_41_49']",[],"[3000, 11000]",0,0,AD,UNLIMITED,,,,,"['丧尸', '美女', '僵尸', '卡牌', '策略', '回合', '手游', 'LOL', '塔防', '三国', '生存', '射击', '网游', '游戏', '手游大全', '阴阳师', '吃鸡', '小姐姐', '红警', '放置']","[{'title': '智商149卡在了39关，这款游戏太烧脑，你能过几关？', 'creative_word_ids': []}]",19131201,788,SMART_BID_CUSTOM,BID_PER_ACTION,,0,23
11598,46109,1001703,['ANDROID'],3300,None,None,['INVENTORY_TOMATO_NOVEL'],DEFAULT,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111100000000001111111111111111111111111111111111111100000000001111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,FLOW_CONTROL_MODE_FAST,"11002,10998,12098",13268,CITY,SSR,https://www.chengzijianzhan.com/tetris/page/7127204719681159175/,[],[],[],CURRENT,GENDER_MALE,"['AGE_BETWEEN_24_30', 'AGE_BETWEEN_31_40', 'AGE_BETWEEN_41_49']",[],"[3000, 11000]",0,0,CUSTOMER,UNLIMITED,,,,,"['丧尸', '美女', '僵尸', '卡牌', '策略', '回合', '手游', 'LOL', '塔防', '三国', '生存', '射击', '网游', '游戏', '手游大全', '阴阳师', '吃鸡', '小姐姐', '红警', '放置']","[{'title': '智商149卡在了39关，这款游戏太烧脑，你能过几关？', 'creative_word_ids': []}]",19131301,786,SMART_BID_CUSTOM,BID_PER_ACTION,,0,23
11599,45799,1001703,['ANDROID'],3300,None,None,[],DEFAULT,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111100000000001111111111111111111111111111111111111100000000001111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,FLOW_CONTROL_MODE_FAST,"11002,10998,12098",13268,CITY,SSR,https://www.chengzijianzhan.com/tetris/page/7127204719681159175/,[],[],[],CURRENT,None,"['AGE_BETWEEN_24_30', 'AGE_BETWEEN_31_40', 'AGE_BETWEEN_41_49']",[],"[3000, 11000]",0,0,AD,UNLIMITED,,,,,"['末日', '末世', '丧尸', '幸存', '美女', '长腿', '小姨子', '女忧', '豪车', '科技', '5G', '科普', '历史', '玄幻', '翻修', '游戏', '手游', '生化', '美胸', 'SM']","[{'title': '闯关+逃生，没WiFi也能玩一天，试试你能过几关？', 'creative_word_ids': []}, {'title': '智商149卡在了39关，这款游戏太烧脑，你能过几关？', 'creative_word_ids': []}, {'title': '3分钟上手，5分钟上头，来试试你能过多少关？', 'creative_word_ids': []}, {'title': '解谜逃生，策略生存，太烧脑了，能否通过，全靠智商！', 'creative_word_ids': []}]",19131201,795,SMART_BID_CUSTOM,BID_PER_ACTION,,0,23
