image_id,image_name,image_run_date_amount,image_create_role_pay_num,image_create_role_num,image_create_role_pay_sum,image_source_num,image_create_role_pay_rate,image_create_role_cost,image_create_role_pay_cost,image_valid_source_num,image_valid_source_rate,image_pay_sum_ability,image_pay_num_ability,image_create_role_roi,image_create_role_retain_1d,model_run_datetime,data_win,score
20494,SSR918-横版 （3D混剪）,3675.62,3.0,30.0,158.0,2,0.1,122.520667,1225.206667,2.0,1.0,79.0,1.5,0.042986,1.0,2020-12-12,3,630
22202,Mxz386,2696.89,0.0,63.0,0.0,1,0.0,42.807778,inf,0.0,0.0,0.0,0.0,0.0,0.0462,2020-12-12,3,473
23509,SSR1414-竖版（3D混剪）,117386.91,24.0,5884.0,1604.0,22,0.0041,19.950189,4891.12125,0.0,0.0,0.0,0.0,0.013664,0.0495,2020-12-12,3,598
23688,SSR1438-横版（3D混剪）,5104.12,0.0,94.0,0.0,3,0.0,54.299149,inf,0.0,0.0,0.0,0.0,0.0,0.0,2020-12-12,3,455
23737,SSR1449-横版（3D混剪）,2336.45,0.0,64.0,0.0,1,0.0,36.507031,inf,0.0,0.0,0.0,0.0,0.0,0.5,2020-12-12,3,571
23766,SSR1454-横版（3D混剪）,4120.27,1.0,86.0,310.0,1,0.0116,47.910116,4120.27,0.0,0.0,0.0,0.0,0.075238,0.046,2020-12-12,3,620
23846,SSR1484-横版（3D混剪）,61033.03,9.0,2264.0,936.0,18,0.004,26.958052,6781.447778,0.0,0.0,0.0,0.0,0.015336,0.0364,2020-12-12,3,580
23886,SSR1498-横版（3D混剪）,11083.75,3.0,122.0,170.0,3,0.0246,90.85041,3694.583333,2.0,0.6667,85.0,1.5,0.015338,0.0,2020-12-12,3,573
23916,SSR1510-竖版（混剪）,2699.07,0.0,130.0,0.0,1,0.0,20.762077,inf,0.0,0.0,0.0,0.0,0.0,0.0414,2020-12-12,3,467
24245,SSR1557-横版（混剪）,2699.07,0.0,244.0,0.0,1,0.0,11.061762,inf,0.0,0.0,0.0,0.0,0.0,0.027,2020-12-12,3,465
24402,SSR1588-横版（端游混剪）,9397.95,1.0,530.0,30.0,3,0.0019,17.731981,9397.95,0.0,0.0,0.0,0.0,0.003192,0.0295,2020-12-12,3,502
24453,SSR1606-横版+开头（端游混剪）,2699.07,0.0,202.0,0.0,1,0.0,13.361733,inf,0.0,0.0,0.0,0.0,0.0,0.0326,2020-12-12,3,458
25532,SSR1763-横版（3D混剪),5552.86,0.0,60.0,0.0,2,0.0,92.547667,inf,0.0,0.0,0.0,0.0,0.0,0.0,2020-12-12,3,448
25535,SSR1764-竖版（3D),22883.17,2.0,341.0,396.0,14,0.0059,67.10607,11441.585,0.0,0.0,0.0,0.0,0.017305,0.0609,2020-12-12,3,530
25547,SSR1768-横版（混剪),49908.27,4.0,595.0,156.0,18,0.0067,83.879445,12477.0675,0.0,0.0,0.0,0.0,0.003126,0.1114,2020-12-12,3,478
25562,SSR1772-横版（3D混剪+解说）,5921.62,1.0,168.0,226.0,4,0.006,35.247738,5921.62,3.0,0.75,75.333333,0.3333,0.038165,0.2069,2020-12-12,3,620
25794,SSR1798-横板（端游混剪),6076.09,1.0,552.0,78.0,2,0.0018,11.007409,6076.09,0.0,0.0,0.0,0.0,0.012837,0.0145,2020-12-12,3,571
25795,SSR1799-横板（端游混剪),2699.07,0.0,179.0,0.0,1,0.0,15.078603,inf,0.0,0.0,0.0,0.0,0.0,0.0214,2020-12-12,3,458
25825,SSR1806-横版（3D混剪),110179.24,15.0,6060.0,2232.0,19,0.0025,18.181393,7345.282667,0.0,0.0,0.0,0.0,0.020258,0.0357,2020-12-12,3,650
25832,SSR1808-横版（3D混剪),1615.61,0.0,156.0,0.0,1,0.0,10.356474,inf,0.0,0.0,0.0,0.0,0.0,0.0382,2020-12-12,3,447
25888,SSR1815-横版（端游混剪),2741.65,0.0,26.0,0.0,1,0.0,105.448077,inf,0.0,0.0,0.0,0.0,0.0,0.0,2020-12-12,3,446
25907,SSR1822-横版（3D混剪),43284.1,7.0,2224.0,302.0,10,0.0031,19.462275,6183.442857,0.0,0.0,0.0,0.0,0.006977,0.0722,2020-12-12,3,565
25912,SSR1821-竖版（3D混剪),98771.11,21.0,2276.0,1784.0,23,0.0092,43.396797,4703.38619,0.0,0.0,0.0,0.0,0.018062,0.1401,2020-12-12,3,619
25919,SSR1824-横版（混剪),2931.84,0.0,38.0,0.0,2,0.0,77.153684,inf,0.0,0.0,0.0,0.0,0.0,0.1698,2020-12-12,3,489
26129,SSR1856-横版（混剪),16775.19,1.0,103.0,108.0,16,0.0097,162.865922,16775.19,0.0,0.0,0.0,0.0,0.006438,0.1304,2020-12-12,3,489
26238,SSR1879-横版（混剪),7270.29,1.0,397.0,12.0,2,0.0025,18.313073,7270.29,0.0,0.0,0.0,0.0,0.001651,0.0945,2020-12-12,3,543
26241,SSR1881-横版（3D混剪),29428.27,3.0,265.0,72.0,24,0.0113,111.050075,9809.423333,0.0,0.0,0.0,0.0,0.002447,0.0898,2020-12-12,3,479
26294,SSR1892-横版（混剪),22389.48,3.0,234.0,612.0,15,0.0128,95.681538,7463.16,0.0,0.0,0.0,0.0,0.027334,0.1104,2020-12-12,3,567
26441,SSR1909-竖版（3D混剪）,65564.31,10.0,909.0,848.0,10,0.011,72.127954,6556.431,0.0,0.0,0.0,0.0,0.012934,0.1026,2020-12-12,3,550
26445,SSR1910-竖版（3D混剪）,40455.83,3.0,610.0,96.0,12,0.0049,66.321033,13485.276667,0.0,0.0,0.0,0.0,0.002373,0.0938,2020-12-12,3,488
26493,SSR1918-横版（3D混剪）,14861.39,2.0,123.0,84.0,7,0.0163,120.824309,7430.695,0.0,0.0,0.0,0.0,0.005652,0.0703,2020-12-12,3,500
26503,SSR1924-横版（混剪）,111139.51,24.0,1188.0,2000.0,51,0.0202,93.551776,4630.812917,0.0,0.0,0.0,0.0,0.017995,0.1343,2020-12-12,3,623
26582,SSR1931-横版（混剪）,5090.34,0.0,20.0,0.0,9,0.0,254.517,inf,0.0,0.0,0.0,0.0,0.0,0.129,2020-12-12,3,446
26606,SSR1935-横版（混剪）,2699.07,0.0,170.0,0.0,1,0.0,15.876882,inf,0.0,0.0,0.0,0.0,0.0,0.0,2020-12-12,3,458
26739,SSR1942-横版（端游混剪）,26587.5,7.0,302.0,1306.0,6,0.0232,88.038079,3798.214286,0.0,0.0,0.0,0.0,0.049121,0.0405,2020-12-12,3,605
26751,SSR1944-横版2（混剪）,12600.27,1.0,115.0,42.0,1,0.0087,109.567565,12600.27,0.0,0.0,0.0,0.0,0.003333,0.1121,2020-12-12,3,495
26792,SSR1957-横版（混剪）,7114.63,0.0,44.0,0.0,4,0.0,161.696136,inf,0.0,0.0,0.0,0.0,0.0,0.1692,2020-12-12,3,499
26847,SSR1950-横版（混剪-开头2）,22459.55,3.0,210.0,230.0,9,0.0143,106.950238,7486.516667,0.0,0.0,0.0,0.0,0.010241,0.223,2020-12-12,3,544
26853,SSR1964-横版（混剪）,269919.38,43.0,3463.0,2654.0,52,0.0124,77.9438,6277.194884,0.0,0.0,0.0,0.0,0.009833,0.1146,2020-12-12,3,551
26885,SSR1968-竖版（3D混剪）,8558.55,3.0,77.0,414.0,6,0.039,111.15,2852.85,6.0,1.0,69.0,0.5,0.048373,0.1622,2020-12-12,3,577
26894,SSR1970-横版（混剪）,2212.78,0.0,47.0,0.0,1,0.0,47.080426,inf,0.0,0.0,0.0,0.0,0.0,0.0,2020-12-12,3,441
26921,SSR1972-横版（混剪）,9734.19,4.0,52.0,522.0,7,0.0769,187.195962,2433.5475,7.0,1.0,74.571429,0.5714,0.053625,0.2,2020-12-12,3,584
26923,SSR1974-横版1（3D混剪）,27839.06,2.0,299.0,358.0,9,0.0067,93.107224,13919.53,0.0,0.0,0.0,0.0,0.01286,0.1266,2020-12-12,3,529
27001,SSR1975-竖版（混剪）,21066.01,8.0,399.0,798.0,4,0.0201,52.797018,2633.25125,4.0,1.0,199.5,2.0,0.037881,0.1055,2020-12-12,3,687
27015,SSR1978-竖版（混剪）,37077.09,9.0,310.0,1064.0,20,0.029,119.603516,4119.676667,17.0,0.85,62.588235,0.5294,0.028697,0.1167,2020-12-12,3,577
27047,SSR1982-横版（混剪）,8996.91,0.0,106.0,0.0,7,0.0,84.876509,inf,0.0,0.0,0.0,0.0,0.0,0.0,2020-12-12,3,480
27091,SSR1985-横版（3D）,4909.33,0.0,57.0,0.0,2,0.0,86.128596,inf,0.0,0.0,0.0,0.0,0.0,0.0,2020-12-12,3,448
27097,SSR1987-竖版加开头（3D混剪）,2346.34,0.0,74.0,0.0,3,0.0,31.707297,inf,0.0,0.0,0.0,0.0,0.0,0.0896,2020-12-12,3,497
27155,SSR1991-横版（混剪）,1573.76,0.0,11.0,0.0,2,0.0,143.069091,inf,0.0,0.0,0.0,0.0,0.0,0.1333,2020-12-12,3,467
27383,SSR2010-横版（3D混剪）,182363.75,40.0,3283.0,4592.0,41,0.0122,55.547898,4559.09375,0.0,0.0,0.0,0.0,0.02518,0.0838,2020-12-12,3,666
