image_name	ËØ²Ä½ü3ÌìÏûºÄ½ð¶î	ËØ²Ä½ü3Ìì¸¶·ÑÈËÊý	·ÖÊý	ËØ²Ä×îÔç¼Æ»®Ê±¼ä	ËØ²ÄÀúÊ·ÀÛ»ý¼Æ»®Êý
SSR2061-ºá°æ£¨»ì¼ô)	813673.22	261	774	2020/12/12	121
SSR2010-ºá°æ£¨3D»ì¼ô£©	489467.13	105	686	2020/12/3	131
SSR2039-ºá°æ1£¨»ì¼ô)	45923.76	8	680	2020/12/9	20
SSR2056-ºá°æ£¨»ì¼ô)	47780.53	16	677	2020/12/11	20
SSR2062-ºá°æ£¨»ì¼ô)	16177.98	3	658	2020/12/12	17
SSR2009-ºá°æ£¨»ì¼ô£©	178586.64	30	646	2020/12/2	156
SSR2046-ºá°æ£¨»ì¼ô)	58043.54	13	643	2020/12/10	39
SSR1942-ºá°æ£¨¶ËÓÎ»ì¼ô£©	20414.82	6	640	2020/11/18	71
SSR1806-ºá°æ£¨3D»ì¼ô)	121884.62	16	634	2020/10/16	198
SSR1975-Êú°æ£¨»ì¼ô£©	112634.7	32	609	2020/11/24	71
SSR2017-ºá°æ£¨3D»ì¼ô£©	35033.6	7	606	2020/12/4	18
SSR1414-Êú°æ£¨3D»ì¼ô£©	137275.17	33	606	2020/7/16	246
SSR1821-Êú°æ£¨3D»ì¼ô)	149280.29	35	594	2020/10/21	319
SSR1924-ºá°æ£¨»ì¼ô£©	71675.72	18	593	2020/11/12	620
SSR2058-ºá°æ£¨»ì¼ô)	54900.41	16	589	2020/12/12	18
SSR1909-Êú°æ£¨3D»ì¼ô£©	62701.48	14	587	2020/11/10	38
SSR2047-ºá°æ£¨»ì¼ô)	22535.13	6	585	2020/12/10	14
