image_id,image_name,image_run_date_amount,image_create_role_pay_num,image_create_role_num,image_create_role_pay_sum,image_source_num,image_create_role_pay_rate,image_create_role_cost,image_create_role_pay_cost,image_valid_source_num,image_valid_source_rate,image_pay_sum_ability,image_pay_num_ability,image_create_role_roi,image_create_role_retain_1d,model_run_datetime,data_win,score,image_launch_time,image_source_total_num,media_id,label_ids
23509,SSR1414-竖版（3D混剪）,6245.12,0.0,138.0,0.0,6,0.0,45.254493,inf,0.0,0.0,0.0,0.0,0.0,0.1099,2021-05-07,3,501,2020-07-16,489,16,20
24402,SSR1588-横版（端游混剪）,80658.07,9.0,1049.0,926.0,40,0.0086,76.890439,8962.007778,0.0,0.0,0.0,0.0,0.011481,0.0734,2021-05-07,3,518,2020-08-17,616,16,22
26441,SSR1909-竖版（3D混剪）,22902.63,1.0,600.0,12.0,16,0.0017,38.17105,22902.63,0.0,0.0,0.0,0.0,0.000524,0.0849,2021-05-07,3,532,2020-11-10,654,16,-1;20
27504,SSR2027-横版（3D混剪),1423.57,0.0,7.0,0.0,1,0.0,203.367143,inf,0.0,0.0,0.0,0.0,0.0,0.2,2021-05-07,3,486,2020-12-07,188,16,103
27703,SSR2061-横版（混剪),6188.04,0.0,69.0,0.0,3,0.0,89.681739,inf,0.0,0.0,0.0,0.0,0.0,0.1286,2021-05-07,3,480,2020-12-08,839,16,103
27824,SSR2078-横版（3D混剪）,17805.42,5.0,191.0,382.0,13,0.0262,93.222094,3561.084,10.0,0.7692,38.2,0.5,0.021454,0.051,2021-05-07,3,562,2020-12-16,449,16,103
27945,SSR2101-横版（3D混剪),27391.85,3.0,211.0,260.0,17,0.0142,129.819194,9130.616667,0.0,0.0,0.0,0.0,0.009492,0.2128,2021-05-07,3,535,2020-12-21,517,16,19
28579,SSR2180-竖版（混剪）,2886.73,0.0,8.0,0.0,7,0.0,360.84125,inf,0.0,0.0,0.0,0.0,0.0,0.0,2021-05-07,3,428,2021-01-06,827,16,127
28730,SSR2227-横版（3D混剪）,2646.83,0.0,24.0,0.0,1,0.0,110.284583,inf,0.0,0.0,0.0,0.0,0.0,0.125,2021-05-07,3,492,2021-01-09,223,16,103
28800,SSR2248-竖版（3D混剪）,7009.64,0.0,51.0,0.0,3,0.0,137.443922,inf,0.0,0.0,0.0,0.0,0.0,0.087,2021-05-07,3,470,2021-01-12,630,16,-1;103
29000,SSR2285-横版（3D混剪）,2659.27,0.0,48.0,0.0,5,0.0,55.401458,inf,0.0,0.0,0.0,0.0,0.0,0.0784,2021-05-07,3,488,2021-01-20,878,16,20
29356,SSR2363-横版（混剪）,41989.84,6.0,324.0,352.0,22,0.0185,129.598272,6998.306667,4.0,0.1818,88.0,1.5,0.008383,0.1975,2021-05-07,3,515,2021-01-29,1656,16,19
29437,SSR2382-横版（混剪）,7726.4,1.0,53.0,102.0,8,0.0189,145.781132,7726.4,0.0,0.0,0.0,0.0,0.013201,0.0,2021-05-07,3,477,2021-02-01,201,16,145
29577,SSR2402-竖版（混剪）,3839.38,1.0,28.0,72.0,8,0.0357,137.120714,3839.38,8.0,1.0,9.0,0.125,0.018753,0.0,2021-05-07,3,529,2021-02-03,205,16,127
29894,SSR2494-横版（混剪),4445.55,1.0,18.0,110.0,3,0.0556,246.975,4445.55,3.0,1.0,36.666667,0.3333,0.024744,0.1111,2021-05-07,3,598,2021-02-09,130,16,103
29961,SSR2513-横版（混剪),2315.24,1.0,53.0,102.0,1,0.0189,43.683774,2315.24,1.0,1.0,102.0,1.0,0.044056,0.1304,2021-05-07,3,518,2021-02-18,17,16,103
29962,SSR2510-竖版-改血迹（混剪),73640.68,4.0,1268.0,230.0,36,0.0032,58.076246,18410.17,0.0,0.0,0.0,0.0,0.003123,0.0662,2021-05-07,3,486,2021-02-18,185,16,22
29973,SSR2519-横版（3D混剪),7330.27,1.0,45.0,30.0,11,0.0222,162.894889,7330.27,0.0,0.0,0.0,0.0,0.004093,0.0667,2021-05-07,3,495,2021-02-18,304,16,103
30005,SSR2531-横版（3D混剪),4982.47,1.0,86.0,60.0,1,0.0116,57.935698,4982.47,0.0,0.0,0.0,0.0,0.012042,0.0645,2021-05-07,3,520,2021-02-19,26,16,20
30014,SSR2536-竖版（3D混剪）,2872.4,0.0,17.0,0.0,2,0.0,168.964706,inf,0.0,0.0,0.0,0.0,0.0,0.0667,2021-05-07,3,466,2021-02-19,47,16,103
30051,SSR2558-横版（3D混剪),1541.12,0.0,6.0,0.0,1,0.0,256.853333,inf,0.0,0.0,0.0,0.0,0.0,0.1429,2021-05-07,3,474,2021-02-20,110,16,103
30382,SSR2659-横版（3D混剪）,3815.43,0.0,37.0,0.0,1,0.0,103.11973,inf,0.0,0.0,0.0,0.0,0.0,0.0938,2021-05-07,3,474,2021-02-26,99,16,103
30457,SSR2675-横版（端游混剪）,48995.91,6.0,1195.0,712.0,15,0.005,41.000762,8165.985,0.0,0.0,0.0,0.0,0.014532,0.0609,2021-05-07,3,566,2021-03-02,99,16,22
30484,SSR2684-横版（混剪）,5426.77,0.0,62.0,0.0,10,0.0,87.528548,inf,0.0,0.0,0.0,0.0,0.0,0.0345,2021-05-07,3,457,2021-03-03,62,16,22
30906,SSR2762-横版（3D混剪）,53799.07,7.0,512.0,520.0,10,0.0137,105.076309,7685.581429,0.0,0.0,0.0,0.0,0.009666,0.1083,2021-05-07,3,536,2021-03-10,334,16,20
30928,SSR2769-横版（3D混剪）,42348.16,7.0,476.0,272.0,22,0.0147,88.966723,6049.737143,0.0,0.0,0.0,0.0,0.006423,0.0917,2021-05-07,3,507,2021-03-12,157,16,20
30933,SSR2775-横版（3D混剪）,16779.22,2.0,165.0,256.0,14,0.0121,101.692242,8389.61,0.0,0.0,0.0,0.0,0.015257,0.1806,2021-05-07,3,516,2021-03-12,593,16,20
30937,SSR2777-横版（3D混剪）,2885.66,0.0,24.0,0.0,1,0.0,120.235833,inf,0.0,0.0,0.0,0.0,0.0,0.0,2021-05-07,3,446,2021-03-12,19,16,103
30994,SSR2792-横版（3D混剪）,90049.85,15.0,1710.0,856.0,25,0.0088,52.660731,6003.323333,0.0,0.0,0.0,0.0,0.009506,0.0995,2021-05-07,3,538,2021-03-15,249,16,-1;20
31081,SSR2819-横版(3D混剪),6965.32,2.0,39.0,132.0,6,0.0513,178.597949,3482.66,1.0,0.1667,132.0,2.0,0.018951,0.0417,2021-05-07,3,498,2021-03-17,16,16,20
31144,SSR2832-横版（3D混剪） ,54218.78,7.0,1105.0,1762.0,7,0.0063,49.066769,7745.54,0.0,0.0,0.0,0.0,0.032498,0.1111,2021-05-07,3,613,2021-03-18,520,16,20
31148,SSR2833-横版（3D混剪） ,34788.96,4.0,727.0,972.0,22,0.0055,47.852765,8697.24,0.0,0.0,0.0,0.0,0.02794,0.0732,2021-05-07,3,606,2021-03-18,265,16,20
31161,SSR2838-横版（3D混剪）,5118.09,0.0,22.0,0.0,6,0.0,232.640455,inf,0.0,0.0,0.0,0.0,0.0,0.12,2021-05-07,3,446,2021-03-18,124,16,103
31182,SSR2843-横版（3D混剪）,4319.59,2.0,80.0,404.0,5,0.025,53.994875,2159.795,5.0,1.0,80.8,0.4,0.093527,0.125,2021-05-07,3,631,2021-03-18,94,16,20
31261,SSR2867-横版（录屏混剪）,9248.68,0.0,51.0,0.0,5,0.0,181.346667,inf,0.0,0.0,0.0,0.0,0.0,0.3,2021-05-07,3,523,2021-03-20,335,10,27
31261,SSR2867-横版（录屏混剪）,2132.38,0.0,25.0,0.0,1,0.0,85.2952,inf,0.0,0.0,0.0,0.0,0.0,0.1,2021-05-07,3,480,2021-03-20,335,16,27
31273,SSR2874-横版（3D混剪）,111122.1,11.0,1125.0,1110.0,23,0.0098,98.7752,10102.009091,0.0,0.0,0.0,0.0,0.009989,0.092,2021-05-07,3,481,2021-03-20,306,16,20
31274,SSR2875-横版（3D混剪）,3547.73,0.0,99.0,0.0,5,0.0,35.835657,inf,0.0,0.0,0.0,0.0,0.0,0.1235,2021-05-07,3,495,2021-03-15,124,16,103
31277,SSR2877-横版（录屏混剪）,62346.38,7.0,280.0,566.0,26,0.025,222.665643,8906.625714,0.0,0.0,0.0,0.0,0.009078,0.2245,2021-05-07,3,482,2021-03-20,280,10,27
31340,SSR2898-横版（3D混剪),7212.44,1.0,251.0,12.0,3,0.004,28.734821,7212.44,0.0,0.0,0.0,0.0,0.001664,0.0836,2021-05-07,3,522,2021-03-23,249,16,20
31363,SSR2907-横版（录屏混剪）,108974.76,14.0,586.0,992.0,38,0.0239,185.963754,7783.911429,0.0,0.0,0.0,0.0,0.009103,0.23,2021-05-07,3,502,2021-03-23,346,10,27
31398,SSR2915-横版（录屏混剪）,32402.33,1.0,184.0,208.0,11,0.0054,176.09962,32402.33,0.0,0.0,0.0,0.0,0.006419,0.2282,2021-05-07,3,501,2021-03-23,294,10,27
31398,SSR2915-横版（录屏混剪）,2647.62,1.0,48.0,12.0,1,0.0208,55.15875,2647.62,1.0,1.0,12.0,1.0,0.004532,0.1471,2021-05-07,3,541,2021-03-23,294,16,27
31408,SSR2920-竖版（录屏混剪）,44049.38,7.0,180.0,1078.0,21,0.0389,244.718778,6292.768571,0.0,0.0,0.0,0.0,0.024473,0.2455,2021-05-07,3,542,2021-03-24,196,10,27
31499,SSR2958-竖版（3D混剪）,8095.2,1.0,86.0,12.0,4,0.0116,94.130233,8095.2,0.0,0.0,0.0,0.0,0.001482,0.1084,2021-05-07,3,499,2021-03-26,15,16,19
31627,SSR2988-横版（录屏混剪）,14117.12,1.0,77.0,66.0,8,0.013,183.339221,14117.12,0.0,0.0,0.0,0.0,0.004675,0.2632,2021-05-07,3,476,2021-03-30,50,10,27
31699,SSR3010-横版（录屏混剪）,14216.01,2.0,36.0,340.0,13,0.0556,394.889167,7108.005,0.0,0.0,0.0,0.0,0.023917,0.1538,2021-05-07,3,536,2021-03-31,31,10,27
31706,SSR3016-横版（3D混剪）,6566.41,1.0,41.0,302.0,10,0.0244,160.156341,6566.41,0.0,0.0,0.0,0.0,0.045992,0.1429,2021-05-07,3,568,2021-04-02,16,16,19;103
31761,SSR3026-横版（录屏混剪）,1184.32,0.0,27.0,0.0,1,0.0,43.863704,inf,0.0,0.0,0.0,0.0,0.0,0.125,2021-05-07,3,500,2021-04-01,61,16,27
31833,SSR3047-横版（混剪）,208394.0,46.0,1336.0,6316.0,42,0.0344,155.983533,4530.304348,0.0,0.0,0.0,0.0,0.030308,0.2108,2021-05-07,3,659,2021-04-02,138,10,27
