image_id,image_name,media_id,image_launch_time,image_source_total_num,image_run_date_amount,image_create_role_pay_num,image_create_role_num,image_create_role_pay_sum,image_source_num,image_create_role_pay_rate,image_create_role_cost,image_create_role_pay_cost,image_valid_source_num,image_valid_source_rate,image_pay_sum_ability,image_pay_num_ability,image_create_role_roi,image_create_role_retain_1d,create_role_30_pay_sum,model_run_datetime,data_win
23536,QXJJ094-竖版xy,16,2021-05-01,1,194.24,0.0,6.0,0.0,1.0,0.0,32.373333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-05-01,3
23778,ZDZL1134-横版ZDC,16,2021-05-01,4,520.29,0.0,3.0,0.0,1.0,0.0,173.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-05-01,3
23919,ZDZL1176-横版ZDC,16,2021-05-01,1,4036.55,1.0,37.0,341.0,1.0,0.027,109.095946,4036.55,0.0,0.0,0.0,0.0,0.084478,0.2703,1921.0,2021-05-01,3
24608,ZDZL1285-竖版ZDC,16,2021-05-01,5,698.59,0.0,14.0,0.0,1.0,0.0,49.899286,0.0,0.0,0.0,0.0,0.0,0.0,0.0714,0.0,2021-05-01,3
27485,ZDZL1737-横版LL,16,2021-05-01,3,588.04,0.0,5.0,0.0,1.0,0.0,117.608,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,2021-05-01,3
28057,ZDZL1827-横版LL,16,2021-05-01,5,3503.07,3.0,48.0,18.0,1.0,0.0625,72.980625,1167.69,1.0,1.0,18.0,3.0,0.005138,0.2653,85.0,2021-05-01,3
29130,ZDZL1887-竖版Z 登录就送版,16,2021-05-01,1,381.69,0.0,10.0,0.0,1.0,0.0,38.169,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,2021-05-01,3
30210,ZDZL1963-横版xy,16,2021-05-01,1,340.77,0.0,2.0,0.0,1.0,0.0,170.385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-05-01,3
30805,WD1355-CHL,16,2021-05-01,1,719.86,0.0,5.0,0.0,1.0,0.0,143.972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-05-01,3
30954,WD1358-CHL,16,2021-05-01,3,1398.83,1.0,9.0,6.0,1.0,0.1111,155.425556,1398.83,1.0,1.0,6.0,1.0,0.004289,0.2222,244.0,2021-05-01,3
