ad_account_id_x,game_id,channel_id,source_id,budget_mode,create_time,optimization_goal,time_series,bid_strategy,bid_amount,daily_budget,expand_enabled,expand_targeting,device_price,app_install_status,gender,game_consumption_level,age,custom_audience,excluded_custom_audience,network_type,deep_conversion_type,deep_conversion_behavior_spec,deep_conversion_worth_spec,intention_targeting_tags,interest_category_id_list,interest_keyword_list,behavior_category_id_list,behavior_intensity,behavior_keyword_list,behavior_scene,behavior_time_window,conversion_behavior_list,excluded_dimension,location_types,regions,image_id,deep_link_url,adcreative_template_id,page_spec,page_type,site_set,label,promoted_object_id,promoted_object_type,automatic_site_enabled,link_name_type,link_page_type,profile_id,link_page_spec,adcreative_elements,label_ids,ad_account_id_y,tdate,amount,new_role_money,roi,pay_rate,manager_id
8526,1001991,21212,1491174,0,2022-06-21 10:28:32,OPTIMIZATIONGOAL_APP_ACTIVATE,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111110000111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,BID_STRATEGY_AVERAGE_COST,53328,0,True,['age'],,,,['HIGH'],"[{'min': 24, 'max': 66}]",,,,DEEP_CONVERSION_WORTH,,"{'goal': 'GOAL_1DAY_PURCHASE_ROAS', 'expected_roi': 0.01}",,,,,,,,,,,,,47078,,720,,PAGE_TYPE_DEFAULT,"['SITE_SET_QQ_MUSIC_GAME', 'SITE_SET_KANDIAN', 'SITE_SET_TENCENT_NEWS', 'SITE_SET_TENCENT_VIDEO', 'SITE_SET_MOBILE_UNION']",,2000005658,PROMOTED_OBJECT_TYPE_APP_ANDROID,False,,,,,"{'image': 148180, 'description': '智商149卡在了39关，这款游戏太烧脑，你能过几关？', 'video': 148180, 'button_text': '立即下载', 'brand': {'brand_name': '迷城起源', 'brand_img': 141595}}",27,8526,2022-06-25,9753.19,166.0,0.01702,0.0541,13333
8486,1001841,21387,1491738,0,2022-06-21 20:31:32,OPTIMIZATIONGOAL_APP_PURCHASE,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,BID_STRATEGY_AVERAGE_COST,49394,0,True,"['age', 'gender']",,,['MALE'],['HIGH'],"[{'min': 22, 'max': 48}]",,,,,,,,,,,,,,,,,,,47177,,720,{'page_id': 38312761},PAGE_TYPE_TSA_APP,"['SITE_SET_QQ_MUSIC_GAME', 'SITE_SET_KANDIAN', 'SITE_SET_TENCENT_NEWS', 'SITE_SET_TENCENT_VIDEO']",,2000002049,PROMOTED_OBJECT_TYPE_APP_ANDROID,False,,,,,"{'image': 148429, 'description': '智商149卡在了39关，这款游戏太烧脑，你能过几关？', 'video': 148429, 'button_text': '立即下载', 'brand': {'brand_name': '迷城起源-建桥大师', 'brand_img': 146334}}","277,301",8486,2022-06-24,2064.41,30.0,0.014532,0.0152,13765
8526,1001991,21212,1492748,0,2022-06-23 10:09:03,OPTIMIZATIONGOAL_APP_ACTIVATE,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111110000111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,BID_STRATEGY_AVERAGE_COST,65510,0,False,[],,,['MALE'],"['HIGH', 'NORMAL']","[{'min': 24, 'max': 66}]",,,,DEEP_CONVERSION_WORTH,,"{'goal': 'GOAL_1DAY_PURCHASE_ROAS', 'expected_roi': 0.01}",,,,,,,,,,,,,44944,,720,,PAGE_TYPE_DEFAULT,"['SITE_SET_QQ_MUSIC_GAME', 'SITE_SET_KANDIAN', 'SITE_SET_TENCENT_NEWS', 'SITE_SET_TENCENT_VIDEO', 'SITE_SET_MOBILE_UNION']",,2000005658,PROMOTED_OBJECT_TYPE_APP_ANDROID,False,,,,,"{'image': 144153, 'description': '智商149卡在了39关，这款游戏太烧脑，你能过几关？', 'video': 144153, 'button_text': '立即下载', 'brand': {'brand_name': '迷城起源', 'brand_img': 141595}}",27,8526,2022-06-24,2667.64,226.0,0.084719,0.1667,13333
12035,1001991,6867,1492987,0,2022-06-23 11:05:03,OPTIMIZATIONGOAL_APP_ACTIVATE,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,BID_STRATEGY_AVERAGE_COST,75641,0,True,"['age', 'gender']",,['NOT_INSTALLED'],['MALE'],"['HIGH', 'NORMAL']","[{'min': 24, 'max': 55}]",,,,DEEP_CONVERSION_WORTH,,"{'goal': 'GOAL_1DAY_PURCHASE_ROAS', 'expected_roi': 0.015}",,,,,,,,,,,,,47274,,720,{'page_id': 46455735},PAGE_TYPE_XIJING_QUICK,"['SITE_SET_QQ_MUSIC_GAME', 'SITE_SET_KANDIAN', 'SITE_SET_TENCENT_NEWS', 'SITE_SET_TENCENT_VIDEO']",,2000005658,PROMOTED_OBJECT_TYPE_APP_ANDROID,False,,,,,"{'image': 148638, 'description': '休闲又魔性，能过这关是人才！', 'video': 148638, 'button_text': '立即下载', 'brand': {'brand_name': '迷城起源', 'brand_img': 141598}}",277,12035,2022-06-24,366.9,30.0,0.081766,1.0,12045
12035,1001991,6867,1493001,0,2022-06-23 11:05:03,OPTIMIZATIONGOAL_APP_ACTIVATE,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,BID_STRATEGY_AVERAGE_COST,67360,0,True,"['age', 'gender']",,['NOT_INSTALLED'],['MALE'],"['HIGH', 'NORMAL']","[{'min': 24, 'max': 55}]",,,,DEEP_CONVERSION_WORTH,,"{'goal': 'GOAL_1DAY_PURCHASE_ROAS', 'expected_roi': 0.015}",,,,,,,,,,,,,47219,,721,{'page_id': 46455735},PAGE_TYPE_XIJING_QUICK,"['SITE_SET_QQ_MUSIC_GAME', 'SITE_SET_KANDIAN', 'SITE_SET_TENCENT_NEWS', 'SITE_SET_TENCENT_VIDEO']",,2000005658,PROMOTED_OBJECT_TYPE_APP_ANDROID,False,,,,,"{'image': 148530, 'description': '休闲又魔性，能过这关是人才！', 'video': 148530, 'button_text': '立即下载', 'brand': {'brand_name': '迷城起源', 'brand_img': 141595}}","297,301",12035,2022-06-24,312.07,42.0,0.134585,1.0,12045
7533,1001991,21212,1493759,0,2022-06-24 09:51:05,OPTIMIZATIONGOAL_APP_ACTIVATE,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111110000111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,BID_STRATEGY_AVERAGE_COST,62622,0,False,[],,,,,"[{'min': 22, 'max': 66}]","[24388425, 24388423, 24388417, 24388414, 24388415, 24388419, 24388410, 24388413, 24388416, 24388411, 24388412, 24280207, 24280208]",[24388418],,DEEP_CONVERSION_WORTH,,"{'goal': 'GOAL_1DAY_PURCHASE_ROAS', 'expected_roi': 0.01}",,,,,,,,,,,,,47316,,720,{'page_id': 2449189785},PAGE_TYPE_CANVAS_WECHAT,['SITE_SET_WECHAT'],,2000005658,PROMOTED_OBJECT_TYPE_APP_ANDROID,False,DOWNLOAD_APP,,,,"{'end_page': {'end_page_desc': '无限游戏，休闲好玩又刺激', 'end_page_type': 'END_PAGE_AVATAR_NICKNAME_HIGHLIGHT'}, 'description': '智商149卡在了39关，这款游戏太烧脑，你能过几关？', 'video': 148721, 'button_text': '立即下载', 'brand': {'brand_name': '迷城起源', 'brand_img': 141595}}","277,301",7533,2022-06-25,2965.61,30.0,0.010116,0.0769,13333
8486,1001841,21387,1493943,0,2022-06-24 10:43:32,OPTIMIZATIONGOAL_APP_PURCHASE,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,BID_STRATEGY_AVERAGE_COST,66729,0,False,[],,,['MALE'],,"[{'min': 22, 'max': 48}]","[24388425, 24388423, 24388417, 24388414, 24388415, 24388419, 24388410, 24388413, 24388416, 24388411, 24388412]",[24388418],,,,,,,,,,,,,,,,,46973,,720,{'page_id': 38312761},PAGE_TYPE_TSA_APP,"['SITE_SET_QQ_MUSIC_GAME', 'SITE_SET_KANDIAN', 'SITE_SET_TENCENT_NEWS', 'SITE_SET_TENCENT_VIDEO']",,2000002049,PROMOTED_OBJECT_TYPE_APP_ANDROID,False,,,,,"{'image': 147988, 'description': '智商149卡在了39关，这款游戏太烧脑，你能过几关？', 'video': 147988, 'button_text': '立即下载', 'brand': {'brand_name': '迷城起源-建桥大师', 'brand_img': 146334}}","301,277",8486,2022-06-24,1238.34,30.0,0.024226,0.0263,13765
8486,1001841,21387,1493944,0,2022-06-24 10:43:32,OPTIMIZATIONGOAL_APP_PURCHASE,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,BID_STRATEGY_AVERAGE_COST,44848,0,False,[],,,['MALE'],,"[{'min': 22, 'max': 48}]","[24388425, 24388423, 24388417, 24388414, 24388415, 24388419, 24388410, 24388413, 24388416, 24388411, 24388412]",[24388418],,,,,,,,,,,,,,,,,45534,,720,{'page_id': 38312761},PAGE_TYPE_TSA_APP,"['SITE_SET_QQ_MUSIC_GAME', 'SITE_SET_KANDIAN', 'SITE_SET_TENCENT_NEWS', 'SITE_SET_TENCENT_VIDEO']",,2000002049,PROMOTED_OBJECT_TYPE_APP_ANDROID,False,,,,,"{'image': 145212, 'description': '智商149卡在了39关，这款游戏太烧脑，你能过几关？', 'video': 145212, 'button_text': '立即下载', 'brand': {'brand_name': '迷城起源-建桥大师', 'brand_img': 146334}}","277,301",8486,2022-06-26,2102.86,60.0,0.028533,0.0095,13765
8486,1001841,21387,1493948,0,2022-06-24 10:44:03,OPTIMIZATIONGOAL_APP_PURCHASE,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,BID_STRATEGY_AVERAGE_COST,52866,0,False,[],,,['MALE'],,"[{'min': 22, 'max': 48}]","[24388425, 24388423, 24388417, 24388414, 24388415, 24388419, 24388410, 24388413, 24388416, 24388411, 24388412]",[24388418],,,,,,,,,,,,,,,,,47316,,720,{'page_id': 38312761},PAGE_TYPE_TSA_APP,"['SITE_SET_QQ_MUSIC_GAME', 'SITE_SET_KANDIAN', 'SITE_SET_TENCENT_NEWS', 'SITE_SET_TENCENT_VIDEO']",,2000002049,PROMOTED_OBJECT_TYPE_APP_ANDROID,False,,,,,"{'image': 148721, 'description': '智商149卡在了39关，这款游戏太烧脑，你能过几关？', 'video': 148721, 'button_text': '立即下载', 'brand': {'brand_name': '迷城起源-建桥大师', 'brand_img': 146334}}","277,301",8486,2022-06-25,1939.9,24.0,0.012372,0.0408,13765
11029,1001991,21387,1494047,0,2022-06-24 11:13:04,OPTIMIZATIONGOAL_FIRST_PURCHASE,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,BID_STRATEGY_TARGET_COST,495509,0,False,[],,,,,"[{'min': 20, 'max': 50}]","[24388425, 24388423, 24388417, 24388414, 24388415, 24388419, 24388410, 24388413, 24388412]",[24388418],,,,,,,,,,,,,,,,,42240,,720,{'page_id': 23593365},PAGE_TYPE_XIJING_QUICK,['SITE_SET_WECHAT'],,2000005658,PROMOTED_OBJECT_TYPE_APP_ANDROID,False,DOWNLOAD_APP,,,,"{'end_page': {'end_page_desc': '无线关卡，好玩又刺激！', 'end_page_type': 'END_PAGE_DESCRIPTION_HIGHLIGHT'}, 'description': '智商149卡在了39关，这款游戏太烧脑，你能过几关？', 'video': 131023, 'button_text': '立即下载', 'brand': {'brand_name': '迷城起源', 'brand_img': 141594}}",20,11029,2022-06-24,4168.45,30.0,0.007197,0.0139,13765
