ad_account_id,image_id,game_id,budget_mode,daily_budget,expand_enabled,expand_targeting,site_set,deep_link_url,adcreative_template_id,page_spec,link_page_spec,link_name_type,link_page_type,promoted_object_id,profile_id,promoted_object_type,automatic_site_enabled,label,adcreative_elements,optimization_goal,bid_strategy,bid_amount,deep_conversion_type,deep_conversion_behavior_spec,deep_conversion_worth_spec,time_series,targeting,op_id,flag,game_name,platform
9218,38163,1001446,0,0,True,['gender'],['SITE_SET_MOMENTS'],,1480,"{'override_canvas_head_option': 'OPTION_CREATIVE_OVERRIDE_CANVAS', 'page_id': '2279177200'}",,DOWNLOAD_GAME,LINK_PAGE_TYPE_DEFAULT,1573087927,576029,PROMOTED_OBJECT_TYPE_APP_IOS,False,,"{'short_video_struct': {'short_video1': 111532}, 'title': '闯关+逃生，没WiFi也能玩一天，试试你能过几关？'}",OPTIMIZATIONGOAL_APP_ACTIVATE,BID_STRATEGY_AVERAGE_COST,14575,DEEP_CONVERSION_WORTH,,"{'goal': 'GOAL_1DAY_PURCHASE_ROAS', 'expected_roi': 0.023}",111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111100000000001111111111111111111111111111111111111100000000001111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,"{'device_price': None, 'app_install_status': None, 'gender': ['MALE'], 'game_consumption_level': None, 'age': [{'min': 20, 'max': 50}], 'network_type': None, 'excluded_converted_audience': {'conversion_behavior_list': None, 'excluded_dimension': None}, 'geo_location': {'regions': None, 'location_types': None}, 'intention': {'targeting_tags': None}, 'interest': {'category_id_list': None, 'keyword_list': None}, 'behavior': [{'category_id_list': None, 'intensity': None, 'keyword_list': None, 'scene': None, 'time_window': None}]}",13268,GDT,曙光,2
9224,35378,1001446,0,0,True,[],['SITE_SET_MOMENTS'],,721,"{'override_canvas_head_option': 'OPTION_CREATIVE_OVERRIDE_CANVAS', 'page_id': '2279177200'}",,DOWNLOAD_GAME,LINK_PAGE_TYPE_DEFAULT,1573087927,576126,PROMOTED_OBJECT_TYPE_APP_IOS,False,,"{'video': 104709, 'title': '移动机关，灭杀怪物，逃出升天，闯关成功！'}",OPTIMIZATIONGOAL_APP_ACTIVATE,BID_STRATEGY_AVERAGE_COST,15919,DEEP_CONVERSION_WORTH,,"{'goal': 'GOAL_1DAY_PURCHASE_ROAS', 'expected_roi': 0.02}",111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111100000000001111111111111111111111111111111111111100000000001111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,"{'device_price': None, 'app_install_status': None, 'gender': ['MALE'], 'game_consumption_level': None, 'age': [{'min': 20, 'max': 50}], 'network_type': None, 'excluded_converted_audience': {'conversion_behavior_list': None, 'excluded_dimension': None}, 'geo_location': {'regions': None, 'location_types': None}, 'intention': {'targeting_tags': [205]}, 'interest': {'category_id_list': [205], 'keyword_list': None}, 'behavior': [{'category_id_list': [205], 'intensity': ['BEHAVIOR_INTEREST_INTENSITY_ALL'], 'keyword_list': None, 'scene': ['BEHAVIOR_INTEREST_SCENE_ALL'], 'time_window': 'BEHAVIOR_INTEREST_TIME_WINDOW_SEVEN_DAY'}]}",13268,GDT,曙光,2
9218,39302,1001446,0,0,True,['gender'],['SITE_SET_MOMENTS'],,1480,"{'override_canvas_head_option': 'OPTION_CREATIVE_OVERRIDE_CANVAS', 'page_id': '2279177200'}",,DOWNLOAD_GAME,LINK_PAGE_TYPE_DEFAULT,1573087927,576029,PROMOTED_OBJECT_TYPE_APP_IOS,False,,"{'short_video_struct': {'short_video1': 116862}, 'title': '智商149卡在了39关，这款游戏太烧脑，你能过几关？'}",OPTIMIZATIONGOAL_APP_ACTIVATE,BID_STRATEGY_TARGET_COST,20979,DEEP_CONVERSION_WORTH,,"{'goal': 'GOAL_1DAY_PURCHASE_ROAS', 'expected_roi': 0.01}",111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111100000000001111111111111111111111111111111111111100000000001111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,"{'device_price': None, 'app_install_status': None, 'gender': ['MALE'], 'game_consumption_level': None, 'age': [{'min': 20, 'max': 50}], 'network_type': None, 'excluded_converted_audience': {'conversion_behavior_list': None, 'excluded_dimension': None}, 'geo_location': {'regions': None, 'location_types': None}, 'intention': {'targeting_tags': None}, 'interest': {'category_id_list': None, 'keyword_list': None}, 'behavior': [{'category_id_list': None, 'intensity': None, 'keyword_list': None, 'scene': None, 'time_window': None}]}",13268,GDT,曙光,2
9218,38458,1001446,0,0,True,['gender'],['SITE_SET_MOMENTS'],,1480,"{'override_canvas_head_option': 'OPTION_CREATIVE_OVERRIDE_CANVAS', 'page_id': '2279177200'}",,DOWNLOAD_GAME,LINK_PAGE_TYPE_DEFAULT,1573087927,576029,PROMOTED_OBJECT_TYPE_APP_IOS,False,,"{'short_video_struct': {'short_video1': 113034}, 'title': '闯关+逃生，没WiFi也能玩一天，试试你能过几关？'}",OPTIMIZATIONGOAL_APP_ACTIVATE,BID_STRATEGY_AVERAGE_COST,14822,DEEP_CONVERSION_WORTH,,"{'goal': 'GOAL_1DAY_PURCHASE_ROAS', 'expected_roi': 0.023}",111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111100000000001111111111111111111111111111111111111100000000001111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,"{'device_price': None, 'app_install_status': None, 'gender': ['MALE'], 'game_consumption_level': None, 'age': [{'min': 20, 'max': 50}], 'network_type': None, 'excluded_converted_audience': {'conversion_behavior_list': None, 'excluded_dimension': None}, 'geo_location': {'regions': None, 'location_types': None}, 'intention': {'targeting_tags': [205]}, 'interest': {'category_id_list': [124, 307, 205], 'keyword_list': None}, 'behavior': [{'category_id_list': [205], 'intensity': ['BEHAVIOR_INTEREST_INTENSITY_ALL'], 'keyword_list': None, 'scene': ['BEHAVIOR_INTEREST_SCENE_ALL'], 'time_window': 'BEHAVIOR_INTEREST_TIME_WINDOW_THIRTY_DAY'}]}",13268,GDT,曙光,2
9223,37046,1001446,0,0,True,[],['SITE_SET_MOMENTS'],,1480,"{'override_canvas_head_option': 'OPTION_CREATIVE_OVERRIDE_CANVAS', 'page_id': '2279177200'}",,DOWNLOAD_APP,LINK_PAGE_TYPE_DEFAULT,1573087927,576104,PROMOTED_OBJECT_TYPE_APP_IOS,False,,"{'short_video_struct': {'short_video1': 106158}, 'title': '休闲又解压，玩一天都不腻'}",OPTIMIZATIONGOAL_APP_ACTIVATE,BID_STRATEGY_AVERAGE_COST,20000,DEEP_CONVERSION_WORTH,,"{'goal': 'GOAL_1DAY_PURCHASE_ROAS', 'expected_roi': 0.01}",111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111100000000001111111111111111111111111111111111111100000000001111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,"{'device_price': None, 'app_install_status': None, 'gender': None, 'game_consumption_level': None, 'age': [{'min': 20, 'max': 50}], 'network_type': None, 'excluded_converted_audience': {'conversion_behavior_list': None, 'excluded_dimension': None}, 'geo_location': {'regions': None, 'location_types': None}, 'intention': {'targeting_tags': None}, 'interest': {'category_id_list': None, 'keyword_list': None}, 'behavior': [{'category_id_list': None, 'intensity': None, 'keyword_list': None, 'scene': None, 'time_window': None}]}",13268,GDT,曙光,2
9217,38991,1001446,0,0,True,['gender'],['SITE_SET_MOMENTS'],,1480,"{'override_canvas_head_option': 'OPTION_CREATIVE_OVERRIDE_CANVAS', 'page_id': '2279177200'}",,DOWNLOAD_GAME,LINK_PAGE_TYPE_DEFAULT,1573087927,576018,PROMOTED_OBJECT_TYPE_APP_IOS,False,,"{'short_video_struct': {'short_video1': 115419}, 'title': '智商149卡在了39关，这款游戏太烧脑，你能过几关？'}",OPTIMIZATIONGOAL_APP_ACTIVATE,BID_STRATEGY_TARGET_COST,14910,DEEP_CONVERSION_WORTH,,"{'goal': 'GOAL_1DAY_PURCHASE_ROAS', 'expected_roi': 0.015}",111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111100000000001111111111111111111111111111111111111100000000001111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,"{'device_price': None, 'app_install_status': None, 'gender': None, 'game_consumption_level': None, 'age': [{'min': 20, 'max': 50}], 'network_type': None, 'excluded_converted_audience': {'conversion_behavior_list': None, 'excluded_dimension': None}, 'geo_location': {'regions': None, 'location_types': None}, 'intention': {'targeting_tags': [205]}, 'interest': {'category_id_list': [205], 'keyword_list': None}, 'behavior': [{'category_id_list': [205], 'intensity': ['BEHAVIOR_INTEREST_INTENSITY_ALL'], 'keyword_list': None, 'scene': ['BEHAVIOR_INTEREST_SCENE_ALL'], 'time_window': 'BEHAVIOR_INTEREST_TIME_WINDOW_SEVEN_DAY'}]}",13268,GDT,曙光,2
9220,38163,1001446,0,0,True,['age'],['SITE_SET_MOMENTS'],,1480,"{'override_canvas_head_option': 'OPTION_CREATIVE_OVERRIDE_CANVAS', 'page_id': '2279177200'}",,DOWNLOAD_GAME,LINK_PAGE_TYPE_DEFAULT,1573087927,576054,PROMOTED_OBJECT_TYPE_APP_IOS,False,,"{'short_video_struct': {'short_video1': 111532}, 'title': '闯关+逃生，没WiFi也能玩一天，试试你能过几关？'}",OPTIMIZATIONGOAL_APP_ACTIVATE,BID_STRATEGY_AVERAGE_COST,14575,DEEP_CONVERSION_WORTH,,"{'goal': 'GOAL_1DAY_PURCHASE_ROAS', 'expected_roi': 0.023}",111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111100000000001111111111111111111111111111111111111100000000001111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,"{'device_price': None, 'app_install_status': None, 'gender': ['MALE'], 'game_consumption_level': None, 'age': [{'min': 20, 'max': 50}], 'network_type': None, 'excluded_converted_audience': {'conversion_behavior_list': None, 'excluded_dimension': None}, 'geo_location': {'regions': None, 'location_types': None}, 'intention': {'targeting_tags': None}, 'interest': {'category_id_list': None, 'keyword_list': None}, 'behavior': [{'category_id_list': None, 'intensity': None, 'keyword_list': None, 'scene': None, 'time_window': None}]}",13268,GDT,曙光,2
9224,38835,1001446,0,0,True,['gender'],['SITE_SET_MOMENTS'],,1480,"{'override_canvas_head_option': 'OPTION_CREATIVE_OVERRIDE_CANVAS', 'page_id': '2279177200'}",,DOWNLOAD_GAME,LINK_PAGE_TYPE_DEFAULT,1573087927,576126,PROMOTED_OBJECT_TYPE_APP_IOS,False,,"{'short_video_struct': {'short_video1': 114739}, 'title': '闯关+逃生，没WiFi也能玩一天，试试你能过几关？'}",OPTIMIZATIONGOAL_APP_ACTIVATE,BID_STRATEGY_AVERAGE_COST,14711,DEEP_CONVERSION_WORTH,,"{'goal': 'GOAL_1DAY_PURCHASE_ROAS', 'expected_roi': 0.02}",111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111100000000001111111111111111111111111111111111111100000000001111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,"{'device_price': None, 'app_install_status': ['NOT_INSTALLED'], 'gender': ['MALE'], 'game_consumption_level': None, 'age': [{'min': 20, 'max': 50}], 'network_type': None, 'excluded_converted_audience': {'conversion_behavior_list': ['OPTIMIZATIONGOAL_APP_ACTIVATE'], 'excluded_dimension': 'EXCLUDED_DIMENSION_APP'}, 'geo_location': {'regions': None, 'location_types': None}, 'intention': {'targeting_tags': None}, 'interest': {'category_id_list': None, 'keyword_list': None}, 'behavior': [{'category_id_list': None, 'intensity': None, 'keyword_list': None, 'scene': None, 'time_window': None}]}",13268,GDT,曙光,2
9224,36767,1001446,0,0,True,['age'],['SITE_SET_MOMENTS'],,1480,"{'override_canvas_head_option': 'OPTION_CREATIVE_OVERRIDE_CANVAS', 'page_id': '2279177200'}",,DOWNLOAD_GAME,LINK_PAGE_TYPE_DEFAULT,1573087927,576126,PROMOTED_OBJECT_TYPE_APP_IOS,False,,"{'short_video_struct': {'short_video1': 104464}, 'title': '闯关+逃生，没WiFi也能玩一天，试试你能过几关？'}",OPTIMIZATIONGOAL_APP_ACTIVATE,BID_STRATEGY_AVERAGE_COST,13497,DEEP_CONVERSION_WORTH,,"{'goal': 'GOAL_1DAY_PURCHASE_ROAS', 'expected_roi': 0.022}",111110000000000111111111111111111111111111111111111110000000000111111111111111111111111111111111111111111100000000001111111111111111111111111111111111111100000000001111111111111111111111111111111110000000000111111111111111111111111111111111111110000000000111111111111111111111111111111111111110000000000111111111111111111111111111111111,"{'device_price': None, 'app_install_status': ['NOT_INSTALLED'], 'gender': None, 'game_consumption_level': None, 'age': [{'min': 20, 'max': 50}], 'network_type': None, 'excluded_converted_audience': {'conversion_behavior_list': None, 'excluded_dimension': None}, 'geo_location': {'regions': None, 'location_types': None}, 'intention': {'targeting_tags': None}, 'interest': {'category_id_list': None, 'keyword_list': None}, 'behavior': [{'category_id_list': None, 'intensity': None, 'keyword_list': None, 'scene': None, 'time_window': None}]}",13268,GDT,曙光,2
9219,37791,1001446,0,0,True,[],['SITE_SET_MOMENTS'],,1480,"{'override_canvas_head_option': 'OPTION_CREATIVE_OVERRIDE_CANVAS', 'page_id': '2279177200'}",,DOWNLOAD_APP,LINK_PAGE_TYPE_DEFAULT,1573087927,576037,PROMOTED_OBJECT_TYPE_APP_IOS,False,,"{'short_video_struct': {'short_video1': 109630}, 'title': '休闲又解压，玩一天都不腻'}",OPTIMIZATIONGOAL_APP_ACTIVATE,BID_STRATEGY_AVERAGE_COST,18888,DEEP_CONVERSION_WORTH,,"{'goal': 'GOAL_1DAY_PURCHASE_ROAS', 'expected_roi': 0.01}",111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111100000000001111111111111111111111111111111111111100000000001111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,"{'device_price': None, 'app_install_status': ['NOT_INSTALLED'], 'gender': None, 'game_consumption_level': None, 'age': [{'min': 20, 'max': 50}], 'network_type': None, 'excluded_converted_audience': {'conversion_behavior_list': None, 'excluded_dimension': None}, 'geo_location': {'regions': None, 'location_types': None}, 'intention': {'targeting_tags': None}, 'interest': {'category_id_list': None, 'keyword_list': None}, 'behavior': [{'category_id_list': None, 'intensity': None, 'keyword_list': None, 'scene': None, 'time_window': None}]}",13268,GDT,曙光,2
