,ad_account_id,game_id,channel_id,source_id,budget_mode,create_time,optimization_goal,time_series,bid_strategy,bid_amount,daily_budget,expand_enabled,expand_targeting,device_price,app_install_status,gender,game_consumption_level,age,network_type,deep_conversion_type,deep_conversion_behavior_spec,deep_conversion_worth_spec,intention_targeting_tags,interest_category_id_list,interest_keyword_list,behavior_category_id_list,behavior_intensity,behavior_keyword_list,behavior_scene,behavior_time_window,conversion_behavior_list,excluded_dimension,location_types,regions,image_id,deep_link_url,adcreative_template_id,page_spec,page_type,site_set,label,promoted_object_id,promoted_object_type,automatic_site_enabled,link_name_type,link_page_type,profile_id,link_page_spec,adcreative_elements,label_ids,tdate,amount,new_role_money,roi,pay_rate,manager_id
0,7717,1001447,21329,1390119,0,2022-04-01 15:23:05,OPTIMIZATIONGOAL_APP_ACTIVATE,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111110000000000111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,BID_STRATEGY_AVERAGE_COST,71700,0,False,[],,['NOT_INSTALLED'],,,"[{'min': 22, 'max': 52}]",,DEEP_CONVERSION_WORTH,,"{'goal': 'GOAL_1DAY_PURCHASE_ROAS', 'expected_roi': 0.008}",,,,,,,,,['OPTIMIZATIONGOAL_APP_DOWNLOAD'],EXCLUDED_DIMENSION_APP,,,42868,,720,,PAGE_TYPE_DEFAULT,"['SITE_SET_QQ_MUSIC_GAME', 'SITE_SET_KANDIAN', 'SITE_SET_TENCENT_NEWS', 'SITE_SET_TENCENT_VIDEO', 'SITE_SET_MOBILE_UNION', 'SITE_SET_WECHAT']",,1552323463,PROMOTED_OBJECT_TYPE_APP_IOS,False,,,,,"{'image': 134109, 'end_page': {'end_page_desc': '休闲好玩又刺激', 'end_page_type': 'END_PAGE_AVATAR_NICKNAME_HIGHLIGHT'}, 'description': '智商149卡在了39关，你能过几关？', 'video': 134109, 'button_text': '立即下载', 'brand': {'brand_name': 'N1计划', 'brand_img': 78613}}",20,2022-04-12,5955.86,30.0,0.005037,0.0303,13569
1,11099,1001447,20774,1405361,0,2022-04-12 10:46:05,OPTIMIZATIONGOAL_APP_ACTIVATE,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,BID_STRATEGY_TARGET_COST,41228,0,True,"['age', 'gender']",,['NOT_INSTALLED'],['MALE'],"['HIGH', 'NORMAL']","[{'min': 20, 'max': 66}]",,DEEP_CONVERSION_WORTH,,"{'goal': 'GOAL_1DAY_PURCHASE_ROAS', 'expected_roi': 0.001}",,,,,,,,,['OPTIMIZATIONGOAL_APP_DOWNLOAD'],EXCLUDED_DIMENSION_APP,,,43753,,721,,PAGE_TYPE_DEFAULT,['SITE_SET_WECHAT'],,1552323463,PROMOTED_OBJECT_TYPE_APP_IOS,False,DOWNLOAD_NOW,,,,"{'description': '适合蹲坑的小游戏，3分钟上手，你能闯几关？', 'video': 138682, 'button_text': '下载游戏', 'brand': {'brand_name': 'N1计划', 'brand_img': 78613}}","20,235",2022-04-13,2565.47,30.0,0.011694,0.5,12453
2,8564,1001447,21340,1407224,0,2022-04-13 11:16:32,OPTIMIZATIONGOAL_APP_ACTIVATE,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,BID_STRATEGY_TARGET_COST,471146,0,True,['age'],,,,,"[{'min': 24, 'max': 48}]",,DEEP_CONVERSION_WORTH,,"{'goal': 'GOAL_1DAY_PURCHASE_ROAS', 'expected_roi': 0.008}",,,,,,,,,,,,,44964,,720,,PAGE_TYPE_DEFAULT,,,1552323463,PROMOTED_OBJECT_TYPE_APP_IOS,True,,,,,"{'image': 143895, 'description': '智商149卡在了39关，这款游戏太烧脑，你能过几关？', 'video': 143895, 'button_text': '下载游戏', 'brand': {'brand_name': 'n1计划', 'brand_img': 77752}}","20,149,235",2022-04-14,1784.24,140.0,0.078465,0.0833,13612
3,10230,1001447,21514,1408245,0,2022-04-14 10:23:05,OPTIMIZATIONGOAL_APP_ACTIVATE,000000000000000000001111111111111111111111111111000000000000000000001111111111111111111111111111000000000000000000001111111111111111111111111111000000000000000000001111111111111111111111111111000000000000000000001111111111111111111111111111000000000000000000001111111111111111111111111111000000000000000000001111111111111111111111111111,BID_STRATEGY_AVERAGE_COST,70000,0,False,[],,,,,"[{'min': 25, 'max': 66}]",,DEEP_CONVERSION_WORTH,,"{'goal': 'GOAL_1DAY_PURCHASE_ROAS', 'expected_roi': 0.012}",,,,,,,,,,,,,44725,,721,,PAGE_TYPE_DEFAULT,"['SITE_SET_QQ_MUSIC_GAME', 'SITE_SET_KANDIAN', 'SITE_SET_TENCENT_NEWS', 'SITE_SET_TENCENT_VIDEO', 'SITE_SET_MOBILE_UNION', 'SITE_SET_WECHAT']",,1552323463,PROMOTED_OBJECT_TYPE_APP_IOS,False,,,,,"{'image': 142715, 'description': '智商149卡在了39关，这款游戏太烧脑，你能过几关？', 'video': 142715, 'button_text': '立即下载', 'brand': {'brand_name': 'n1计划', 'brand_img': 78613}}","20,235",2022-04-20,5064.14,110.0,0.021721,0.0286,14178
4,10230,1001447,21514,1408249,0,2022-04-14 10:23:05,OPTIMIZATIONGOAL_APP_ACTIVATE,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,BID_STRATEGY_AVERAGE_COST,47698,0,False,[],,,,,"[{'min': 25, 'max': 66}]",,DEEP_CONVERSION_WORTH,,"{'goal': 'GOAL_1DAY_PURCHASE_ROAS', 'expected_roi': 0.012}",,,,,,,,,,,,,44688,,721,,PAGE_TYPE_DEFAULT,"['SITE_SET_QQ_MUSIC_GAME', 'SITE_SET_KANDIAN', 'SITE_SET_TENCENT_NEWS', 'SITE_SET_TENCENT_VIDEO', 'SITE_SET_MOBILE_UNION', 'SITE_SET_WECHAT']",,1552323463,PROMOTED_OBJECT_TYPE_APP_IOS,False,,,,,"{'image': 142622, 'description': '智商149卡在了39关，这款游戏太烧脑，你能过几关？', 'video': 142622, 'button_text': '立即下载', 'brand': {'brand_name': 'n1计划', 'brand_img': 78613}}","20,235",2022-04-14,1443.63,30.0,0.020781,0.1,14178
5,11031,1001447,21388,1409829,0,2022-04-14 20:38:32,OPTIMIZATIONGOAL_APP_ACTIVATE,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,BID_STRATEGY_AVERAGE_COST,119757,0,False,[],"['PRICE_2500_3500', 'PRICE_3500_4500', 'PRICE_4500_MORE']",['NOT_INSTALLED'],,,"[{'min': 23, 'max': 48}]",,DEEP_CONVERSION_WORTH,,"{'goal': 'GOAL_1DAY_PURCHASE_ROAS', 'expected_roi': 0.01}",[205],"[301, 205]",,"[51, 85, 102, 203, 38, 631, 632]",['BEHAVIOR_INTEREST_INTENSITY_ALL'],"['保时捷', '凯迪拉克', '奔驰', '奥迪', '宝马', '本田', '沃尔沃', '法拉利', '豪车', '跑车', '迈巴赫']",['BEHAVIOR_INTEREST_SCENE_ALL'],BEHAVIOR_INTEREST_TIME_WINDOW_SEVEN_DAY,['OPTIMIZATIONGOAL_APP_ACTIVATE'],EXCLUDED_DIMENSION_APP,,,42912,,721,,PAGE_TYPE_DEFAULT,"['SITE_SET_QQ_MUSIC_GAME', 'SITE_SET_KANDIAN', 'SITE_SET_TENCENT_NEWS', 'SITE_SET_TENCENT_VIDEO', 'SITE_SET_WECHAT']",,1552323463,PROMOTED_OBJECT_TYPE_APP_IOS,False,,,,,"{'image': 134337, 'description': '智商149卡在了39关，这款游戏太烧脑，你能过几关？', 'video': 134337, 'button_text': '立即下载', 'brand': {'brand_name': 'N1计划', 'brand_img': 78613}}","20,235",2022-04-16,29242.5,426.0,0.014568,0.0056,13765
6,10230,1001447,21514,1410272,0,2022-04-15 10:52:32,OPTIMIZATIONGOAL_APP_ACTIVATE,000000000000000000001111111111111111111111111111000000000000000000001111111111111111111111111111000000000000000000001111111111111111111111111111000000000000000000001111111111111111111111111111000000000000000000001111111111111111111111111111000000000000000000001111111111111111111111111111000000000000000000001111111111111111111111111111,BID_STRATEGY_AVERAGE_COST,57404,0,True,['age'],,,,,"[{'min': 24, 'max': 66}]",,DEEP_CONVERSION_WORTH,,"{'goal': 'GOAL_1DAY_PURCHASE_ROAS', 'expected_roi': 0.012}",,,,,,,,,,,,,44942,,721,,PAGE_TYPE_DEFAULT,"['SITE_SET_QQ_MUSIC_GAME', 'SITE_SET_KANDIAN', 'SITE_SET_TENCENT_NEWS', 'SITE_SET_TENCENT_VIDEO', 'SITE_SET_MOBILE_UNION', 'SITE_SET_WECHAT']",,1552323463,PROMOTED_OBJECT_TYPE_APP_IOS,False,,,,,"{'image': 143847, 'description': '智商149卡在了39关，这款游戏太烧脑，你能过几关？', 'video': 143847, 'button_text': '下载游戏', 'brand': {'brand_name': 'n1计划', 'brand_img': 78613}}",20,2022-04-17,1952.46,184.0,0.09424,0.1,14178
7,10230,1001447,21514,1410286,0,2022-04-15 10:52:32,OPTIMIZATIONGOAL_APP_ACTIVATE,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,BID_STRATEGY_AVERAGE_COST,51825,0,True,['age'],,,,,"[{'min': 24, 'max': 66}]",,DEEP_CONVERSION_WORTH,,"{'goal': 'GOAL_1DAY_PURCHASE_ROAS', 'expected_roi': 0.012}",,,,,,,,,,,,,44699,,721,,PAGE_TYPE_DEFAULT,"['SITE_SET_QQ_MUSIC_GAME', 'SITE_SET_KANDIAN', 'SITE_SET_TENCENT_NEWS', 'SITE_SET_TENCENT_VIDEO', 'SITE_SET_MOBILE_UNION', 'SITE_SET_WECHAT']",,1552323463,PROMOTED_OBJECT_TYPE_APP_IOS,False,,,,,"{'image': 142647, 'description': '智商149卡在了39关，这款游戏太烧脑，你能过几关？', 'video': 142647, 'button_text': '下载游戏', 'brand': {'brand_name': 'n1计划', 'brand_img': 78613}}","20,235",2022-04-18,2667.59,30.0,0.011246,0.0667,14178
8,9411,1001447,21340,1410985,0,2022-04-15 14:45:04,OPTIMIZATIONGOAL_APP_ACTIVATE,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,BID_STRATEGY_TARGET_COST,404740,0,True,['age'],,,,,"[{'min': 24, 'max': 48}]",,DEEP_CONVERSION_WORTH,,"{'goal': 'GOAL_1DAY_PURCHASE_ROAS', 'expected_roi': 0.01}",,,,,,,,,,,,,42241,,720,,PAGE_TYPE_DEFAULT,"['SITE_SET_QQ_MUSIC_GAME', 'SITE_SET_KANDIAN', 'SITE_SET_TENCENT_NEWS', 'SITE_SET_TENCENT_VIDEO', 'SITE_SET_MOBILE_UNION']",,1552323463,PROMOTED_OBJECT_TYPE_APP_IOS,False,,,,,"{'image': 131030, 'description': '智商149卡在了39关，这款游戏太烧脑，你能过几关？', 'video': 131030, 'button_text': '下载游戏', 'brand': {'brand_name': 'n1计划', 'brand_img': 78613}}",20,2022-04-15,941.29,98.0,0.104112,0.5,13612
9,8564,1001447,21340,1411094,0,2022-04-15 15:09:32,OPTIMIZATIONGOAL_APP_ACTIVATE,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,BID_STRATEGY_TARGET_COST,492093,0,True,['age'],,,,,"[{'min': 24, 'max': 48}]",,DEEP_CONVERSION_WORTH,,"{'goal': 'GOAL_1DAY_PURCHASE_ROAS', 'expected_roi': 0.005}",,,,,,,,,,,,,38211,,720,,PAGE_TYPE_DEFAULT,,,1552323463,PROMOTED_OBJECT_TYPE_APP_IOS,True,,,,,"{'image': 111797, 'description': '智商149卡在了39关，这款游戏太烧脑，你能过几关？', 'video': 111797, 'button_text': '下载游戏', 'brand': {'brand_name': 'n1计划', 'brand_img': 78613}}",20,2022-04-15,6714.81,188.0,0.027998,0.0476,13612
