,ad_account_id,game_id,channel_id,source_id,budget_mode,create_time,optimization_goal,time_series,bid_strategy,bid_amount,daily_budget,expand_enabled,expand_targeting,device_price,app_install_status,gender,game_consumption_level,age,network_type,deep_conversion_type,deep_conversion_behavior_spec,deep_conversion_worth_spec,intention_targeting_tags,interest_category_id_list,interest_keyword_list,behavior_category_id_list,behavior_intensity,behavior_keyword_list,behavior_scene,behavior_time_window,conversion_behavior_list,excluded_dimension,location_types,regions,image_id,deep_link_url,adcreative_template_id,page_spec,page_type,site_set,label,promoted_object_id,promoted_object_type,automatic_site_enabled,link_name_type,link_page_type,profile_id,link_page_spec,adcreative_elements,label_ids,tdate,amount,new_role_money,roi,pay_rate
0,6342,1001465,20542,859851,0,2021-08-12 17:23:12,OPTIMIZATIONGOAL_APP_PURCHASE,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,BID_STRATEGY_TARGET_COST,78899,0,False,[],,['NOT_INSTALLED'],['MALE'],,"[{'min': 22, 'max': 56}]",,,,,,,,,,,,,,,,,29785,,1480,"{'override_canvas_head_option': 'OPTION_CREATIVE_OVERRIDE_CANVAS', 'page_id': 2230387270}",PAGE_TYPE_CANVAS_WECHAT,['SITE_SET_MOMENTS'],,1111339718,PROMOTED_OBJECT_TYPE_APP_ANDROID,False,DOWNLOAD_GAME,LINK_PAGE_TYPE_CANVAS_WECHAT,465012,"{""page_id"":""2230387270""}","{'short_video_struct': {'short_video1': 74665}, 'title': '帝国高清复刻版，1：1还原端游，开局5农民，多久建立帝国？'}",117,2021-08-13 00:00:00,3444.14,78.0,0.022647,0.0909
1,6342,1001465,20542,868199,0,2021-08-16 15:40:12,OPTIMIZATIONGOAL_APP_PURCHASE,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,BID_STRATEGY_TARGET_COST,75788,0,False,[],,['NOT_INSTALLED'],['MALE'],"['HIGH', 'NORMAL']","[{'min': 14, 'max': 66}]",,,,,,,,,,,,,,,,,36002,,1480,"{'override_canvas_head_option': 'OPTION_CREATIVE_OVERRIDE_CANVAS', 'page_id': 2234411863}",PAGE_TYPE_CANVAS_WECHAT,['SITE_SET_MOMENTS'],,1111339718,PROMOTED_OBJECT_TYPE_APP_ANDROID,False,DOWNLOAD_GAME,LINK_PAGE_TYPE_CANVAS_WECHAT,473304,"{""page_id"":""2234411863""}","{'short_video_struct': {'short_video1': 103152}, 'title': '荒岛求生，采集，伐木，挖矿，建造，打造属于自己的时代！'}",115,2021-08-19 00:00:00,4314.26,548.0,0.127021,0.0833
2,6342,1001465,20542,897998,0,2021-08-27 15:51:13,OPTIMIZATIONGOAL_APP_PURCHASE,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,BID_STRATEGY_TARGET_COST,82843,0,False,[],,['NOT_INSTALLED'],['MALE'],,"[{'min': 22, 'max': 62}]",,,,,,,,,,,,,,,,,29925,,1480,"{'override_canvas_head_option': 'OPTION_CREATIVE_OVERRIDE_CANVAS', 'page_id': 2234411863}",PAGE_TYPE_CANVAS_WECHAT,['SITE_SET_MOMENTS'],,1111339718,PROMOTED_OBJECT_TYPE_APP_ANDROID,False,DOWNLOAD_GAME,LINK_PAGE_TYPE_CANVAS_WECHAT,473304,"{""page_id"":""2234411863""}","{'short_video_struct': {'short_video1': 75543}, 'title': '开局给你一座荒岛，伐木建房，采集，打造属于你的王国！'}",148,2021-09-06 00:00:00,7944.45,178.0,0.022406,0.0333
3,6342,1001465,20542,944364,0,2021-09-10 18:22:19,OPTIMIZATIONGOAL_APP_PURCHASE,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,BID_STRATEGY_TARGET_COST,98899,0,False,[],,['NOT_INSTALLED'],['MALE'],,"[{'min': 21, 'max': 56}]",,,,,"[61, 197, 124, 157, 203, 301, 57, 228, 83, 156, 286, 307, 250, 245, 183, 205]","[197, 124, 157, 301, 228, 83, 286, 307, 250, 245, 205, 164, 16]",,"[61, 197, 124, 157, 203, 301, 57, 228, 83, 156, 286, 307, 250, 245, 183, 205, 164, 16]",['BEHAVIOR_INTEREST_INTENSITY_ALL'],,['BEHAVIOR_INTEREST_SCENE_APP'],BEHAVIOR_INTEREST_TIME_WINDOW_THREE_MONTH,,,,,33022,,1480,"{'override_canvas_head_option': 'OPTION_CREATIVE_OVERRIDE_CANVAS', 'page_id': 2234411863}",PAGE_TYPE_CANVAS_WECHAT,['SITE_SET_MOMENTS'],,1111339718,PROMOTED_OBJECT_TYPE_APP_ANDROID,False,DOWNLOAD_GAME,LINK_PAGE_TYPE_CANVAS_WECHAT,473304,"{""page_id"":""2234411863""}","{'short_video_struct': {'short_video1': 109552}, 'title': '这游戏终于出手游了！满满的儿时回忆，老玩家已感动哭！'}",115,2021-09-17 00:00:00,1109.78,42.0,0.037845,0.2857
4,6342,1001465,20542,977955,0,2021-09-18 17:02:16,OPTIMIZATIONGOAL_APP_PURCHASE,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,BID_STRATEGY_TARGET_COST,108899,0,True,['age'],"['PRICE_1500_2500', 'PRICE_2500_3500', 'PRICE_3500_4500', 'PRICE_4500_MORE']",['NOT_INSTALLED'],['MALE'],['HIGH'],"[{'min': 23, 'max': 52}]",,,,,[205],[205],,[205],['BEHAVIOR_INTEREST_INTENSITY_HIGH'],,['BEHAVIOR_INTEREST_SCENE_APP'],BEHAVIOR_INTEREST_TIME_WINDOW_THREE_MONTH,,,,,33634,,1480,"{'override_canvas_head_option': 'OPTION_CREATIVE_OVERRIDE_CANVAS', 'page_id': 2234411863}",PAGE_TYPE_CANVAS_WECHAT,['SITE_SET_MOMENTS'],,1111339718,PROMOTED_OBJECT_TYPE_APP_ANDROID,False,DOWNLOAD_GAME,LINK_PAGE_TYPE_CANVAS_WECHAT,473304,"{""page_id"":""2234411863""}","{'short_video_struct': {'short_video1': 91443}, 'title': '沦落荒岛，你该如何扩充人口，是发展成部落还是走向强国！'}","115,117",2021-09-21 00:00:00,3964.86,116.0,0.029257,0.0727
5,6343,1001465,20542,859893,0,2021-08-12 17:45:13,OPTIMIZATIONGOAL_APP_ACTIVATE,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,BID_STRATEGY_TARGET_COST,100099,0,False,[],,['NOT_INSTALLED'],['MALE'],"['HIGH', 'NORMAL']","[{'min': 14, 'max': 66}]",,DEEP_CONVERSION_WORTH,,"{'goal': 'GOAL_1DAY_PURCHASE_ROAS', 'expected_roi': 0.016}",,,,,,,,,,,,,37610,,1480,"{'override_canvas_head_option': 'OPTION_CREATIVE_OVERRIDE_CANVAS', 'page_id': 2230364850}",PAGE_TYPE_CANVAS_WECHAT,['SITE_SET_MOMENTS'],,1111339718,PROMOTED_OBJECT_TYPE_APP_ANDROID,False,DOWNLOAD_GAME,LINK_PAGE_TYPE_CANVAS_WECHAT,157543,"{""page_id"":""2230364850""}","{'short_video_struct': {'short_video1': 108461}, 'title': '小时候玩的帝国终于出手游了！开局5个农民，建立你的帝国！'}",115,2021-08-13 00:00:00,3377.47,306.0,0.0906,0.1053
6,7612,1001465,20542,897383,0,2021-08-27 12:13:14,OPTIMIZATIONGOAL_APP_ACTIVATE,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,BID_STRATEGY_TARGET_COST,56699,0,True,[],,['NOT_INSTALLED'],['MALE'],['HIGH'],"[{'min': 23, 'max': 50}]",,DEEP_CONVERSION_WORTH,,"{'goal': 'GOAL_1DAY_PURCHASE_ROAS', 'expected_roi': 0.02}",[205],,,"[205, 164, 16]",['BEHAVIOR_INTEREST_INTENSITY_ALL'],,['BEHAVIOR_INTEREST_SCENE_ALL'],BEHAVIOR_INTEREST_TIME_WINDOW_THIRTY_DAY,['OPTIMIZATIONGOAL_APP_DOWNLOAD'],EXCLUDED_DIMENSION_APP,,,38013,,721,,PAGE_TYPE_DEFAULT,"['SITE_SET_QQ_MUSIC_GAME', 'SITE_SET_KANDIAN', 'SITE_SET_TENCENT_NEWS', 'SITE_SET_TENCENT_VIDEO']",[],1111339718,PROMOTED_OBJECT_TYPE_APP_ANDROID,False,,,,,"{'image': 111065, 'description': '这游戏终于出手游了！满满的儿时回忆，老玩家已感动哭！', 'video': 111065, 'button_text': '立即下载', 'title': '2021年SLG策略，打造你的文明', 'brand': {'brand_name': '伐木时代', 'brand_img': 99751}}",128,2021-08-28 00:00:00,10816.81,922.0,0.085238,0.1111
7,7613,1001465,20542,900869,0,2021-08-28 15:05:15,OPTIMIZATIONGOAL_APP_ACTIVATE,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,BID_STRATEGY_TARGET_COST,56699,0,True,['gender'],"['PRICE_2500_3500', 'PRICE_3500_4500', 'PRICE_4500_MORE']",['NOT_INSTALLED'],['MALE'],['HIGH'],"[{'min': 25, 'max': 55}]",,DEEP_CONVERSION_WORTH,,"{'goal': 'GOAL_1DAY_PURCHASE_ROAS', 'expected_roi': 0.021}",,,,,,,,,['OPTIMIZATIONGOAL_APP_ACTIVATE'],EXCLUDED_DIMENSION_APP,,,38168,,721,{'page_id': 5329460},PAGE_TYPE_TSA_APP,"['SITE_SET_QQ_MUSIC_GAME', 'SITE_SET_KANDIAN', 'SITE_SET_TENCENT_NEWS', 'SITE_SET_TENCENT_VIDEO', 'SITE_SET_MOBILE_UNION']",[],1111339718,PROMOTED_OBJECT_TYPE_APP_ANDROID,False,,,,,"{'image': 111548, 'description': '开局5个农民，发展生产，升级建筑，带你重回20年前的罗马时代！', 'video': 111548, 'button_text': '立即下载', 'title': '2021年SLG策略，打造你的文明', 'brand': {'brand_name': '伐木时代', 'brand_img': 72822}}",117,2021-08-30 00:00:00,34989.63,823.0,0.023521,0.0519
8,7613,1001465,20542,900872,0,2021-08-28 15:05:15,OPTIMIZATIONGOAL_APP_ACTIVATE,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,BID_STRATEGY_TARGET_COST,56699,0,True,['gender'],"['PRICE_2500_3500', 'PRICE_3500_4500', 'PRICE_4500_MORE']",['NOT_INSTALLED'],['MALE'],['HIGH'],"[{'min': 25, 'max': 55}]",,DEEP_CONVERSION_WORTH,,"{'goal': 'GOAL_1DAY_PURCHASE_ROAS', 'expected_roi': 0.021}",,,,,,,,,['OPTIMIZATIONGOAL_APP_ACTIVATE'],EXCLUDED_DIMENSION_APP,,,36219,,720,{'page_id': 5329460},PAGE_TYPE_TSA_APP,"['SITE_SET_QQ_MUSIC_GAME', 'SITE_SET_KANDIAN', 'SITE_SET_TENCENT_NEWS', 'SITE_SET_TENCENT_VIDEO', 'SITE_SET_MOBILE_UNION']",[],1111339718,PROMOTED_OBJECT_TYPE_APP_ANDROID,False,,,,,"{'image': 102471, 'description': '开局只是个小农民，种田造房，伐木狩猎，三天打造罗马文明！', 'video': 102471, 'button_text': '立即下载', 'title': '帝王回归，等你来战！', 'brand': {'brand_name': '伐木时代', 'brand_img': 72822}}","124,116",2021-08-29 00:00:00,1426.96,86.0,0.060268,0.3333
9,7613,1001465,20542,905595,1,2021-08-30 17:39:09,OPTIMIZATIONGOAL_APP_ACTIVATE,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,BID_STRATEGY_TARGET_COST,66699,1600000,True,['gender'],"['PRICE_2500_3500', 'PRICE_3500_4500', 'PRICE_4500_MORE']",['NOT_INSTALLED'],['MALE'],['HIGH'],"[{'min': 25, 'max': 55}]",,DEEP_CONVERSION_WORTH,,"{'goal': 'GOAL_1DAY_PURCHASE_ROAS', 'expected_roi': 0.021}",,,,,,,,,['OPTIMIZATIONGOAL_APP_ACTIVATE'],EXCLUDED_DIMENSION_APP,,,38013,,721,{'page_id': 5329460},PAGE_TYPE_TSA_APP,"['SITE_SET_QQ_MUSIC_GAME', 'SITE_SET_KANDIAN', 'SITE_SET_TENCENT_NEWS', 'SITE_SET_TENCENT_VIDEO', 'SITE_SET_MOBILE_UNION']",[],1111339718,PROMOTED_OBJECT_TYPE_APP_ANDROID,False,,,,,"{'image': 111065, 'description': '开局5个农民，发展生产，升级建筑，带你重回20年前的罗马时代！', 'video': 111065, 'button_text': '立即下载', 'title': '开局荒岛，3天建立你的文明！', 'brand': {'brand_name': '伐木时代', 'brand_img': 72822}}",128,2021-08-31 00:00:00,14414.41,779.0,0.054043,0.1064
