,channel_id,source_id,image_id,materialstyle,brand,subtitle,titles
2169,6231,1389700,44847,109,罗马争端,从零开始，打造你的时代,['罗马争端，正式上线！原班人马打造']
2184,6231,1389703,44038,112,罗马争端,下载领取中国区专属福利！,['开局一农民，采集物资，从一无所有到建立王国，只用了一晚？']
2205,6231,1389711,44028,112,罗马争端,下载领取中国区专属福利！,['开局只有5个农民，伐木采集，资源全靠抢，你多久能建立城堡？']
2212,6231,1389713,44130,112,罗马争端,下载领取中国区专属福利！,['罗马争端，正式上线！原班人马打造']
3530,20917,1398322,40046,109,罗马：单机加强版,今日推荐,['开局一农民，建造，伐木，挖矿，建立帝王时代！ ']
3531,20917,1398323,40046,109,罗马：单机加强版,今日推荐！,['20年重温经典单机，80后齐聚国战封帝，建造最强文明！ ']
3532,20917,1398324,40046,109,罗马：单机加强版,今日推荐,['开局4农民，搜集物资，建造成长，探索世界建立起自己的文明！ ']
3533,20917,1398325,40046,112,罗马：单机加强版,下载领取中国区专属福利！,['种田、捕猎、挖矿、盖房子、造兵，扩领土，看农民制霸王国！ ']
3534,20917,1398326,40046,112,罗马：单机加强版,下载领取中国区专属福利！,['开局一农民，建造，伐木，挖矿，建立帝王时代！ ']
3535,20917,1398327,40046,109,罗马:单机加强版,点击下载 创造无敌帝国！,['风靡全球的战争策略手游，一言不合就开战，今日解锁新姿势！ ']
3536,20917,1398328,40046,109,罗马：单机加强版,今日推荐！,['流落荒岛，伐木挖矿，狩猎捕鱼，建造兵营，逐步打造强大帝国！ ']
3541,20917,1398345,40046,109,罗马：单机加强版,今日推荐,['种田、捕猎、挖矿、盖房子、造兵，扩领土，看你如何开创王国！']
4009,20917,1412068,44307,109,罗马：单机加强版,今日推荐,['帝王终于出手游了，老玩家都在玩，完美还原端游，还原经典！']
4011,20917,1412069,43656,109,罗马：单机加强版,今日推荐,['8090后已集体沦陷，玩家苦等20年，终于等到这款良心策略手游！']
4012,20917,1412070,44738,109,罗马：单机加强版,今日推荐,['小时候玩的单机游戏终于出手游了！开局一个小兵，开创文明！']
4013,20917,1412071,43648,109,罗马：单机加强版,今日推荐,['8090后已集体沦陷，玩家苦等20年，终于等到这款良心策略手游！']
4014,20917,1412073,44307,109,罗马：单机加强版,今日推荐,['帝王终于出手游了，老玩家都在玩，完美还原端游，还原经典！']
4015,20917,1412074,43656,109,罗马：单机加强版,今日推荐,['8090后已集体沦陷，玩家苦等20年，终于等到这款良心策略手游！']
4016,20917,1412075,44738,109,罗马：单机加强版,今日推荐,['小时候玩的单机游戏终于出手游了！开局一个小兵，开创文明！']
4017,20917,1412076,43648,109,罗马：单机加强版,今日推荐,['8090后已集体沦陷，玩家苦等20年，终于等到这款良心策略手游！']
6059,20917,1422013,44112,112,罗马：单机加强版,下载领取中国区专属福利！,['还原经典单机游戏，采集，伐木，采矿，建属于你的王国！ ']
6060,20917,1422014,45335,109,罗马：单机加强版,赶快点击立即下载体验吧！,['小时候玩的游戏终于出手游了，满满的儿时回忆，老玩家已感动哭！']
6061,20917,1422015,40046,109,罗马：单机加强版,赶快点击立即下载体验吧！,['小时候玩的游戏出手游了，80后齐聚，国战封侯，建造你的帝国 ']
6062,20917,1422016,45385,109,罗马：单机加强版,赶快点击立即下载体验吧,['还原经典单机游戏，采集，伐木，挖矿，建造属于你的文明!']
6765,20917,1438638,43648,109,罗马：单机加强版,今日推荐,['8090后已集体沦陷，玩家苦等20年，终于等到这款良心策略手游！']
6766,20917,1438639,44738,109,罗马：单机加强版,今日推荐,['小时候玩的单机游戏终于出手游了！开局一个小兵，开创文明！']
6767,20917,1438640,43656,109,罗马：单机加强版,今日推荐,['8090后已集体沦陷，玩家苦等20年，终于等到这款良心策略手游！']
6768,20917,1438641,44307,109,罗马：单机加强版,今日推荐,['帝王终于出手游了，老玩家都在玩，完美还原端游，还原经典！']
6775,20917,1438648,43648,109,罗马：单机加强版,今日推荐,['8090后已集体沦陷，玩家苦等20年，终于等到这款良心策略手游！']
6776,20917,1438649,44738,109,罗马：单机加强版,今日推荐,['小时候玩的单机游戏终于出手游了！开局一个小兵，开创文明！']
6777,20917,1438650,43656,109,罗马：单机加强版,今日推荐,['8090后已集体沦陷，玩家苦等20年，终于等到这款良心策略手游！']
6778,20917,1438651,44307,109,罗马：单机加强版,今日推荐,['帝王终于出手游了，老玩家都在玩，完美还原端游，还原经典！']
6779,20917,1438652,45290,109,罗马：单机加强版,今日推荐,['8090后已集体沦陷，玩家苦等20年，终于等到这款良心策略手游！']
6780,20917,1438653,45292,109,罗马：单机加强版,今日推荐,['帝王终于出手游了，老玩家都在玩，完美还原端游，还原经典！']
6781,20917,1438654,45297,109,罗马：单机加强版,今日推荐,['小时候玩的单机游戏终于出手游了！开局一个小兵，开创文明！']
6782,20917,1438655,45296,109,罗马：单机加强版,今日推荐,['帝王终于出手游了，老玩家都在玩，完美还原端游，还原经典！']
7132,20917,1447512,45518,109,罗马：单机加强版,今日推荐,['帝王终于出手游了，老玩家都在玩，完美还原端游，还原经典！']
7133,20917,1447513,45517,109,罗马：单机加强版,今日推荐,['8090后已集体沦陷，玩家苦等20年，终于等到这款良心策略手游！']
7134,20917,1447514,45498,109,罗马：单机加强版,今日推荐,['小时候玩的单机游戏终于出手游了！开局一个小兵，开创文明！']
7135,20917,1447515,45497,109,罗马：单机加强版,今日推荐,['帝王终于出手游了，老玩家都在玩，完美还原端游，还原经典！']
7136,20917,1447516,45495,109,罗马：单机加强版,今日推荐,['小时候玩的单机游戏终于出手游了！开局一个小兵，开创文明！']
7137,20917,1447517,45494,109,罗马：单机加强版,今日推荐,['8090后已集体沦陷，玩家苦等20年，终于等到这款良心策略手游！']
7138,20917,1447518,45492,109,罗马：单机加强版,今日推荐,['帝王终于出手游了，老玩家都在玩，完美还原端游，还原经典！']
7139,20917,1447519,45491,109,罗马：单机加强版,今日推荐,['小时候玩的单机游戏终于出手游了！开局一个小兵，开创文明！']
7140,20917,1447520,45484,109,罗马：单机加强版,今日推荐,['8090后已集体沦陷，玩家苦等20年，终于等到这款良心策略手游！']
7141,20917,1447521,45482,109,罗马：单机加强版,今日推荐,['帝王终于出手游了，老玩家都在玩，完美还原端游，还原经典！']
7142,20917,1447522,45296,109,罗马：单机加强版,今日推荐,['帝王终于出手游了，老玩家都在玩，完美还原端游，还原经典！']
7143,20917,1447523,44108,109,罗马：单机加强版,今日推荐,['8090后已集体沦陷，玩家苦等20年，终于等到这款良心策略手游！']
7144,20917,1447524,43656,109,罗马：单机加强版,今日推荐,['小时候玩的单机游戏终于出手游了！开局一个小兵，开创文明！']
7145,20917,1447525,44307,109,罗马：单机加强版,今日推荐,['帝王终于出手游了，老玩家都在玩，完美还原端游，还原经典！']
7146,20917,1447526,43648,109,罗马：单机加强版,今日推荐,['8090后已集体沦陷，玩家苦等20年，终于等到这款良心策略手游！']
7147,20917,1447527,45296,109,罗马：单机加强版,今日推荐,['帝王终于出手游了，老玩家都在玩，完美还原端游，还原经典！']
7148,20917,1447528,44108,109,罗马：单机加强版,今日推荐,['8090后已集体沦陷，玩家苦等20年，终于等到这款良心策略手游！']
7149,20917,1447529,43656,109,罗马：单机加强版,今日推荐,['小时候玩的单机游戏终于出手游了！开局一个小兵，开创文明！']
7150,20917,1447530,44307,109,罗马：单机加强版,今日推荐,['帝王终于出手游了，老玩家都在玩，完美还原端游，还原经典！']
7151,20917,1447531,43648,109,罗马：单机加强版,今日推荐,['8090后已集体沦陷，玩家苦等20年，终于等到这款良心策略手游！']
7152,20917,1447532,45480,109,罗马：单机加强版,今日推荐,['帝王终于出手游了，老玩家都在玩，完美还原端游，还原经典！']
7153,20917,1447533,45476,109,罗马：单机加强版,今日推荐,['8090后已集体沦陷，玩家苦等20年，终于等到这款良心策略手游！']
7154,20917,1447534,45474,109,罗马：单机加强版,今日推荐,['小时候玩的单机游戏终于出手游了！开局一个小兵，开创文明！']
7155,20917,1447535,45472,109,罗马：单机加强版,今日推荐,['帝王终于出手游了，老玩家都在玩，完美还原端游，还原经典！']
7156,20917,1447536,45471,109,罗马：单机加强版,今日推荐,['帝王终于出手游了，老玩家都在玩，完美还原端游，还原经典！']
7157,20917,1447537,45469,109,罗马：单机加强版,今日推荐,['8090后已集体沦陷，玩家苦等20年，终于等到这款良心策略手游！']
7158,20917,1447538,45469,109,罗马：单机加强版,今日推荐,['8090后已集体沦陷，玩家苦等20年，终于等到这款良心策略手游！']
