channel_id,source_id,tdate,amount,new_role_money,roi,pay_rate
20754,252975,2020-01-02,767.89,0.0,0.0,0.0
20953,252800,2020-01-02,1582.19,0.0,0.0,0.0
20953,252798,2020-01-02,979.96,0.0,0.0,0.0
20953,252733,2020-01-02,2200.0,30.0,0.013636,0.005
20953,252732,2020-01-02,2280.22,0.0,0.0,0.0
20953,252731,2020-01-02,1562.56,0.0,0.0,0.0
20754,253113,2020-01-02,714.87,0.0,0.0,0.0
20953,252799,2020-01-02,1091.5,0.0,0.0,0.0
20754,253110,2020-01-02,1203.06,0.0,0.0,0.0
20754,252995,2020-01-02,598.89,0.0,0.0,0.0
20754,252978,2020-01-02,1494.76,0.0,0.0,0.0
20754,252977,2020-01-02,1015.26,0.0,0.0,0.0
20754,252976,2020-01-02,1355.34,0.0,0.0,0.0
20754,253112,2020-01-02,722.87,0.0,0.0,0.0
20953,253146,2020-01-03,1581.73,0.0,0.0,0.0
20953,253336,2020-01-03,1781.2,0.0,0.0,0.0
20755,253201,2020-01-03,1052.48,0.0,0.0,0.0
20755,253202,2020-01-03,605.17,0.0,0.0,0.0
20954,252729,2020-01-03,772.42,0.0,0.0,0.0
20954,253310,2020-01-03,762.13,0.0,0.0,0.0
20954,253309,2020-01-03,1751.57,0.0,0.0,0.0
20755,252927,2020-01-03,533.03,0.0,0.0,0.0
20755,253194,2020-01-03,604.27,0.0,0.0,0.0
20953,253117,2020-01-03,1146.88,72.0,0.062779,0.0208
20954,252730,2020-01-03,670.72,0.0,0.0,0.0
20953,253116,2020-01-03,1800.0,0.0,0.0,0.0
20953,253148,2020-01-03,1799.46,0.0,0.0,0.0
20953,253114,2020-01-03,1512.71,0.0,0.0,0.0
20953,253115,2020-01-03,1291.86,0.0,0.0,0.0
20754,252996,2020-01-03,749.34,0.0,0.0,0.0
20754,253111,2020-01-03,572.65,0.0,0.0,0.0
20754,252998,2020-01-03,544.44,0.0,0.0,0.0
20541,253723,2020-01-04,1741.09,0.0,0.0,0.0
20953,253652,2020-01-04,1809.43,476.0,0.263066,0.0345
20953,253771,2020-01-04,3012.27,0.0,0.0,0.0
20953,253772,2020-01-04,2000.0,12.0,0.006,0.0133
20953,253773,2020-01-04,1291.28,0.0,0.0,0.0
20953,253860,2020-01-04,568.76,0.0,0.0,0.0
20541,253720,2020-01-04,648.23,0.0,0.0,0.0
20541,253721,2020-01-04,701.0,0.0,0.0,0.0
20755,252910,2020-01-04,754.57,0.0,0.0,0.0
20954,253655,2020-01-04,947.5,0.0,0.0,0.0
20755,253872,2020-01-04,1134.66,42.0,0.037015,0.1667
20954,253656,2020-01-04,1268.97,0.0,0.0,0.0
20954,253657,2020-01-04,870.29,0.0,0.0,0.0
20953,253651,2020-01-04,536.42,0.0,0.0,0.0
20755,253200,2020-01-04,2886.34,114.0,0.039496,0.0952
20953,253650,2020-01-04,1011.26,0.0,0.0,0.0
20953,253861,2020-01-04,1305.57,42.0,0.03217,0.0278
20754,253717,2020-01-04,736.26,0.0,0.0,0.0
20754,253718,2020-01-04,1381.52,90.0,0.065146,0.0526
20754,253343,2020-01-04,1968.0,0.0,0.0,0.0
20754,253344,2020-01-04,4100.0,90.0,0.021951,0.0057
20754,253345,2020-01-04,2597.6,60.0,0.023098,0.0256
20754,253346,2020-01-04,1786.94,0.0,0.0,0.0
20754,253347,2020-01-04,1529.2,0.0,0.0,0.0
20754,253349,2020-01-04,1267.29,0.0,0.0,0.0
